Nickname,bandgap(eV),c_smiles,newSMILES,Ref.No,bdt,fluorene,cpdt,tdt,others
P3HT,1.93,CCCCCCc1cc(C)sc1C,Cc1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(C)s1,S10,0,0,0,0,1
P3HST,1.82,CCCCCCSc1cc(C)sc1C,CSc1cc(sc1C)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(C)cc1SC,S123,0,0,0,0,1
POPT,1.76,CCCCCCCCc1ccc(-c2cc(C)sc2C)cc1,Cc1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(C)s1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1,S126,0,0,0,0,1
PT-C1,1.92,CCCCC(CC)COC(=O)c1cc(C)sc1-c1ccc(C)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(C)s1,S122,0,0,0,0,1
PT-C2,1.89,CCCCC(CC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1ccc(C)s1,S122,0,0,0,0,1
POPTT,1.93,CCCCCCCCc1ccc(-c2cc(C)sc2-c2ccc(-c3ccc(C)s3)s2)cc1,Cc1ccc(s1)-c1ccc(s1)-c1sc(cc1-c1ccccc1)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1-c1ccccc1,S126,0,0,0,0,1
C6-TT,1.9,CCCCCCc1cc(C)sc1-c1ccc(-c2sc(C)cc2CCCCCC)s1,Cc1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(C)cc1C,S124,0,0,0,0,1
PDHTT,1.96,CCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C,S380,0,0,0,0,1
PDTPBT-C5,1.43,CCCCCC(CCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12,S359,0,0,1,0,0
PCV,2.3,C/C=C/c1ccc2c3ccc(C)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,COc1ccc(cc1)-n1c2cc(C)ccc2c2ccc(\C=C\c3ccc4c(c3)n(-c3ccc(OC)cc3)c3cc(\C=C\c5ccc6c(c5)n(-c5ccc(OC)cc5)c5cc(\C=C\C)ccc65)ccc43)cc12,S16,0,1,0,0,0
POPQT,1.97,CCCCCCCCc1ccc(-c2cc(C)sc2-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)cc1,Cc1ccc(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(cc1-c1ccccc1)-c1ccc(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1-c1ccccc1,S126,0,0,0,0,1
PDTPBT-C6,1.42,CCCCCCC(CCCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12,S359,0,0,1,0,0
O-PBDT,2.21,CCCCC(CC)COc1c2cc(C)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1,S119,1,0,0,0,0
S-PBDT,2.07,CCCCC(CC)CSc1c2cc(C)sc2c(SCC(CC)CCCC)c2cc(C)sc12,CSc1c2cc(C)sc2c(SC)c2cc(sc12)-c1cc2c(SC)c3sc(cc3c(SC)c2s1)-c1cc2c(SC)c3sc(C)cc3c(SC)c2s1,S119,1,0,0,0,0
P1-0,1.73,CCCCCCCCC(CCCCCC)COc1c(F)c(-c2ccc(C)s2)c2nsnc2c1C,COc1c(C)c2nsnc2c(-c2ccc(s2)-c2c(OC)c(F)c(-c3ccc(s3)-c3c(OC)c(F)c(-c4ccc(C)s4)c4nsnc34)c3nsnc23)c1F,S405,0,0,0,0,1
FEH,1.91,CCCCC(CC)Cc1c(C)sc(-c2cc(F)c(-c3sc(C)cc3F)s2)c1CC(CC)CCCC,Cc1cc(F)c(s1)-c1sc(cc1F)-c1sc(c(C)c1C)-c1cc(F)c(s1)-c1sc(cc1F)-c1sc(C)c(C)c1C,S372,0,0,0,0,1
HEH,1.96,CCCCC(CC)Cc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CC(CC)CCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C,S372,0,0,0,0,1
P3HDTTT,1.9,CCCCCCCCC(CCCCCC)Cc1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,Cc1ccc(s1)-c1ccc(s1)-c1sc(cc1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1C,S121,0,0,0,0,1
PDOTT,1.97,CCCCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C,S380,0,0,0,0,1
PCVT,2.2,C/C=C/c1ccc2c3ccc(/C=C/c4ccc(C)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,COc1ccc(cc1)-n1c2cc(\C=C\C)ccc2c2ccc(\C=C\c3ccc(\C=C\c4ccc5c(c4)n(-c4ccc(OC)cc4)c4cc(\C=C\c6ccc(C)s6)ccc54)s3)cc12,S16,0,1,0,0,0
PT-C3,1.91,CCCCCCCCC(CCCCCC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1ccc(C)s1,S122,0,0,0,0,1
PBDT[2H]T,2.1,CCCCC(CC)COc1c2cc(-c3ccc(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(C)s1,S130,1,0,0,0,0
PBDT[2F]T,2.1,CCCCC(CC)COc1c2cc(-c3sc(C)c(F)c3F)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(c(F)c1F)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(C)c(F)c1F,S130,1,0,0,0,0
PGe1-C8,1.33,CCCCCCCC[Ge]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Ge]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Ge]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12,S311,0,0,0,0,1
PSBTBT,1.45,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12,S6,0,0,1,0,0
PCPDTBT,1.43,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12,S3,0,0,1,0,0
PCPDTDFBT,1.51,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3c(F)c(F)c(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1c(F)c(F)c(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12,S345,0,0,1,0,0
PCPDTFBT,1.44,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3cc(F)c(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1cc(F)c(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2cc(F)c(C)c3nsnc23)c2nsnc12,S306,0,0,1,0,0
PTTEHV,1.8,C/C=C/c1cc(C[C@H](CC)CCCC)c(-c2nc3sc(-c4sc(C)cc4CC(CC)CCCC)nc3s2)s1,C\C=C\c1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(\C=C\c2cc(C)c(s2)-c2nc3sc(nc3s2)-c2sc(C)cc2C)cc1C,S153,0,0,0,0,1
PGeBTBT,1.47,CCCCC(CC)C[Ge]1(C[C@@H](CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Ge]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Ge]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12,S309,0,0,0,0,1
PBTTPD,1.77,CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3ccc(-c4ccc(C)s4)s3)c2C1=O,CN1C(=O)c2c(C)sc(-c3ccc(s3)-c3ccc(s3)-c3sc(-c4ccc(s4)-c4ccc(C)s4)c4C(=O)N(C)C(=O)c34)c2C1=O,S301,0,0,0,0,1
PDTPBT-C8,1.41,CCCCCCCCC(CCCCCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12,S359,0,0,1,0,0
pDSBT-BT,1.7,CCCC[Si]1(CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc2[Si]1(CCCC)CCCC,Cc1cc2c(s1)-c1sc(cc1[Si](C)(C)[Si]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Si](C)(C)[Si]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12,S375,0,0,0,0,1
PBTCTO,1.85,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C=C4)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C=CC(=O)c23)c2C=CC(=O)c12,S236,1,0,0,0,0
PBTFDO,1.57,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C(F)(F)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)C(F)(F)C(=O)c23)c2C(=O)C(F)(F)C(=O)c12,S236,1,0,0,0,0
PBDTT,2.13,CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1cc2c(-c3cccs3)c3sc(C)cc3c(-c3cccs3)c2s1,S120,1,0,0,0,0
PBDT-3MT,2.07,CCCCC(CC)COc1c2cc(-c3cc(C(=O)OC)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COC(=O)c1cc(sc1C)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(cc1C(=O)OC)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1,S128,1,0,0,0,0
PDTBTFV,1.79,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(/C(F)=C(/C)F)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)C(\F)=C(/F)c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)C(\F)=C(\C)F)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S381,0,0,0,0,1
PDTBTV,1.69,C/C=C/c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(C)s3)c3nsnc23)s1,COc1c(OC)c(-c2ccc(\C=C\c3ccc(s3)-c3c(OC)c(OC)c(-c4ccc(\C=C\C)s4)c4nsnc34)s2)c2nsnc2c1-c1ccc(C)s1,S381,0,0,0,0,1
PTVTPD,1.77,CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3ccc(/C=C/c4ccc(C)s4)s3)c2C1=O,CN1C(=O)c2c(C)sc(-c3ccc(\C=C\c4ccc(s4)-c4sc(-c5ccc(\C=C\c6ccc(C)s6)s5)c5C(=O)N(C)C(=O)c45)s3)c2C1=O,S301,0,0,0,0,1
