Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
P3HT,S10,4.4,4.4,0.51,15.0,0.575,21.1,1.2 ,1.82 ,196,5.2,3.27,1.93,CC1=CC(CCCCCC)=C(C)S1,CCCCCCc1cc(C)sc1C,13,33,196.35900000000015,1
P3HST,S123,0.34,0.34,0.63,1.27,0.34,28.5,15.0 ,1.90 ,228,4.9,3.08,1.82,CC1=CC(SCCCCCC)=C(C)S1,CCCCCCSc1cc(C)sc1C,14,34,228.42600000000016,1
POPT,S126,1.71,1.71,0.56,5.16,0.6,17.6,16.0 ,1.10 ,300,5.34,3.58,1.76,CC1=CC(C2=CC=C(CCCCCCCC)C=C2)=C(C)S1,CCCCCCCCc1ccc(-c2cc(C)sc2C)cc1,21,49,300.51099999999946,2
PT-C1,S122,1.69,1.69,0.81,5.31,0.392,6.9,4.3 ,1.62 ,350,5.15,2.96,1.92,CC1=CC(C(OCC(CCCC)CC)=O)=C(C2=CC=C(C)S2)S1,CCCCC(CC)COC(=O)c1cc(C)sc1-c1ccc(C)s1,23,49,350.5489999999996,2
PT-C2,S122,2.14,2.14,0.81,5.44,0.484,5.6,3.2 ,1.75 ,432,5.11,2.95,1.89,CC1=CC(C(OCC(CCCC)CC)=O)=C(C2=CC=C(S2)C3=CC=C(C)S3)S1,CCCCC(CC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,28,56,432.67599999999965,3
POPTT,S126,1.73,1.73,0.63,6.83,0.4,19.6,14.0 ,1.40 ,464,5.43,3.5,1.93,CC1=CC(C2=CC=C(CCCCCCCC)C=C2)=C(C3=CC=C(C4=CC=C(C)S4)S3)S1,CCCCCCCCc1ccc(-c2cc(C)sc2-c2ccc(-c3ccc(C)s3)s2)cc1,31,63,464.7649999999996,4
C6-TT,S124,0.6,0.6,0.75,2.5,0.34,42.0,20.0 ,2.10 ,444,5.25,3.05,1.9,CC1=CC(CCCCCC)=C(C2=CC=C(C3=C(CCCCCC)C=C(C)S3)S2)S1,CCCCCCc1cc(C)sc1-c1ccc(-c2sc(C)cc2CCCCCC)s1,29,65,444.7749999999995,3
PDHTT,S380,4.2,4.01,0.716,8.54,0.66,12.9,8.6 ,1.50 ,444,5.15,3.19,1.96,CC1=C(CCCCCC)C(CCCCCC)=C(C2=CC=C(C3=CC=C(C)S3)S2)S1,CCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCC,29,65,444.77499999999947,3
PDTPBT-C5,S359,2.8,2.8,0.54,11.9,0.44,29.2,17.9 ,1.63 ,495,4.81,3.08,1.43,CC1=CC2=C(C(SC(C3=CC=C(C)C4=NSN=C43)=C5)=C5N2C(CCCCC)CCCCC)S1,CCCCCC(CCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,33,66,495.7829999999996,5
PCV,S16,0.4,0.4,0.85,0.889,0.464,3.9,2.8 ,1.40 ,425,5.61,2.83,2.3,CC1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C)=C3)=C4C=C1,C/C=C/c1ccc2c3ccc(C)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,32,67,425.6159999999996,4
