Voc (V),-HOMO (eV),-LUMO (eV),bandgap(eV),HOMO(eV),LUMO(eV),HOMO-LUMO(eV),X,Y,Z,Tot,E(t-s)(eV),S1,S2,S3,S4,S5,DH,DL,DT1,DS1,DST,Eb,t_DL,t_DH
0.51,5.2,3.27,1.93,-4.58593,-1.79867,2.78726,-0.0933,-0.1093,-0.1859,0.235,1.89172,2.4954,2.9847,3.2513,3.565,3.6584,1.3940700000000001,1.4413300000000002,-0.010279999999999845,0.4354,0.60368,0.2918599999999998,0.23661285422096068,0.24806362829967893
0.63,4.9,3.08,1.82,-4.99329,-2.27297,2.72032,-2.0339,-0.474,2.0008,2.8922,1.84123,2.3866,2.8715,3.0195,3.2197,3.3292,0.9867100000000004,0.9670300000000003,-0.06076999999999999,0.3266,0.5453700000000001,0.33372,0.38021058830978843,0.3728011915343413
0.56,5.34,3.58,1.76,-4.97206,-1.77228,3.19979,0.1202,0.6385,0.0151,0.6499,2.29515,2.7435,3.1042,3.1566,3.4591,3.4839,1.0079400000000005,1.4677200000000001,0.3931500000000001,0.6835,0.44835,0.4562900000000001,0.2304503133697226,0.3649700440002006
0.81,5.15,2.96,1.92,-4.90784,-2.2082,2.69964,4.0222,-0.0158,-1.0594,4.1595,1.84735,2.3922,2.8473,3.0424,3.183,3.4274,1.0721600000000002,1.0318,-0.054649999999999865,0.33219999999999983,0.5448499999999998,0.30744000000000016,0.35636492604454434,0.34226841861554
0.81,5.11,2.95,1.89,-4.83002,-2.1663,2.66372,-2.2997,0.3387,-0.6267,2.4075,1.82816,2.3712,2.7813,3.0169,3.3282,3.4734,1.1499800000000002,1.0737,-0.0738399999999999,0.3111999999999999,0.54304,0.2925200000000001,0.34174173090450066,0.31664310217776853
0.63,5.43,3.5,1.93,-4.78077,-1.94997,2.8308,0.0682,0.128,0.6011,0.6183,1.92186,2.5121,2.9989,3.1476,3.4879,3.6148,1.19923,1.2900300000000002,0.01985999999999999,0.45210000000000017,0.5902400000000003,0.31869999999999976,0.27526252509013016,0.3014262207673205
0.75,5.25,3.05,1.9,-4.67083,-1.86235,2.80849,0.0004,0.0001,0.641,0.641,1.8842,2.5179,3.0173,3.2689,3.5142,3.7047,1.3091700000000008,1.3776500000000003,-0.017799999999999816,0.4579,0.6336999999999999,0.2905899999999999,0.25217045787520553,0.27004409999672296
0.716,5.15,3.19,1.96,-4.78403,-1.75568,3.02835,0.3403,0.4584,-0.8612,1.0333,2.11316,2.6922,3.1523,3.3528,3.7205,3.7441,1.1959700000000009,1.4843200000000003,0.21116000000000024,0.6322000000000001,0.57904,0.33614999999999995,0.22665641464734182,0.3024104737076274
0.54,4.81,3.08,1.43,-4.51518,-2.58508,1.9301,-3.0161,0.1169,-0.2957,3.0328,1.2324,1.6945,1.9482,2.3191,2.569,2.587,1.4648200000000005,0.6549200000000002,-0.6696,-0.36550000000000016,0.46209999999999996,0.23560000000000003,0.519483619614314,0.2311195892594841
0.85,5.61,2.83,2.3,-4.68417,-1.64384,3.04033,1.6711,2.4374,-0.6451,3.0248,2.22363,2.7085,3.0911,3.1556,3.1871,3.2165,1.2958300000000005,1.5961600000000002,0.3216300000000001,0.6484999999999999,0.4848699999999999,0.33183000000000007,0.20267329107356782,0.27367062342207327
0.71,5.49,3.52,1.97,-4.71791,-2.1165,2.60141,-0.0494,0.5711,-0.1062,0.583,1.79862,2.2773,2.6833,2.8083,3.1023,3.1284,1.2620900000000006,1.1235000000000004,-0.1033799999999998,0.21729999999999983,0.4786799999999998,0.3241100000000001,0.3251398114760984,0.28306180866759256
0.43,4.86,3.07,1.42,-4.51464,-2.58535,1.92929,3.0169,0.1092,0.4896,3.0584,1.23125,1.6939,1.9477,2.3191,2.5687,2.5873,1.4653600000000004,0.6546500000000002,-0.67075,-0.3661000000000001,0.46265,0.23539,0.519623899128492,0.2309948183724554
0.83,5.31,2.94,2.21,-4.6126,-1.72956,2.88305,-0.1624,0.014,-0.0033,0.1631,2.06482,2.5933,2.7254,2.7501,3.2123,3.2643,1.3674000000000008,1.5104400000000002,0.1628200000000002,0.5333000000000001,0.5284800000000001,0.28974999999999973,0.2208127989500259,0.25476849727400874
0.99,5.41,3.26,2.07,-5.21452,-2.31787,2.89665,-0.6011,0.2819,5.4902,5.5302,2.04236,2.6361,2.9701,3.0412,3.2852,3.3004,0.7654800000000002,0.9221300000000001,0.14036000000000004,0.5760999999999998,0.5937399999999999,0.2605500000000003,0.39767109890601,0.4651106242853385
0.8,5.56,3.83,1.73,-5.01125,-2.8025,2.20875,-0.3743,-0.2175,1.3763,1.4428,1.47508,1.9169,2.2055,2.3464,2.4863,2.7697,0.96875,0.4375,-0.42691999999999997,-0.1431,0.4418200000000001,0.29185000000000016,0.645648526427892,0.37955718818308953
0.87,5.42,3.51,1.91,-4.92526,-1.91269,3.01257,0.5737,0.4609,-1.0969,1.3209,2.08795,2.6679,3.071,3.313,3.6272,3.6866,1.0547400000000007,1.3273100000000002,0.18595000000000028,0.6078999999999999,0.5799499999999997,0.34467000000000025,0.2651896628832661,0.348282969107221
0.8,5.27,3.31,1.96,-4.64281,-1.83813,2.80468,-0.9071,0.039,0.4103,0.9963,1.96169,2.5052,2.9241,3.2061,3.4927,3.618,1.3371900000000005,1.4018700000000002,0.05969000000000002,0.4451999999999998,0.5435099999999999,0.29947999999999997,0.24613625851286489,0.2625824896578161
0.82,5.3,3.4,1.9,-4.59219,-2.02181,2.57039,0.7559,0.0025,-0.0,0.756,1.6786,2.3343,2.8143,3.1549,3.446,3.5369,1.38781,1.2181900000000003,-0.22339999999999982,0.27429999999999977,0.6556999999999997,0.23609000000000036,0.29576501741982664,0.24962137728011002
0.754,5.14,3.17,1.97,-4.8107,-1.75513,3.05557,0.2819,0.3095,-0.8416,0.9399,2.12039,2.7004,3.1167,3.3174,3.6434,3.7333,1.1693000000000007,1.4848700000000001,0.21839000000000008,0.6404000000000001,0.5800100000000001,0.35516999999999976,0.2265317878947844,0.310584274182017
0.7,5.52,2.92,2.2,-4.57233,-1.89119,2.68114,-0.1875,0.1775,0.0134,0.2585,1.76751,2.4114,2.854,2.9852,3.0105,3.0855,1.4076700000000004,1.3488100000000003,-0.13449,0.35139999999999993,0.6438900000000001,0.2697400000000001,0.2595489401839584,0.24471280023292782
0.77,5.1,2.98,1.91,-4.83002,-2.16603,2.66399,-2.3,0.3389,0.6272,2.4079,1.82833,2.3713,2.7815,3.0171,3.3283,3.4735,1.1499800000000002,1.07397,-0.0736699999999999,0.31130000000000013,0.5429700000000002,0.2926899999999999,0.3416494730925215,0.31664310217776853
0.8,5.32,3.24,2.1,-4.90213,-2.06371,2.83842,0.4289,-0.3579,0.2221,0.6011,1.93808,2.5626,2.8928,3.1745,3.2371,3.4892,1.0778700000000008,1.1762900000000003,0.03608000000000011,0.5026000000000002,0.6245200000000002,0.27581999999999995,0.3084208600466002,0.3403196350172765
0.9,5.05,2.95,2.1,-4.68852,-2.01283,2.67569,2.4956,-1.1483,0.002,2.7471,1.88342,2.3725,2.5168,2.9893,3.0128,3.2067,1.2914800000000008,1.22717,-0.01857999999999982,0.3125,0.48907999999999996,0.30318999999999985,0.29312093725163485,0.2748636836586675
