idx,Nickname,HOMO(eV),LUMO(eV),bandgap(eV),Ref.No,smiles_monomer,smiles_oligomer
1,P3HT,-5.2,-3.27,1.93,S10,CCCCCCc1cc(C)sc1C,Cc1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(C)s1
2,P3HST,-4.9,-3.08,1.82,S123,CCCCCCSc1cc(C)sc1C,CSc1cc(sc1C)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(C)cc1SC
3,POPT,-5.34,-3.58,1.76,S126,CCCCCCCCc1ccc(-c2cc(C)sc2C)cc1,Cc1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(C)s1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1
4,PT-C1,-5.15,-3.23,1.92,S122,CCCCC(CC)COC(=O)c1cc(C)sc1-c1ccc(C)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(C)s1
5,PT-C2,-5.11,-3.22,1.89,S122,CCCCC(CC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1ccc(C)s1
6,POPTT,-5.43,-3.5,1.93,S126,CCCCCCCCc1ccc(-c2cc(C)sc2-c2ccc(-c3ccc(C)s3)s2)cc1,Cc1ccc(s1)-c1ccc(s1)-c1sc(cc1-c1ccccc1)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1-c1ccccc1
7,C6-TT,-5.25,-3.35,1.9,S124,CCCCCCc1cc(C)sc1-c1ccc(-c2sc(C)cc2CCCCCC)s1,Cc1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(C)cc1C
8,PDHTT,-5.15,-3.19,1.96,S380,CCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C
9,PDTPBT-C5,-4.81,-3.38,1.43,S359,CCCCCC(CCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12
10,PCV,-5.61,-3.31,2.3,S16,C/C=C/c1ccc2c3ccc(C)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,COc1ccc(cc1)-n1c2cc(C)ccc2c2ccc(\C=C\c3ccc4c(c3)n(-c3ccc(OC)cc3)c3cc(\C=C\c5ccc6c(c5)n(-c5ccc(OC)cc5)c5cc(\C=C\C)ccc65)ccc43)cc12
11,POPQT,-5.49,-3.52,1.97,S126,CCCCCCCCc1ccc(-c2cc(C)sc2-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)cc1,Cc1ccc(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(cc1-c1ccccc1)-c1ccc(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1-c1ccccc1
12,PDTPBT-C6,-4.86,-3.44,1.42,S359,CCCCCCC(CCCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12
13,O-PBDT,-5.31,-3.1,2.21,S119,CCCCC(CC)COc1c2cc(C)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1
14,S-PBDT,-5.41,-3.34,2.07,S119,CCCCC(CC)CSc1c2cc(C)sc2c(SCC(CC)CCCC)c2cc(C)sc12,CSc1c2cc(C)sc2c(SC)c2cc(sc12)-c1cc2c(SC)c3sc(cc3c(SC)c2s1)-c1cc2c(SC)c3sc(C)cc3c(SC)c2s1
15,P1-0,-5.56,-3.83,1.73,S405,CCCCCCCCC(CCCCCC)COc1c(F)c(-c2ccc(C)s2)c2nsnc2c1C,COc1c(C)c2nsnc2c(-c2ccc(s2)-c2c(OC)c(F)c(-c3ccc(s3)-c3c(OC)c(F)c(-c4ccc(C)s4)c4nsnc34)c3nsnc23)c1F
16,FEH,-5.42,-3.51,1.91,S372,CCCCC(CC)Cc1c(C)sc(-c2cc(F)c(-c3sc(C)cc3F)s2)c1CC(CC)CCCC,Cc1cc(F)c(s1)-c1sc(cc1F)-c1sc(c(C)c1C)-c1cc(F)c(s1)-c1sc(cc1F)-c1sc(C)c(C)c1C
17,HEH,-5.27,-3.31,1.96,S372,CCCCC(CC)Cc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CC(CC)CCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C
18,P3HDTTT,-5.3,-3.4,1.9,S121,CCCCCCCCC(CCCCCC)Cc1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,Cc1ccc(s1)-c1ccc(s1)-c1sc(cc1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1C
19,PDOTT,-5.14,-3.17,1.97,S380,CCCCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C
20,PCVT,-5.52,-3.32,2.2,S16,C/C=C/c1ccc2c3ccc(/C=C/c4ccc(C)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,COc1ccc(cc1)-n1c2cc(\C=C\C)ccc2c2ccc(\C=C\c3ccc(\C=C\c4ccc5c(c4)n(-c4ccc(OC)cc4)c4cc(\C=C\c6ccc(C)s6)ccc54)s3)cc12
21,PT-C3,-5.1,-3.19,1.91,S122,CCCCCCCCC(CCCCCC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1ccc(C)s1
22,PBDT[2H]T,-5.32,-3.22,2.1,S130,CCCCC(CC)COc1c2cc(-c3ccc(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(C)s1
23,PBDT[2F]T,-5.05,-2.95,2.1,S130,CCCCC(CC)COc1c2cc(-c3sc(C)c(F)c3F)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(c(F)c1F)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(C)c(F)c1F
