idx,HOMO-B3LYP(eV),LUMO-B3LYP(eV),HOMO-LUMO-B3LYP(eV)
1,-5.60446,0.0182316,5.62269
2,-5.86677,-0.321639,5.54514
3,-5.52309,-0.446539,5.07656
4,-5.43411,-1.44547,3.98864
5,-5.10866,-1.75051,3.35816
6,-4.95193,-1.44819,3.50374
7,-4.92825,-1.28982,3.63843
8,-4.92662,-1.36764,3.55898
9,-4.75573,-2.28249,2.47324
10,-5.12717,-0.784504,4.34266
11,-4.83437,-1.71813,3.11625
12,-4.75056,-2.28113,2.46943
13,-5.08009,-0.859063,4.22103
14,-5.39384,-1.26751,4.12633
15,-5.35003,-2.23269,3.11734
16,-5.21805,-1.30941,3.90864
17,-5.06268,-1.28764,3.77503
18,-5.13669,-1.4169,3.7198
19,-5.13696,-1.37309,3.76388
20,-4.82839,-1.48139,3.347
21,-5.22159,-1.66207,3.55952
22,-4.999,-1.45309,3.54591
23,-5.09043,-1.60874,3.4817
24,-4.91165,-2.38127,2.53039
25,-4.95492,-2.37691,2.57801
26,-4.87084,-2.36657,2.50426
27,-5.00308,-2.53855,2.46453
28,-4.99764,-2.46535,2.53229
29,-5.29751,-1.87405,3.42346
30,-4.89288,-2.32848,2.5644
31,-5.30948,-2.19433,3.11516
32,-4.75138,-2.27923,2.47215
33,-5.00934,-2.36412,2.64522
34,-4.53641,-3.63925,0.897159
35,-5.44772,-2.80359,2.64413
36,-4.99873,-1.17689,3.82184
37,-5.11003,-1.58425,3.52578
38,-4.96744,-2.35161,2.61583
39,-4.91764,-2.30154,2.6161
40,-5.11139,-2.29174,2.81964
41,-5.14105,-2.4229,2.71814
42,-5.04717,-2.3761,2.67107
43,-5.03574,-2.53909,2.49664
44,-4.97887,-1.49309,3.48578
45,-5.03547,-2.41392,2.62154
46,-5.11383,-2.4044,2.70944
47,-5.04036,-2.15242,2.88794
48,-4.88608,-2.3897,2.49637
49,-4.9737,-2.58699,2.38671
50,-5.02322,-2.33991,2.68331
51,-4.92199,-1.24057,3.68143
52,-5.01669,-1.47676,3.53993
53,-5.66405,-2.55161,3.11244
54,-5.29806,-2.65665,2.64141
55,-5.22377,-1.83024,3.39353
56,-5.19928,-1.76629,3.43299
57,-5.33588,-2.00847,3.32741
58,-5.33316,-2.44794,2.88522
59,-5.18486,-0.471845,4.71301
60,-5.10186,-2.44413,2.65774
61,-5.02023,-2.39596,2.62427
62,-5.02104,-1.4286,3.59245
63,-5.1356,-1.40574,3.72986
64,-5.10812,-1.39159,3.71653
65,-4.86131,-2.09609,2.76522
66,-5.48527,-2.94128,2.54399
67,-4.81206,-2.5146,2.29746
68,-5.27275,-3.09067,2.18208
69,-5.04771,-2.53746,2.51025
70,-5.01043,-2.57828,2.43215
71,-4.99492,-2.541,2.45392
72,-5.19547,-2.32929,2.86617
73,-5.0088,-1.24655,3.76225
74,-5.03111,-2.52685,2.50426
75,-5.12554,-2.83787,2.28766
76,-5.00934,-2.77774,2.23161
77,-5.42921,-2.92767,2.50154
78,-4.8156,-1.65146,3.16414
79,-4.88254,-2.61175,2.27079
80,-4.92553,-2.50835,2.41719
81,-5.04145,-2.57039,2.47107
82,-5.05315,-2.75298,2.30018
83,-5.10241,-2.52984,2.57256
84,-4.98431,-1.36002,3.62428
85,-5.09533,-2.50181,2.59352
86,-5.19574,-2.21746,2.97829
87,-5.36445,-2.58971,2.77474
88,-5.10758,-2.07514,3.03244
89,-5.15411,-2.16956,2.98454
90,-4.78186,-1.30479,3.47707
91,-5.27955,-1.90425,3.3753
92,-4.98213,-2.45555,2.52658
93,-5.27084,-1.71813,3.55272
94,-5.15166,-2.2014,2.95026
95,-5.14703,-2.13745,3.00958
96,-5.16581,-2.09609,3.06972
97,-5.07411,-2.11051,2.96359
98,-5.15411,-2.16984,2.98427
99,-4.88281,-2.14181,2.741
100,-4.80716,-2.67787,2.12929
101,-4.89233,-2.28167,2.61066
102,-5.06295,-2.29664,2.76631
103,-4.86539,-2.26208,2.60331
104,-3.77585,-2.43596,1.33989
105,-4.94268,-2.15541,2.78726
106,-5.07383,-2.27133,2.8025
107,-5.0137,-2.2814,2.73229
108,-4.75546,-2.23705,2.51841
109,-4.99492,-2.10562,2.8893
110,-4.94975,-2.10698,2.84277
111,-4.99111,-1.92357,3.06754
112,-4.879,-1.69309,3.18591
113,-5.2303,-2.66644,2.56386
114,-5.29778,-2.10807,3.18972
115,-5.1454,-2.24576,2.89964
116,-5.09451,-2.41202,2.6825
117,-4.87084,-1.64874,3.2221
118,-4.65151,-2.39569,2.25582
119,-5.16526,-2.33365,2.83162
120,-4.67029,-2.14072,2.52957
121,-4.91057,-1.78969,3.12087
122,-5.07302,-2.05909,3.01393
123,-5.13452,-2.15079,2.98373
124,-4.95519,-2.51869,2.43651
125,-4.94975,-1.83731,3.11244
126,-5.20907,-2.17501,3.03407
127,-4.89886,-2.38535,2.51352
128,-5.24717,-1.88194,3.36523
129,-5.13914,-2.03568,3.10346
130,-5.06377,-2.44059,2.62318
131,-4.83383,-2.57583,2.258
132,-5.15737,-2.00385,3.15353
133,-4.95138,-2.46453,2.48685
134,-5.1269,-2.12439,3.0025
135,-4.84934,-2.71025,2.13909
136,-5.22214,-2.12194,3.10019
137,-4.92281,-1.74833,3.17448
138,-5.29207,-2.15541,3.13666
139,-4.99492,-2.19732,2.7976
140,-4.98376,-1.98616,2.99761
141,-5.07982,-2.00684,3.07298
142,-4.01232,-2.54835,1.46397
143,-4.95546,-1.96276,2.99271
144,-4.77995,-1.96738,2.81257
145,-5.04853,-2.0765,2.97203
146,-4.93261,-1.87895,3.05366
147,-4.70321,-2.13582,2.56739
148,-4.01422,-2.4844,1.52982
149,-4.78186,-1.32438,3.45748
150,-4.16252,-2.79134,1.37118
151,-5.0039,-1.95541,3.04849
152,-5.19928,-2.49719,2.70209
153,-4.97397,-2.14562,2.82835
154,-5.10785,-2.05391,3.05393
155,-4.27899,-2.53202,1.74697
156,-4.93424,-2.5244,2.40984
157,-4.61832,-3.00958,1.60874
158,-5.16445,-2.06997,3.09448
159,-5.00635,-2.21038,2.79597
160,-4.87982,-2.70318,2.17664
161,-4.80553,-2.6161,2.18943
162,-5.00444,-2.65284,2.35161
163,-5.05315,-2.29093,2.76223
164,-4.77968,-1.99106,2.78862
165,-5.09315,-2.13283,2.96033
166,-4.61342,-2.3312,2.28222
167,-4.4077,-3.04659,1.36111
168,-5.04417,-2.26018,2.784
169,-5.02077,-2.05609,2.96468
170,-5.04744,-2.27406,2.77338
171,-5.38676,-2.76576,2.621
172,-5.10159,-2.3761,2.72549
173,-5.12526,-1.9799,3.14536
174,-4.94104,-2.37882,2.56222
175,-5.00962,-2.25365,2.75597
176,-5.36255,-2.59379,2.76876
177,-5.11982,-2.45555,2.66427
178,-5.13261,-2.30535,2.82726
179,-5.04962,-2.13827,2.91135
180,-5.17234,-2.36249,2.80985
181,-5.20282,-2.24984,2.95298
182,-5.24935,-2.08385,3.1655
183,-5.13642,-2.35215,2.78427
184,-4.99302,-2.54644,2.44658
185,-5.34241,-2.28195,3.06046
186,-5.13071,-1.36574,3.76497
187,-5.19683,-2.501,2.69583
188,-5.29479,-2.87788,2.41691
189,-5.07356,-2.49011,2.58345
190,-5.04254,-2.40794,2.63461
191,-5.06921,-2.11922,2.94999
192,-5.10975,-2.22453,2.88522
193,-4.91002,-2.09881,2.81121
194,-4.95274,-2.02317,2.92958
195,-5.22404,-2.03296,3.19108
196,-5.29125,-1.88303,3.40823
197,-5.05533,-2.32331,2.73202
198,-5.05751,-2.02208,3.03543
199,-5.26676,-2.39215,2.87461
200,-5.10649,-2.14698,2.95951
201,-5.11438,-2.17473,2.93965
202,-4.87927,-2.03813,2.84114
203,-5.12091,-2.14072,2.98019
204,-5.15193,-2.13364,3.01829
205,-5.05288,-2.19405,2.85883
206,-5.17533,-2.17718,2.99815
207,-5.2039,-2.17201,3.03189
208,-3.87164,-3.23951,0.63212
209,-3.91898,-3.25938,0.659604
210,-5.01479,-2.35569,2.6591
211,-5.34949,-2.9459,2.40358
212,-4.56117,-2.3214,2.23977
213,-5.34812,-2.18535,3.16278
214,-4.67192,-2.5459,2.12603
215,-4.92417,-2.61692,2.30725
216,-5.1337,-2.19297,2.94073
217,-5.38949,-2.36494,3.02454
218,-4.91111,-1.96929,2.94182
219,-5.0586,-2.38127,2.67733
220,-4.72335,-2.57148,2.15188
221,-4.94376,-2.70291,2.24086
222,-4.72907,-1.78724,2.94182
223,-4.87437,-2.14126,2.73311
224,-5.14322,-2.13881,3.00441
225,-4.1598,-2.52032,1.63949
226,-4.556,-2.37447,2.18154
227,-3.63517,-3.15652,0.478648
228,-4.03082,-2.46154,1.56928
229,-4.75029,-1.93174,2.81855
230,-4.92172,-1.86969,3.05203
231,-4.70947,-2.04494,2.66454
232,-4.75437,-2.49365,2.26072
233,-4.77478,-2.04412,2.73066
234,-5.16499,-2.10235,3.06264
235,-5.13397,-2.12521,3.00876
236,-4.94458,-2.16956,2.77502
237,-5.07111,-2.18562,2.88549
238,-4.85614,-1.8999,2.95624
239,-4.61995,-2.33963,2.28031
240,-5.10349,-2.03514,3.06836
241,-5.00472,-2.05963,2.94509
242,-5.07873,-1.99378,3.08495
243,-5.0507,-2.18262,2.86808
244,-5.08662,-2.36494,2.72168
245,-4.9073,-1.76683,3.14047
246,-5.08499,-2.36793,2.71706
247,-4.8341,-2.44249,2.39161
248,-5.31846,-2.59678,2.72168
249,-5.02376,-2.26399,2.75978
250,-4.78675,-2.47215,2.3146
251,-5.22676,-2.37365,2.85311
252,-5.16581,-2.51596,2.64984
253,-5.14023,-2.17392,2.96631
254,-4.8205,-2.18643,2.63406
255,-5.32826,-2.61256,2.7157
256,-4.94104,-2.12603,2.81502
257,-4.76172,-2.39759,2.36412
258,-5.03383,-2.4912,2.54263
259,-4.99002,-2.24167,2.74835
260,-5.1903,-2.1848,3.0055
261,-5.31765,-1.855,3.46265
262,-5.02894,-2.40086,2.62808
263,-4.96145,-2.381,2.58046
264,-4.94921,-1.8199,3.12931
265,-4.79301,-1.85092,2.94209
266,-4.9454,-2.31514,2.63025
267,-4.91002,-2.30127,2.60876
268,-5.07138,-2.21283,2.85856
269,-5.25125,-1.8569,3.39435
270,-5.20907,-2.27269,2.93638
271,-4.95574,-2.13201,2.82372
272,-4.94812,-2.13228,2.81583
273,-5.21207,-2.32603,2.88604
274,-5.14921,-1.22887,3.92034
275,-4.86403,-2.43079,2.43324
276,-4.95955,-2.3897,2.56984
277,-4.81533,-2.19569,2.61964
278,-4.90893,-1.4256,3.48333
279,-5.11601,-2.16875,2.94726
280,-5.0673,-2.46127,2.60603
281,-5.01234,-2.51841,2.49392
282,-4.21368,-2.4493,1.76439
283,-4.80907,-2.4629,2.34617
284,-3.88687,-2.49528,1.39159
285,-4.04035,-2.72331,1.31703
286,-4.88118,-2.52005,2.36113
287,-4.98458,-2.33229,2.65229
288,-4.89261,-2.51215,2.38045
289,-5.02785,-2.01963,3.00822
290,-4.99791,-2.13446,2.86345
291,-5.20989,-2.72359,2.4863
292,-4.88145,-2.18834,2.69311
293,-5.1552,-2.20358,2.95162
294,-4.599,-2.47868,2.12031
295,-5.17098,-2.61556,2.55542
296,-4.65233,-2.04058,2.61175
297,-4.8409,-2.48522,2.35569
298,-5.1835,-2.07432,3.10917
299,-4.93723,-1.77255,3.16468
300,-3.90946,-2.64059,1.26887
301,-4.92063,-2.53991,2.38072
302,-4.64716,-2.3595,2.28766
303,-4.89342,-2.58889,2.30453
304,-4.80063,-2.47406,2.32657
305,-5.01152,-2.2629,2.74862
306,-5.04989,-2.33909,2.7108
307,-3.56279,-3.03325,0.529533
308,-5.04309,-2.32249,2.72059
309,-5.23139,-2.40494,2.82645
310,-4.92335,-1.81418,3.10917
311,-5.23629,-2.59841,2.63787
312,-5.30132,-2.3829,2.91842
313,-5.14268,-2.21746,2.92522
314,-5.20635,-2.15732,3.04904
315,-4.91383,-1.91623,2.99761
316,-5.15982,-2.12303,3.03679
317,-5.04227,-1.79677,3.2455
318,-4.8292,-1.98997,2.83924
319,-4.92308,-1.78724,3.13584
320,-4.87329,-1.99595,2.87733
321,-4.85369,-2.54372,2.30997
322,-5.03383,-1.78697,3.24686
323,-4.73968,-2.16086,2.57882
324,-4.84036,-1.45309,3.38727
325,-4.78158,-2.45882,2.32276
326,-4.89587,-2.14344,2.75243
327,-4.77505,-2.44603,2.32902
328,-4.68498,-2.53447,2.15052
329,-4.8126,-2.21473,2.59787
330,-4.88363,-2.34698,2.53664
331,-5.04526,-2.43297,2.61229
332,-5.00118,-2.49719,2.50399
333,-5.0907,-2.56114,2.52957
334,-4.86512,-2.1497,2.71542
335,-4.96172,-2.39161,2.57011
336,-4.62947,-2.39106,2.23841
337,-4.8692,-1.94507,2.92413
338,-5.13207,-2.38481,2.74726
339,-4.94077,-2.5859,2.35487
340,-4.97832,-2.07704,2.90128
341,-4.80961,-2.08956,2.72005
342,-4.48933,-2.5059,1.98344
343,-4.78675,-2.11568,2.67107
344,-5.09533,-2.44957,2.64576
345,-4.91546,-2.19786,2.7176
346,-4.84662,-2.79842,2.0482
347,-4.90403,-2.24766,2.65637
348,-4.89723,-2.21691,2.68032
349,-5.1835,-2.74536,2.43814
350,-4.5541,-1.88983,2.66427
351,-4.49124,-1.98861,2.50263
352,-4.92608,-1.93146,2.99461
353,-4.89478,-2.29691,2.59787
354,-5.01206,-2.31052,2.70155
355,-4.64417,-2.40766,2.2365
356,-4.89424,-2.37583,2.51841
357,-5.03356,-2.66998,2.36358
358,-5.04254,-2.45202,2.59052
359,-5.06132,-2.44467,2.61665
360,-4.72172,-2.36004,2.36168
361,-4.9522,-1.96711,2.98509
362,-4.90131,-2.27514,2.62617
363,-4.77369,-2.38018,2.39351
364,-4.66049,-2.60957,2.05092
365,-4.90975,-1.78888,3.12087
366,-4.86131,-1.94616,2.91516
367,-4.21287,-2.74508,1.46778
368,-4.58648,-2.44195,2.14453
369,-5.11166,-2.05201,3.05965
370,-4.57641,-2.32603,2.25038
371,-4.1111,-2.63325,1.47785
372,-4.69396,-2.48249,2.21147
373,-5.29234,-2.3829,2.90944
374,-4.90349,-1.57472,3.32877
375,-4.8156,-2.59515,2.22045
376,-4.62158,-2.63624,1.98534
377,-4.76063,-2.48086,2.27977
378,-4.76526,-1.92602,2.83924
379,-4.82866,-2.5342,2.29446
380,-4.63491,-2.44467,2.19024
381,-4.75492,-2.51542,2.2395
382,-5.03329,-2.10997,2.92332
383,-4.79709,-2.53909,2.258
384,-4.76444,-1.86371,2.90073
385,-4.57423,-2.45664,2.11759
386,-5.00608,-2.15841,2.84767
387,-4.58648,-2.56739,2.01908
388,-4.72362,-2.55379,2.16984
389,-4.94648,-2.1233,2.82318
390,-4.88199,-2.53175,2.35025
391,-4.93968,-2.45528,2.4844
392,-5.03982,-1.94779,3.09203
393,-4.94186,-2.52032,2.42154
394,-5.16907,-2.33419,2.83488
395,-4.66566,-2.49447,2.1712
396,-5.14513,-2.22426,2.92087
397,-4.77179,-2.51324,2.25854
398,-4.84036,-2.52522,2.31514
399,-5.35547,-2.76141,2.59406
400,-5.0888,-2.80604,2.28276
401,-4.61859,-2.38644,2.23215
402,-5.06458,-2.84141,2.22317
403,-5.0937,-2.17473,2.91896
404,-4.05722,-2.7576,1.29962
405,-4.17259,-2.64359,1.52901
406,-4.88771,-2.39324,2.49447
407,-4.93669,-2.33474,2.60195
408,-5.0722,-2.02725,3.04495
409,-5.12091,-2.72712,2.39379
410,-5.26078,-1.93854,3.32224
411,-4.52852,-2.38317,2.14535
412,-4.74022,-2.36168,2.37855
413,-4.75873,-2.45474,2.30399
414,-5.01397,-2.3829,2.63107
415,-4.98132,-2.3712,2.61012
416,-5.0673,-2.25936,2.80794
417,-4.91982,-2.79923,2.12058
418,-5.01914,-2.71297,2.30616
419,-5.01696,-1.66642,3.35054
420,-4.95764,-2.52249,2.43515
421,-4.72743,-2.38263,2.3448
422,-5.09615,-2.22072,2.87543
423,-4.73505,-2.39188,2.34317
424,-5.08962,-2.39868,2.69093
425,-5.16309,-2.65882,2.50426
426,-4.48416,-2.3214,2.16276
427,-4.8009,-2.24358,2.55733
428,-4.38294,-2.72059,1.66234
429,-5.11111,-2.13446,2.97665
430,-4.99138,-2.4327,2.55869
431,-5.07383,-2.37066,2.70318
432,-4.72607,-2.35406,2.37202
433,-5.08145,-2.54644,2.53501
434,-5.00689,-2.5127,2.4942
435,-4.08797,-2.55733,1.53064
436,-4.94404,-1.93228,3.01176
437,-5.04635,-1.9418,3.10455
438,-4.88635,-2.01419,2.87216
439,-5.33343,-2.24031,3.09312
440,-5.00717,-2.41447,2.5927
441,-5.14758,-1.99623,3.15135
442,-4.76362,-2.5712,2.19242
443,-4.96526,-2.53937,2.42589
444,-5.29452,-1.84466,3.44986
445,-4.89043,-2.61365,2.27678
446,-4.72117,-2.59161,2.12956
447,-4.79791,-2.36657,2.43134
448,-4.87546,-2.53637,2.33909
449,-4.89642,-2.49311,2.40331
450,-4.79982,-2.34807,2.45175
451,-5.00635,-2.23269,2.77366
452,-4.54348,-2.36793,2.17555
453,-5.00444,-2.21664,2.78781
454,-4.80635,-2.80277,2.00357
455,-4.78757,-2.53991,2.24766
456,-4.84335,-2.24494,2.59841
457,-4.7239,-2.45066,2.27324
458,-4.8439,-1.98099,2.86291
459,-4.91329,-2.35542,2.55787
460,-5.10567,-2.32412,2.78155
461,-4.86295,-2.35106,2.51188
462,-4.9658,-2.67978,2.28603
463,-4.92689,-2.65556,2.27133
464,-4.99193,-2.68331,2.30861
465,-4.94757,-2.61964,2.32793
466,-4.90703,-2.69882,2.2082
467,-4.94893,-2.62889,2.32004
468,-4.89614,-2.60005,2.2961
469,-4.86757,-2.74917,2.11841
470,-5.00989,-2.66263,2.34725
471,-4.84335,-1.67051,3.17285
472,-4.95247,-2.22535,2.72712
473,-4.82403,-2.50862,2.31542
474,-4.81451,-2.02317,2.79134
475,-4.62974,-2.40086,2.22888
476,-5.26948,-2.69556,2.57392
477,-4.46838,-3.21203,1.25635
478,-4.79356,-2.46862,2.32494
479,-4.7873,-2.49311,2.29419
480,-4.6273,-2.4044,2.2229
481,-4.91111,-2.38671,2.5244
482,-3.67082,-3.15298,0.517833
483,-4.82104,-2.48032,2.34072
484,-4.93478,-2.27079,2.66399
485,-4.74458,-2.50535,2.23922
486,-5.09506,-2.34997,2.74508
487,-4.77995,-2.35351,2.42644
488,-4.84063,-2.44331,2.39732
489,-4.90866,-2.16439,2.74427
490,-3.72388,-3.02101,0.70287
491,-3.80796,-3.0787,0.729265
492,-5.04227,-2.35814,2.68413
493,-4.86594,-2.45283,2.41311
494,-4.92989,-2.33365,2.59624
495,-4.97533,-2.378,2.59733
496,-4.97533,-2.27215,2.70318
497,-4.77233,-2.17936,2.59297
498,-4.91247,-2.47868,2.43379
499,-4.9171,-2.39188,2.52522
500,-4.91982,-1.86262,3.0572
501,-4.679,-1.71731,2.96169
502,-4.96798,-2.38045,2.58753
503,-5.06377,-2.4327,2.63107
504,-5.16282,-2.38317,2.77964
505,-4.84607,-2.62018,2.22589
506,-5.10213,-2.31297,2.78917
507,-4.97397,-2.19351,2.78046
508,-4.9941,-2.14752,2.84658
509,-5.04472,-1.94833,3.09638
510,-5.04445,-1.89119,3.15325
511,-4.80335,-1.93963,2.86373
512,-4.80118,-2.57284,2.22834
513,-5.21833,-2.34372,2.87461
514,-4.84444,-2.01609,2.82835
515,-5.32173,-2.68005,2.64168
516,-4.55763,-2.50236,2.05528
517,-4.84308,-2.55624,2.28684
518,-4.93125,-2.71923,2.21201
519,-5.0771,-1.99786,3.07924
520,-4.75818,-2.52522,2.23297
521,-4.58158,-2.41174,2.16984
522,-4.799,-2.54699,2.25201
523,-4.67791,-2.56168,2.11623
524,-5.03057,-2.35188,2.67869
525,-5.08744,-1.97745,3.10999
526,-4.83165,-2.36059,2.47107
527,-4.80852,-2.00602,2.8025
528,-4.95465,-2.36276,2.59188
529,-5.04962,-2.6259,2.42372
530,-4.97179,-2.35487,2.61692
531,-5.22431,-2.42916,2.79515
532,-4.74784,-2.51977,2.22807
533,-4.03327,-2.17065,1.86262
534,-4.9541,-2.29283,2.66127
535,-5.01669,-2.17283,2.84386
536,-3.97341,-2.56168,1.41173
537,-5.0371,-2.52494,2.51215
538,-4.89424,-2.19297,2.70127
539,-5.05968,-2.49229,2.56739
540,-4.84118,-2.38998,2.4512
541,-4.75764,-2.46535,2.29229
542,-4.70485,-2.3478,2.35705
543,-4.93342,-2.5195,2.41392
544,-4.77233,-2.52685,2.24548
545,-4.93097,-2.24684,2.68413
546,-4.78213,-2.23841,2.54372
547,-4.85614,-2.18344,2.6727
548,-4.84335,-2.57719,2.26616
549,-4.72553,-3.44714,1.27839
550,-5.18758,-2.33664,2.85094
551,-4.77587,-2.60331,2.17256
552,-5.18703,-2.67869,2.50835
553,-5.11683,-2.29963,2.81719
554,-4.80254,-2.31433,2.48821
555,-4.83329,-2.52984,2.30344
556,-4.91927,-2.31514,2.60413
557,-5.05723,-2.66835,2.38889
558,-5.14023,-2.35188,2.78835
559,-5.18731,-2.60794,2.57937
560,-4.98948,-2.38916,2.60032
561,-5.1473,-2.6961,2.4512
562,-5.03655,-2.63433,2.40222
563,-5.05805,-1.92765,3.1304
564,-4.77451,-2.41501,2.3595
565,-4.90131,-2.41283,2.48848
566,-4.71709,-2.56794,2.14915
567,-4.92662,-2.56875,2.35787
568,-4.77315,-2.5712,2.20194
569,-4.87601,-2.25419,2.62182
570,-5.04336,-1.97364,3.06972
571,-5.00254,-2.23487,2.76767
572,-4.91791,-2.28548,2.63243
573,-4.96036,-2.04303,2.91733
574,-4.89805,-2.1097,2.78835
575,-5.15302,-2.6161,2.53692
576,-4.48552,-1.83677,2.64876
577,-5.00281,-2.17528,2.82753
578,-4.70158,-2.56331,2.13827
579,-5.11764,-2.72631,2.39134
580,-4.23545,-2.40494,1.83051
581,-4.72281,-2.01065,2.71216
582,-4.86485,-2.08439,2.78046
583,-5.08499,-1.99106,3.09393
584,-5.13615,-2.38426,2.75189
585,-5.50132,-2.85856,2.64277
586,-5.07247,-1.99405,3.07842
587,-4.97533,-2.46399,2.51134
588,-5.12064,-2.33038,2.79025
589,-4.90376,-2.9206,1.98317
590,-5.11492,-1.95459,3.16033
591,-5.0488,-2.72331,2.32548
592,-4.8741,-2.34671,2.52739
593,-5.14567,-3.49095,1.65472
594,-5.10894,-2.63406,2.47488
595,-4.98132,-2.26344,2.71787
596,-4.87056,-2.29855,2.57202
597,-5.01179,-2.82073,2.19106
598,-5.21016,-2.73093,2.47923
599,-4.77369,-2.45555,2.31814
600,-4.80145,-2.55188,2.24956
601,-4.57859,-2.26535,2.31324
602,-4.92934,-2.25392,2.67542
603,-3.68088,-3.35163,0.329258
604,-4.84363,-2.67597,2.16766
605,-3.89939,-3.4621,0.437287
606,-4.97424,-2.44875,2.52549
607,-5.10594,-2.57773,2.52821
608,-4.87165,-2.50154,2.37011
609,-4.1198,-2.77202,1.34778
610,-4.89097,-2.78427,2.10671
611,-4.00552,-2.6308,1.37472
612,-5.00254,-2.6591,2.34344
613,-5.01859,-2.36412,2.65447
614,-4.22838,-2.78209,1.44628
615,-4.84798,-2.51379,2.33419
616,-4.95682,-2.67161,2.28521
617,-5.03519,-2.64331,2.39188
618,-5.20499,-2.69882,2.50617
619,-5.08091,-2.68168,2.39923
620,-5.00526,-2.15786,2.8474
621,-4.88716,-2.16276,2.7244
622,-4.60988,-2.43052,2.17936
623,-4.85016,-2.6142,2.23596
