idx,HOMO-B3LYP(eV),LUMO-B3LYP(eV),HOMO-LUMO-B3LYP(eV),HOMO-wB97XD(eV),LUMO-wB97XD(eV),HOMO-LUMO-wB97XD(eV),HOMO-camB3LYP(eV),LUMO-camB3LYP(eV),HOMO-LUMO-camB3LYP(eV),HOMO-PBE(eV),LUMO-PBE(eV),HOMO-LUMO-PBE(eV),S1-state-B3LYP(eV)
1,-4.58593,-1.79867,2.78726,-6.33971,-0.268032,6.07168,-5.77398,-0.790218,4.98376,-4.03082,-2.2678,1.76303,2.4954
2,-4.99329,-2.27297,2.72032,-6.76774,-0.755116,6.01263,-6.19766,-1.27757,4.92009,-4.42729,-2.73937,1.68792,2.3866
3,-4.97206,-1.77228,3.19979,-6.78652,-0.174153,6.61237,-6.20828,-0.70804,5.50024,-4.39545,-2.31188,2.08358,2.7435
4,-4.90784,-2.2082,2.69964,-6.65345,-0.674026,5.97943,-6.08392,-1.19594,4.88798,-4.34947,-2.66644,1.68302,2.3922
5,-4.83002,-2.1663,2.66372,-6.57481,-0.636202,5.93861,-6.00637,-1.15757,4.8488,-4.28117,-2.62617,1.655,2.3712
6,-4.78077,-1.94997,2.8308,-6.55386,-0.404089,6.14977,-5.98487,-0.92818,5.05669,-4.23055,-2.44358,1.78697,2.5121
7,-4.67083,-1.86235,2.80849,-6.43195,-0.328441,6.10351,-5.86432,-0.850356,5.01397,-4.11763,-2.33855,1.77908,2.5179
8,-4.78403,-1.75568,3.02835,-6.57781,-0.187214,6.39059,-6.00936,-0.71321,5.29615,-4.2028,-2.25746,1.94534,2.6922
9,-4.51518,-2.58508,1.9301,-6.18324,-1.15104,5.0322,-5.6118,-1.6569,3.9549,-4.05232,-3.01012,1.0422,1.6945
10,-4.68417,-1.64384,3.04033,-6.43576,-0.110206,6.32556,-5.85698,-0.614161,5.24282,-4.14729,-2.17718,1.9701,2.7085
11,-4.71791,-2.1165,2.60141,-6.46951,-0.600011,5.86949,-5.90188,-1.11757,4.7843,-4.19001,-2.58971,1.6003,2.2773
12,-4.51464,-2.58535,1.92929,-6.18243,-1.15159,5.03084,-5.61099,-1.65745,3.95354,-4.05177,-3.01039,1.04138,1.6939
13,-4.6126,-1.72956,2.88305,-6.37508,-0.269665,6.10542,-5.80609,-0.771715,5.03438,-3.95926,-2.17473,1.78452,2.5933
14,-5.21452,-2.31787,2.89665,-6.96176,-0.873485,6.08827,-6.38706,-1.36438,5.02268,-4.66947,-2.80277,1.8667,2.6361
15,-5.01125,-2.8025,2.20875,-6.7223,-1.34724,5.37506,-6.1514,-1.86153,4.28987,-4.4741,-3.20713,1.26696,1.9169
16,-4.92526,-1.91269,3.01257,-6.72339,-0.363544,6.35984,-6.15413,-0.890356,5.26377,-4.29559,-2.36712,1.92847,2.6679
17,-4.81043,-1.75513,3.05529,-6.6072,-0.183677,6.42352,-6.03712,-0.711033,5.32608,-4.22783,-2.25854,1.96929,2.5052
18,-4.59219,-2.02181,2.57039,-6.32855,-0.522458,5.80609,-5.76201,-1.03811,4.7239,-4.06538,-2.47651,1.58887,2.3343
19,-4.8107,-1.75513,3.05557,-6.60747,-0.183677,6.42379,-6.03739,-0.710761,5.32663,-4.2281,-2.25854,1.96956,2.7004
20,-4.57233,-1.89119,2.68114,-6.30597,-0.384769,5.9212,-5.7348,-0.883826,4.85097,-4.05749,-2.39079,1.6667,2.4114
21,-4.83002,-2.16603,2.66399,-6.57481,-0.636202,5.93861,-6.00664,-1.15757,4.84907,-4.28117,-2.62617,1.655,2.3713
22,-4.90213,-2.06371,2.83842,-6.65237,-0.570078,6.08229,-6.08419,-1.0822,5.002,-4.33804,-2.53746,1.80058,2.5626
23,-4.68852,-2.01283,2.67569,-6.45889,-0.544228,5.91467,-5.88745,-1.05444,4.83301,-4.01449,-2.41773,1.59676,2.3725
24,-4.61614,-2.63025,1.98589,-6.31603,-1.17744,5.1386,-5.74187,-1.68792,4.05395,-4.13667,-3.06182,1.07485,1.7357
25,-4.65913,-2.66182,1.99732,-6.3612,-1.21063,5.15057,-5.78432,-1.71921,4.06511,-4.17831,-3.09176,1.08655,1.7433
26,-4.54593,-2.64903,1.89691,-6.21943,-1.209,5.01043,-5.6518,-1.71867,3.93313,-4.08252,-3.07108,1.01145,1.6737
27,-4.72063,-2.77665,1.94398,-6.40229,-1.35349,5.0488,-5.8363,-1.8648,3.9715,-4.21368,-3.14808,1.0656,1.7127
28,-4.6643,-2.74889,1.91541,-6.33617,-1.32411,5.01206,-5.77045,-1.83459,3.93585,-4.18021,-3.14183,1.03839,1.6854
29,-4.81968,-2.49991,2.31977,-6.5359,-1.04791,5.48799,-5.9729,-1.54697,4.42593,-4.31055,-2.9255,1.38506,2.0922
30,-4.64417,-2.65284,1.99133,-6.34216,-1.20465,5.13751,-5.768,-1.71432,4.05368,-4.16525,-3.08142,1.08383,1.7396
31,-5.10513,-2.60005,2.50508,-6.82217,-1.10941,5.71276,-6.25345,-1.62289,4.63056,-4.56471,-3.02863,1.53608,2.2307
32,-4.51491,-2.58454,1.93038,-6.18297,-1.1505,5.03247,-5.61153,-1.65636,3.95517,-4.05205,-3.00985,1.0422,1.6947
33,-4.75791,-2.66372,2.09419,-6.46896,-1.19975,5.26921,-5.8948,-1.7116,4.18321,-4.2496,-3.09666,1.15295,1.805
34,-5.1239,-2.57964,2.54426,-6.8404,-1.01662,5.82378,-6.27032,-1.52248,4.74784,-4.55246,-3.12332,1.42914,2.29
35,-5.48799,-3.28224,2.20575,-7.21183,-1.79976,5.41207,-6.63658,-2.3078,4.32879,-4.88444,-3.69911,1.18533,1.9023
36,-4.94512,-2.12847,2.81665,-6.68121,-0.699332,5.98188,-6.10732,-1.18478,4.92254,-4.40879,-2.61066,1.79813,2.5488
37,-5.04363,-2.21283,2.8308,-6.80094,-0.698516,6.10242,-6.22896,-1.2139,5.01506,-4.45124,-2.68114,1.7701,2.502
38,-4.75927,-2.69311,2.06616,-6.45454,-1.24247,5.21207,-5.89589,-1.75731,4.13858,-4.21858,-3.09012,1.12846,1.8031
39,-4.63927,-2.59678,2.04249,-6.32909,-1.13744,5.19166,-5.76609,-1.65064,4.11545,-4.14892,-3.02373,1.12519,1.7752
40,-4.95302,-2.64059,2.31242,-6.64856,-1.17091,5.47765,-6.08474,-1.67432,4.41042,-4.43954,-3.06264,1.3769,2.0699
41,-4.98023,-2.77692,2.20331,-6.69101,-1.31839,5.37261,-6.11549,-1.82724,4.28824,-4.46784,-3.22101,1.24683,1.8939
42,-4.85206,-2.70644,2.14562,-6.55413,-1.25771,5.29642,-5.97861,-1.76547,4.21314,-4.33722,-3.13638,1.20084,1.8414
43,-4.81097,-2.70617,2.1048,-6.52094,-1.24737,5.27357,-5.94814,-1.75949,4.18865,-4.3062,-3.13693,1.16927,1.8095
44,-4.88825,-2.08249,2.80577,-6.63985,-0.59729,6.04256,-6.07059,-1.10397,4.96662,-4.33069,-2.56277,1.76792,2.4963
45,-4.79601,-2.65583,2.14018,-6.50787,-1.18832,5.31955,-5.93371,-1.69962,4.23409,-4.3043,-3.107,1.1973,1.8349
46,-5.13125,-2.81148,2.31977,-6.84693,-1.30615,5.54078,-6.27685,-1.82126,4.45559,-4.56253,-3.27516,1.28737,2.0088
47,-5.0888,-2.42617,2.66263,-6.84067,-0.931718,5.90895,-6.26923,-1.43567,4.83356,-4.5092,-2.90808,1.60112,2.3323
48,-4.71736,-2.63297,2.08439,-6.42706,-1.17553,5.25152,-5.8499,-1.68438,4.16552,-4.22266,-3.07978,1.14288,1.7862
49,-4.71845,-2.83407,1.88439,-6.41672,-1.41662,5.00009,-5.85262,-1.92901,3.92361,-4.17259,-3.18564,0.986957,1.6586
50,-5.02676,-2.55188,2.47488,-6.8072,-1.00818,5.79902,-6.2295,-1.53418,4.69532,-4.46811,-3.04468,1.42343,2.0678
51,-4.42675,-2.13038,2.29637,-6.12202,-0.667767,5.45425,-5.56391,-1.17009,4.39382,-3.92932,-2.56358,1.36574,2.0807
52,-4.78512,-1.83051,2.95461,-6.51794,-0.294427,6.22351,-5.94215,-0.807362,5.13479,-4.25668,-2.35433,1.90235,2.636
53,-5.64391,-2.904,2.73991,-7.38326,-1.3603,6.02297,-6.81046,-1.87214,4.93832,-5.08091,-3.38727,1.69364,2.4039
54,-5.17506,-2.94917,2.22589,-6.91087,-1.51758,5.3933,-6.33318,-2.02181,4.31137,-4.60389,-3.34999,1.2539,1.8895
55,-4.63627,-2.36113,2.27514,-6.3408,-0.887635,5.45316,-5.76473,-1.38724,4.37749,-4.14565,-2.85801,1.28764,1.9413
56,-4.58485,-2.21201,2.37283,-6.31603,-0.748041,5.56799,-5.73861,-1.2471,4.49151,-4.06021,-2.68903,1.37118,2.028
