idx,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,FpDensityMorgan1,BalabanJ,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,fr_C_O,fr_aniline,fr_bicyclic,fr_halogen,fr_imide,fr_ketone_Topliss,fr_oxazole,fr_pyridine
1,17.446300707800887,0.2361730343517161,-0.829280804,0.035656542,1314.1449999999988,0.3820224719101123,1.292198116234383,9.473725907600098,11.63444168209179,0,0,0,0,259.8503583776282,45.46869409055664,18.254556002949737,88.28102055403787,0,8.747079962832899,11.835812092322788,13.213763929025836,42.134515424766995,9.473725907600098,8.780830095,11.49902366656781,57.07533085693756,21.960843891858737,37.31772817379583,44.24000000000001,11.63444168209179,0,8.780830095,11.126902983393991,40.96012465028244,91.34687366,257.23977273336567,6.145194242370213,2.3078028714362975,19.51719412770422,0.6923076923076923,0,0,0,2,5,9,0,0,3,2,0,0,0,0
2,15.417535203913276,0.2859186221327956,-0.287255674,0.035649477,1466.3409999999992,0.3564356435643564,1.1990722949260826,9.473725907600098,0,0,0,0,0,284.11582665147455,34.341791107162656,18.254556002949737,88.28102055403787,0,8.747079962832899,11.835812092322788,13.213763929025836,64.38832139155498,9.473725907600098,8.780830095,11.49902366656781,57.07533085693756,21.960843891858737,37.31772817379583,44.24000000000001,0,0,8.780830095,11.63444168209179,11.835812092322788,117.40612210596682,293.6855458,7.3430185109745825,2.3847364660717907,19.827296141462604,0.6,0,0,0,4,5,9,0,0,3,2,0,0,0,0
3,17.574501971120103,0.2605058482186422,-0.810141498,0.035607503,1334.1849999999986,0.3146067415730337,1.2142399400227657,0,11.63444168209179,0,0,0,0,208.4837853942201,22.855090328592603,8.780830095,110.95459230990735,0,8.747079962832899,0,0,51.51668912899577,0,8.780830095,0,79.74890261280703,8.747079962832899,25.48191608147304,25.78,11.63444168209179,0,8.780830095,11.126902983393991,11.033401435232523,85.69069796186133,251.4719828327919,12.493796729587029,2.753890860954918,18.239047248933673,0.5897435897435898,0,0,0,2,7,9,0,0,3,2,0,0,0,0
4,17.957243313804394,0.1910440712784169,-0.191044071,0.035516733,1732.9349999999993,0.2844827586206896,0.959108951,0,0,0,0,0,0,336.9002179,17.291638836895608,4.390415048,133.62816406577684,0,8.747079962832899,0,0,71.02527790380097,0,4.390415048,0,102.42247436867652,8.747079962832899,19.664695240427143,25.78,0,0,4.390415048,5.817220841045895,22.915964301636045,40.09691146549388,430.3876562800935,18.897277769831188,2.7322809526485496,18.562791316058306,0.6153846153846154,0,0,0,2,9,11,0,0,3,1,0,0,0,0
5,7.854460076227859,0.6535099078105169,0.6535099078105169,0.035516733,1749.3899999999992,0.2844827586206896,0.959108951,0,0,0,0,0,0,348.50115774297245,16.75082065893994,0,145.22910395600937,0,8.747079962832899,0,0,71.02527790380097,0,0,0,114.02341425890904,8.747079962832899,13.847474399381248,25.78,0,0,0,0,11.835812092322788,40.02458097821986,446.5627722904221,19.766020900917702,3.5936096551233763,18.68928531343503,0.6153846153846154,0,0,0,2,9,11,0,0,3,1,0,0,0,0
6,18.0151464,0.2001134303352734,-0.20011343,0.035516699,1897.1889999999992,0.2619047619047619,0.8398605101639129,0,0,0,0,0,0,336.9002179,17.291638836895608,4.390415048,156.30173582164633,0,8.747079962832899,0,0,90.53386668,0,4.390415048,0,125.0960461,8.747079962832899,19.664695240427143,25.78,0,0,4.390415048,5.817220841045895,22.915964301636045,40.09691146549388,449.8962450548988,24.14527982066317,2.6794078133923804,18.53438170358261,0.5714285714285714,0,0,0,2,11,13,0,0,3,1,0,0,0,0
7,7.871901419123921,0.6677252878777994,0.6677252878777994,0.035516699,1913.643999999999,0.2619047619047619,0.8398605101639129,0,0,0,0,0,0,348.50115774297245,16.75082065893994,0,167.90267571187886,0,8.747079962832899,0,0,90.53386668,0,0,0,136.69698601477853,8.747079962832899,13.847474399381248,25.78,0,0,0,0,11.835812092322788,40.02458097821986,466.0713610652273,25.062480768421512,3.531667157,18.65632476142486,0.5714285714285714,0,0,0,2,11,13,0,0,3,1,0,0,0,0
8,7.908938456160957,0.583837187,0.583837187,0.035516699,1948.0889999999988,0.2519685039370078,0.8472308109246244,0,0,0,0,0,0,360.10209763320495,21.773453972681267,0,179.50361560211138,0,8.747079962832899,0,0,90.53386668,0,0,0,148.29792590501106,8.747079962832899,13.847474399381248,25.78,0,0,0,0,21.881078719805437,51.177063674807144,449.8962450548988,24.62747252,3.8962787382256066,18.596813596650293,0.5714285714285714,0,0,0,2,11,13,0,0,3,2,0,0,0,0
9,5.071600236,0.33095695,0.33095695,0.037878386,1167.5589999999995,0.4929577464788732,1.1768144997365586,0,0,0,0,377.1379109017673,0,33.10993926815928,0,0,117.28814157689266,0,8.747079962832899,11.835812092322788,0,50.63714621952605,0,0,0,57.07533085693756,37.754200985687675,25.683286491704035,25.78,0,0,0,0,29.007121022854776,29.290035150481316,216.5396785550504,8.445973894305231,2.9920665161833124,18.792216152966223,0.4838709677419355,0,0,0,2,7,7,0,0,3,0,0,0,0,0
10,16.978655419459344,0.193921851,-0.193921851,0.03787806,1185.5489999999998,0.5277777777777778,1.1905166623772905,0,0,0,0,381.2791797220264,0,33.10993926815928,0,4.390415048,117.28814157689266,0,8.747079962832899,11.835812092322788,0,50.63714621952605,0,4.390415048,0,57.07533085693756,37.754200985687675,31.50050733274993,25.78,0,0,4.390415048,5.817220841045895,40.08727323216803,51.932723557816665,182.8168379384018,7.449596413168135,2.8916217486425855,18.519076946850262,0.4838709677419355,0,0,0,2,7,7,0,0,3,1,0,0,0,0
11,17.25424962634291,0.2492107576289588,-0.814789909,0.037877813,1203.5389999999995,0.5068493150684932,1.2063378177935482,0,0,0,0,385.4204485422856,0,33.10993926815928,0,8.780830095,117.28814157689266,0,8.747079962832899,11.835812092322788,0,50.63714621952605,0,8.780830095,0,57.07533085693756,37.754200985687675,37.31772817379583,25.78,11.63444168209179,0,8.780830095,40.134024006248765,11.033401435232523,76.72037075618137,155.8237900086567,6.420562111084382,2.7696325171015865,18.261288111389405,0.4838709677419355,0,0,0,2,7,7,0,0,3,2,0,0,0,0
