idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
1,P12,1.7,2021,https://doi.org/10.1016/j.solener.2021.03.032,CC(S1)=CC2=C1C(OCC(CCCCCCCCCC)CCCCCCCC)=C(C=C(C3=C(CCCCCC)C=C(C4=C(F)C(F)=C(C5=CC(CCCCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2OCC(CCCCCCCCCC)CCCCCCCC,COC1=C2C=C(SC2=C(OC)C2=C1SC(C)=C2)C1=C(C)C=C(S1)C1=C(F)C(F)=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(OC)=C2C=C(SC2=C3OC)C2=C(C)C=C(S2)C2=C(F)C(F)=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
2,P13,1.85,2021,https://doi.org/10.1016/j.solener.2021.03.033,CC(S1)=CC2=C1C(OCC(CCCCCCCCCC)CCCCCCCC)=C(C=C(C3=C(CCCCCC)C=C(C4=C(C5=CC=C(F)C=C5)C(C6=CC=C(F)C=C6)=C(C7=CC(CCCCCC)=C(C)S7)C8=NSN=C84)S3)S9)C9=C2OCC(CCCCCCCCCC)CCCCCCCC,COC1=C2SC(=CC2=C(OC)C2=C1C=C(C)S2)C1=C(C)C=C(S1)C1=C(C2=CC=C(F)C=C2)C(C2=CC=C(F)C=C2)=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(OC)=C2C=C(SC2=C3OC)C2=C(C)C=C(S2)C2=C(C3=CC=C(F)C=C3)C(C3=CC=C(F)C=C3)=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
3,P43,1.74,2019,https://doi.org/10.1016/j.dyepig.2018.09.032,CCCCCCCCC1=C(CCCCCCCC)C=C(S1)C1=C2C=C(SC2=C(C2=CC(CCCCCCCC)=C(CCCCCCCC)S2)C2=C1SC(C)=C2)C1=C(CCCCCC)C=C(S1)C1=C(F)C(F)=C(C2=CC(CCCCCC)=C(C)S2)C2=NSN=C12,CC1=CC2=C(S1)C(C1=CC=CS1)=C1C=C(SC1=C2C1=CC=CS1)C1=C(C)C=C(S1)C1=C(F)C(F)=C(C2=CC(=C(C)S2)C2=CC3=C(S2)C(C2=CC=CS2)=C2C=C(SC2=C3C2=CC=CS2)C2=C(C)C=C(S2)C2=C(F)C(F)=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
4,P44,1.62,2019,https://doi.org/10.1039/c7py01792h,CCCCCCCCCCCCC1=C(C)SC(=C1)C1=CC(F)=C(C2=CC(CCCCCCCCCCCC)=C(S2)C2=CC3=C(C4=CC=C(S4)C4=CC=C(S4)C(CCCCCCCC)CCCCCCCCCC)C4=C(C=C(C)S4)C(C4=CC=C(S4)C4=CC=C(S4)C(CCCCCCCC)CCCCCCCCCC)=C3S2)C2=NSN=C12,CC1=CC2=C(S1)C(C1=CC=C(S1)C1=CC=CS1)=C1C=C(SC1=C2C1=CC=C(S1)C1=CC=CS1)C1=C(C)C=C(S1)C1=C(F)C=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C(S2)C2=CC=CS2)=C2C=C(SC2=C3C2=CC=C(S2)C2=CC=CS2)C2=C(C)C=C(S2)C2=C(F)C=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
5,P45,1.6,2019,https://doi.org/10.1039/c7py01793h,CCCCCCCCCCCCC1=C(C)SC(=C1)C1=CC(Cl)=C(C2=CC(CCCCCCCCCCCC)=C(S2)C2=CC3=C(C4=CC=C(S4)C4=CC=C(S4)C(CCCCCCCC)CCCCCCCCCC)C4=C(C=C(C)S4)C(C4=CC=C(S4)C4=CC=C(S4)C(CCCCCCCC)CCCCCCCCCC)=C3S2)C2=NSN=C12,CC1=CC2=C(S1)C(C1=CC=C(S1)C1=CC=CS1)=C1C=C(SC1=C2C1=CC=C(S1)C1=CC=CS1)C1=C(C)C=C(S1)C1=C(Cl)C=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C(S2)C2=CC=CS2)=C2C=C(SC2=C3C2=CC=C(S2)C2=CC=CS2)C2=C(C)C=C(S2)C2=C(Cl)C=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
6,P46,1.57,2019,https://doi.org/10.1039/c7py01794h,CC(S1)=CC2=C1C(C3=CC=C(C4=CC=C(C5=CC=C(C(CCCCCCCCCC)CCCCCCCC)S5)S4)S3)=C(C=C(C6=C(CCCCCCCCCCCC)C=C(C7=C(F)C=C(C8=CC(CCCCCCCCCCCC)=C(C)S8)C9=NSN=C97)S6)S%10)C%10=C2C%11=CC=C(C%12=CC=C(C%13=CC=C(C(CCCCCCCCCC)CCCCCCCC)S%13)S%12)S%11,CC1=CC2=C(S1)C(C1=CC=C(S1)C1=CC=C(S1)C1=CC=CS1)=C1C=C(SC1=C2C1=CC=C(S1)C1=CC=C(S1)C1=CC=CS1)C1=C(C)C=C(S1)C1=C(F)C=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C(S2)C2=CC=C(S2)C2=CC=CS2)=C2C=C(SC2=C3C2=CC=C(S2)C2=CC=C(S2)C2=CC=CS2)C2=C(C)C=C(S2)C2=C(F)C=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
7,P47,1.56,2019,https://doi.org/10.1039/c7py01795h,CC(S1)=CC2=C1C(C3=CC=C(C4=CC=C(C5=CC=C(C(CCCCCCCCCC)CCCCCCCC)S5)S4)S3)=C(C=C(C6=C(CCCCCCCCCCCC)C=C(C7=C(Cl)C=C(C8=CC(CCCCCCCCCCCC)=C(C)S8)C9=NSN=C97)S6)S%10)C%10=C2C%11=CC=C(C%12=CC=C(C%13=CC=C(C(CCCCCCCCCC)CCCCCCCC)S%13)S%12)S%11,CC1=CC2=C(S1)C(C1=CC=C(S1)C1=CC=C(S1)C1=CC=CS1)=C1C=C(SC1=C2C1=CC=C(S1)C1=CC=C(S1)C1=CC=CS1)C1=C(C)C=C(S1)C1=C(Cl)C=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C(S2)C2=CC=C(S2)C2=CC=CS2)=C2C=C(SC2=C3C2=CC=C(S2)C2=CC=C(S2)C2=CC=CS2)C2=C(C)C=C(S2)C2=C(Cl)C=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
8,P48,1.59,2019,https://doi.org/10.1039/c7py01796h,CC(S1)=CC2=C1C(C3=CC=C(C4=CC=C(C5=CC=C(C(CCCCCCCCCC)CCCCCCCC)S5)S4)S3)=C(C=C(C6=C(CCCCCCCCCCCC)C=C(C7=C(Cl)C(Cl)=C(C8=CC(CCCCCCCCCCCC)=C(C)S8)C9=NSN=C97)S6)S%10)C%10=C2C%11=CC=C(C%12=CC=C(C%13=CC=C(C(CCCCCCCCCC)CCCCCCCC)S%13)S%12)S%11,CC1=CC2=C(S1)C(C1=CC=C(S1)C1=CC=C(S1)C1=CC=CS1)=C1C=C(SC1=C2C1=CC=C(S1)C1=CC=C(S1)C1=CC=CS1)C1=C(C)C=C(S1)C1=C(Cl)C(Cl)=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C(S2)C2=CC=C(S2)C2=CC=CS2)=C2C=C(SC2=C3C2=CC=C(S2)C2=CC=C(S2)C2=CC=CS2)C2=C(C)C=C(S2)C2=C(Cl)C(Cl)=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
9,P67,1.62,2021,https://doi.org/10.1016/j.electacta.2021.139298,CCCCCCC1=C(C)SC(=C1)C1=CC=C(C2=CC(CCCCCC)=C(S2)C2=CC3=C(C4=CC=C(CC(CC)CCCC)[Se]4)C4=C(C=C(C)S4)C(C4=CC=C(CC(CC)CCCC)[Se]4)=C3S2)C2=NSN=C12,CC1=CC2=C(S1)C(C1=CC=C[Se]1)=C1C=C(SC1=C2C1=CC=C[Se]1)C1=C(C)C=C(S1)C1=CC=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C[Se]2)=C2C=C(SC2=C3C2=CC=C[Se]2)C2=C(C)C=C(S2)C2=CC=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
10,P68,1.65,2021,https://doi.org/10.1016/j.electacta.2021.139298,CCCCCCC1=C(C)SC(=C1)C1=C(F)C=C(C2=CC(CCCCCC)=C(S2)C2=CC3=C(C4=CC=C(CC(CC)CCCC)[Se]4)C4=C(C=C(C)S4)C(C4=CC=C(CC(CC)CCCC)[Se]4)=C3S2)C2=NSN=C12,CC1=CC2=C(S1)C(C1=CC=C[Se]1)=C1C=C(SC1=C2C1=CC=C[Se]1)C1=C(C)C=C(S1)C1=CC(F)=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C[Se]2)=C2C=C(SC2=C3C2=CC=C[Se]2)C2=C(C)C=C(S2)C2=CC(F)=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
11,P69,1.67,2021,https://doi.org/10.1016/j.electacta.2021.139298,CC1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)[Se]3)=C4C(SC(C5=C(CCCCCC)C=C(C6=C(F)C(F)=C(C7=CC(CCCCCC)=C(C)S7)C8=NSN=C86)S5)=C4)=C2C9=CC=C(CC(CC)CCCC)[Se]9,CC1=CC2=C(S1)C(C1=CC=C[Se]1)=C1C=C(SC1=C2C1=CC=C[Se]1)C1=C(C)C=C(S1)C1=C(F)C(F)=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C[Se]2)=C2C=C(SC2=C3C2=CC=C[Se]2)C2=C(C)C=C(S2)C2=C(F)C(F)=C(C3=CC(C)=C(C)S3)C3=NSN=C23)C2=NSN=C12
12,P87,1.71,2021,https://doi.org/10.1016/j.synthmet.2021.116756,CC(S1)=C(CC(CCCCCCCCCC)CCCCCCCC)C=C1C(C2=NSN=C23)=C(F)C(F)=C3C(S4)=CC(CC(CCCCCCCC)CCCCCCCCCC)=C4C5=CC6=C(C7=CC=C(SCC(CCCC)CC)O7)C8=C(C=C(C)S8)C(C9=CC=C(SCC(CC)CCCC)O9)=C6S5,CC1=CC2=C(S1)C(C1=CC=C(S)O1)=C1C=C(SC1=C2C1=CC=C(S)O1)C1=C(C)C=C(S1)C1=C(F)C(F)=C(C2=CC(C)=C(C)S2)C2=NSN=C12
13,P88,1.7,2021,https://doi.org/10.1016/j.synthmet.2021.116756,CC(S1)=C(CC(CCCCCCCCCC)CCCCCCCC)C=C1C(C2=NSN=C23)=C(F)C(F)=C3C(S4)=CC(CC(CCCCCCCC)CCCCCCCCCC)=C4C5=CC6=C(C7=CC=C(SCC(CCCC)CC)S7)C8=C(C=C(C)S8)C(C9=CC=C(SCC(CC)CCCC)S9)=C6S5,CC1=CC2=C(S1)C(C1=CC=C(S)S1)=C1C=C(SC1=C2C1=CC=C(S)S1)C1=C(C)C=C(S1)C1=C(F)C(F)=C(C2=CC(C)=C(C)S2)C2=NSN=C12
14,P89,1.73,2021,https://doi.org/10.1016/j.synthmet.2021.116756,CC(S1)=C(CC(CCCCCCCCCC)CCCCCCCC)C=C1C(C2=NSN=C23)=C(F)C(F)=C3C(S4)=CC(CC(CCCCCCCC)CCCCCCCCCC)=C4C5=CC6=C(C7=CC=C(SCC(CCCC)CC)C=C7)C8=C(C=C(C)S8)C(C9=CC=C(SCC(CC)CCCC)C=C9)=C6S5,CC1=CC2=C(S1)C(=C1C=C(SC1=C2C1=CC=C(S)C=C1)C1=C(C)C=C(S1)C1=C(F)C(F)=C(C2=CC(C)=C(C)S2)C2=NSN=C12)C1=CC=C(S)C=C1
