idx,HOMO(eV),LUMO(eV),HOMO-LUMO(eV)
1,-4.89342,-2.84658,2.04684
2,-4.90403,-2.63814,2.26589
3,-4.84662,-2.80767,2.03895
4,-4.80988,-2.79597,2.01391
5,-4.90431,-2.8093,2.095
6,-4.79165,-2.82264,1.96902
7,-4.85043,-2.81366,2.03677
8,-4.91084,-2.81611,2.09473
9,-4.74077,-2.73665,2.00412
10,-4.79982,-2.80631,1.99351
11,-4.8341,-2.81583,2.01827
12,-4.98404,-2.74155,2.24249
13,-5.06513,-2.74127,2.32385
14,-4.96853,-2.68495,2.28358
15,-4.91057,-2.70726,2.20331
16,-4.94104,-2.66998,2.27106
17,-4.94431,-2.66889,2.27542
18,-5.02376,-2.72985,2.29392
19,-5.05669,-2.73883,2.31787
20,-5.05587,-2.74508,2.31079
21,-4.81016,-2.71352,2.09664
