idx,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,FpDensityMorgan1,BalabanJ,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,fr_C_O,fr_aniline,fr_bicyclic,fr_halogen,fr_imide,fr_ketone_Topliss,fr_oxazole,fr_pyridine
1,5.390380451156133,0.3113278048005042,0.3113278048005042,0.028097968,1487.1549999999995,0.3368421052631579,1.037510939107691,0,0,0,0,480.3075654458141,0,78.55860620540597,6.544756405912575,0,105.55995423169404,0,14.99386983910109,11.835812092322788,0,50.63714621952605,0,0,0,45.34714351173895,44.00099086195586,25.68328649170403,30.71,0,0,0,0,29.007121022854776,35.83479155639389,336.65740419328785,10.16810951547558,13.745696187445157,17.171046756554368,0.627906977,0,0,0,2,7,7,0,0,3,0,0,0,0,0
2,7.438619164684297,0.444882708,0.444882708,0.034827447,1451.295999999999,0.34,1.167883935918566,18.947451815200196,0,0,0,0,0,260.44420246682904,63.50015127503926,18.947451815200196,119.4867102511382,0,23.740949801933983,29.589530230806965,26.427527858051672,54.31984339,18.947451815200196,0,22.99804733313562,57.07533085693756,50.168477659985655,43.43700463018821,93.41,0,0,0,0,56.01705808885863,147.70114917759247,203.20990797608053,6.8916331269553535,16.143104649025922,31.09438151174122,0.627906977,0,0,0,4,6,14,0,0,6,0,0,0,0,0
3,16.077628245792955,0.2758710756609739,-0.275871076,0.034827444,1469.285999999999,0.3663366336633663,1.174084379226786,18.947451815200196,0,0,0,0,0,248.31146832990584,63.50015127503926,23.337866862875018,119.4867102511382,0,23.740949801933983,29.589530230806965,26.427527858051672,54.31984339,18.947451815200196,4.390415048,22.99804733313562,57.07533085693756,50.168477659985655,49.25422547123411,93.41,0,0,4.390415048,5.817220841045895,67.09721029817189,201.8374053756691,137.99349956869065,6.549571232695813,15.872767986218182,30.402949797621503,0.627906977,0,0,0,4,6,14,0,0,6,1,0,0,0,0
4,15.998408477706802,0.009660989,-0.268030008,0.027496555,1727.325999999999,0.3603603603603603,0.9587430161245626,0,0,0,0,642.4466630515834,0,52.372404136937305,0,23.337866862875018,148.49383127399298,0,23.740949801933983,29.589530230806965,26.427527858051672,72.06934634519625,18.947451815200196,4.390415048,22.99804733313562,57.07533085693756,79.17559868284043,49.25422547123411,93.41,0,0,4.390415048,34.82434186390067,53.88344636914606,153.0143170967956,217.7798547324557,6.915455426370891,15.959365161185811,30.63383902817155,0.574468085,0,0,0,4,8,14,0,0,6,1,0,0,0,0
5,15.99349846784487,0.2736968159929509,-0.273696816,0.034822195,1633.539999999999,0.3333333333333333,0.9587430161245626,18.947451815200196,0,0,0,0,0,248.31146832990584,63.50015127503926,23.337866862875018,142.16028200700768,0,23.740949801933983,29.589530230806965,26.427527858051672,73.82843216413569,18.947451815200196,4.390415048,22.99804733313562,79.74890261280703,50.168477659985655,49.25422547123411,93.41,0,0,4.390415048,5.817220841045895,67.09721029817189,163.76909939701576,195.57039432214913,11.490936270737754,15.795760663831311,30.496766524278772,0.574468085,0,0,0,4,8,16,0,0,6,1,0,0,0,0
6,17.432266736463546,0.221241858,-0.844618833,0.02822504,1325.1589999999994,0.3793103448275862,1.110215824143885,0,11.63444168209179,0,0,0,0,182.80049890251604,26.090017744350725,8.780830095,122.75017486349095,0,14.99386983910109,17.75371813848418,11.505707213493578,51.51668912899577,0,8.780830095,0,91.54448516639069,26.499577052594667,43.23563421995722,30.71,11.63444168209179,0,8.780830095,11.126902983393991,33.250358274709086,39.308896919278695,244.13284646891444,10.373787348820873,12.973427531015671,18.764319191395927,0.5675675675675675,0,0,0,2,7,11,0,0,3,2,0,0,0,0
7,17.44832871681124,0.097546568,-1.127203867,0.021707171,1361.1389999999992,0.4044943820224719,1.1345108201242446,0,11.63444168209179,0,0,0,0,182.80049890251604,30.96716493805203,17.56166019069928,122.75017486349095,0,14.99386983910109,17.75371813848418,11.505707213493578,51.51668912899577,0,17.56166019069928,0,91.54448516639069,26.499577052594667,54.87007590204901,30.71,23.26888336418358,0,17.56166019069928,37.83250485,28.13486288563796,87.66750003155431,197.65365689177145,7.289118579986495,12.336873013786365,17.993260804260732,0.5675675675675675,0,0,0,2,7,11,0,0,3,4,0,0,0,0
8,17.17308014,0.1855721091090787,-2.315859305,0.036220161,1229.0319999999992,0.4936708860759494,1.0877428743515891,8.230294196876905,28.269228187490867,0,0,8.560914205,0,98.32398665,17.671659389306566,17.011124292226544,124.42210567497378,0,14.99386983910109,11.835812092322788,0,51.51668912899577,0,8.780830095,0,68.02071526760842,40.18957054936613,37.31772817379583,49.17,36.83014239235683,0,8.780830095,11.126902983393991,39.168264320870485,59.20046709557643,129.72507195304584,13.036364363199093,12.612319429730173,29.871694056732768,0.492063492,0,0,0,2,7,11,0,0,3,2,0,0,0,0
9,17.19198545971392,0.1822129651131878,-2.318712411,0.025403133,1293.1659999999993,0.5061728395061729,1.0748461237210016,8.230294196876905,28.269228187490867,0,0,8.560914205,0,85.48234341,26.090017744350725,17.011124292226544,147.94587557375604,0,14.99386983910109,11.835812092322788,11.505707213493578,51.51668912899577,0,8.780830095,0,91.54448516639069,51.69527776,37.31772817379583,49.17,36.83014239235683,0,8.780830095,11.126902983393991,27.332452228547695,69.70034315554078,128.3891359206874,10.04232012484157,12.589261377817545,29.846681595616417,0.492063492,0,0,0,2,7,13,0,0,3,2,0,0,0,0
10,17.31085324909388,0.1940307619081271,-2.321861614,0.033252472,1317.289999999999,0.4216867469879518,1.141187391441251,8.230294196876905,28.269228187490867,0,0,8.560914205,0,147.72712660289992,33.819403990372805,17.011124292226544,149.57069297142357,0,14.99386983910109,0,0,51.51668912899577,9.000842695383527,8.780830095,0,68.02071526760842,56.33731515043236,25.48191608147304,49.17,52.97788699342306,0,8.780830095,11.126902983393991,27.332452228547695,46.35882384972441,143.39370898129005,10.31392841635748,12.741332643474337,34.96897261877694,0.5076923076923077,0,0,0,2,7,11,0,0,3,2,0,0,0,0
11,17.319782440796153,0.2065622336936756,-0.857141721,0.030297827,1200.8849999999993,0.4320987654320987,1.125168279,0,11.63444168209179,0,0,0,0,168.5410374388064,17.671659389306566,8.780830095,100.07660310762152,0,14.99386983910109,17.75371813848418,11.505707213493578,52.889297724987166,0,8.780830095,0,68.87091341052118,26.499577052594667,43.23563421995722,30.71,11.63444168209179,0,8.780830095,11.126902983393991,33.250358274709086,50.814604132772274,195.34256934193033,10.222093225396788,12.804519277996713,18.668191838186623,0.4857142857142857,0,0,0,4,5,9,0,0,3,2,0,0,0,0
12,17.36530706487951,0.207933742,-0.85605242,0.030297827,1200.8849999999993,0.4444444444444444,1.151726827970319,0,11.63444168209179,0,0,0,0,168.5410374388064,17.671659389306566,8.780830095,100.07660310762152,0,14.99386983910109,17.75371813848418,11.505707213493578,52.889297724987166,0,8.780830095,0,68.87091341052118,26.499577052594667,43.23563421995722,30.71,11.63444168209179,0,8.780830095,11.126902983393991,45.08617036703187,38.97879204044949,195.34256934193033,10.22828163881088,12.840129138267107,18.700430530327807,0.4857142857142857,0,0,0,4,5,9,0,0,3,2,0,0,0,0
13,17.823021382448932,0.088699762,-0.956888557,0.028159712,1581.3569999999988,0.3243243243243243,0.9451648927617315,9.473725907600098,11.63444168209179,0,0,0,0,282.69800843361696,30.885423318332403,27.035386098299377,76.55283320883926,0,14.99386983910109,17.75371813848418,13.213763929025836,86.64212735834296,9.473725907600098,17.56166019069928,11.49902366656781,45.34714351173895,28.20763376812693,54.87007590204901,49.17,11.63444168209179,0,17.56166019069928,22.76134466548578,69.42683727945169,116.66471776805282,233.0558279445106,6.501678339075228,11.902769643768448,19.565571332987066,0.5102040816326531,0,0,0,6,5,9,0,0,3,4,0,0,0,0
14,17.52012169866327,0.198877716,-0.863283814,0.028112691,1469.328999999999,0.3465346534653465,0.9672748827210224,0,11.63444168209179,0,0,0,0,244.8819878049897,17.671659389306566,8.780830095,121.62149996548064,0,14.99386983910109,17.75371813848418,11.505707213493578,52.889297724987166,0,8.780830095,0,68.87091341052118,26.499577052594667,43.23563421995722,30.71,11.63444168209179,0,8.780830095,11.126902983393991,33.250358274709086,58.571361788056734,286.1805680196172,10.267422907191316,17.854758389458613,18.67104062001615,0.5111111111111111,0,0,0,6,5,9,0,0,5,2,0,0,0,0
15,17.49371427467996,0.1914299849617728,-0.86979186,0.028094742,1521.4049999999993,0.3238095238095238,0.9232377190649934,0,11.63444168209179,0,0,0,0,281.2801902157594,17.671659389306566,8.780830095,100.07660310762148,0,14.99386983910109,17.75371813848418,11.505707213493578,75.14310369177515,0,8.780830095,0,68.87091341052118,26.499577052594667,43.23563421995722,30.71,11.63444168209179,0,8.780830095,11.126902983393991,33.250358274709086,58.571361788056734,286.8894771,10.195221171805663,12.736708061258538,18.628383492299793,0.4893617021276595,0,0,0,6,5,9,0,0,3,2,0,0,0,0
16,19.10721466345813,0.1535739722643865,-0.907780085,0.021505707,2331.681999999999,0.2337662337662337,0.7750739784876131,0,23.26888336418358,0,0,0,0,301.3927815757718,43.76167713365729,17.56166019069928,221.97657982819973,0,29.98773967820218,35.507436276968356,11.505707213493578,112.78767264539418,0,17.56166019069928,0,159.56520043399914,41.493446891695754,72.62379404053318,61.42,23.26888336418358,0,17.56166019069928,28.171712012949374,84.25443468790235,149.28870692930863,305.19866763826747,22.42396461138757,26.40559562992408,33.15083863814277,0.5076923076923077,0,0,0,4,14,20,0,0,6,4,0,0,0,0
17,17.306397389898407,0.2158967049233362,-0.849352826,0.030297717,1212.9429999999993,0.430379747,1.1284148545650492,0,11.63444168209179,0,0,0,0,144.27556916495993,26.090017744350725,8.780830095,122.75017486349095,0,14.99386983910109,17.75371813848418,11.505707213493578,51.51668912899577,0,8.780830095,0,91.54448516639069,26.499577052594667,43.23563421995722,30.71,11.63444168209179,0,8.780830095,11.126902983393991,33.250358274709086,50.814604132772274,181.2605662720128,10.295484604105262,12.891613996510207,18.729300272878625,0.5151515151515151,0,0,0,2,7,11,0,0,3,2,0,0,0,0
18,17.03076428830525,0.1733951671221552,-0.88489185,0.063904341,1105.482999999999,0.4929577464788732,1.214816516199863,0,11.63444168209179,0,0,0,0,135.3733408307949,27.71692601678922,8.780830095,122.42828474517376,0,14.99386983910109,17.75371813848418,0,51.51668912899577,0,8.780830095,0,91.22259504807344,14.99386983910109,43.23563421995722,30.71,11.63444168209179,0,8.780830095,11.126902983393991,45.08617036703187,76.04328119199464,116.88342870719384,12.20371615008986,14.087240988223312,18.328419785653058,0.4482758620689655,0,0,0,2,7,9,0,0,3,4,0,0,0,0
19,17.331119383696873,0.190814874,-0.870845222,0.040556991,1217.6989999999992,0.4430379746835443,1.1683846780006686,0,11.63444168209179,0,0,0,0,180.3190922,27.71692601678922,8.780830095,122.42828474517378,0,14.99386983910109,17.75371813848418,0,51.51668912899577,0,8.780830095,0,91.22259504807346,14.99386983910109,43.23563421995722,30.71,11.63444168209179,0,8.780830095,11.126902983393991,45.08617036703187,63.20163794614261,181.09164493645395,12.36155136058902,14.42008508,18.537971865796333,0.5151515151515151,0,0,0,2,7,9,0,0,3,4,0,0,0,0
20,17.42895978599341,0.1955622865681248,-0.866797922,0.037076389,1273.806999999999,0.4216867469879518,1.1370873473234733,0,11.63444168209179,0,0,0,0,206.0023786829811,27.71692601678922,8.780830095,122.42828474517378,0,14.99386983910109,17.75371813848418,0,51.51668912899577,0,8.780830095,0,91.22259504807346,14.99386983910109,43.23563421995722,30.71,11.63444168209179,0,8.780830095,11.126902983393991,45.08617036703187,63.20163794614261,206.77493142815797,12.404828239274387,14.510308856307354,18.590359835909258,0.5428571428571428,0,0,0,2,7,9,0,0,3,4,0,0,0,0
