idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
1,P65,1.72,2020,https://doi.org/10.1016/j.jelechem.2020.114014,CC1=CC2=C(S1)C(C3=CC=C(CC(CCCCCCCCCC)CCCCCCCC)[Se]3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NN(CCCCCCCCCCCC)N=C75)S4)S8)C8=C2C9=CC=C(CC(CCCCCCCCCC)CCCCCCCC)[Se]9,CN1N=C2C(=N1)C(=CC=C2C1=CC=C(C)S1)C1=CC=C(S1)C1=CC2=C(C3=CC=C[Se]3)C3=C(C=C(S3)C3=CC=C(S3)C3=CC=C(C4=CC=C(S4)C4=CC5=C(C6=CC=C[Se]6)C6=C(C=C(C)S6)C(C6=CC=C[Se]6)=C5S4)C4=NN(C)N=C34)C(C3=CC=C[Se]3)=C2S1
2,P127,1.78,2019,https://doi.org/10.1016/j.renene.2019.03.018,CCCCCCCCCCC(CCCCCCCC)CN1N=C2C(=N1)C(=CC=C2C1=CC2=C(S1)C(OCC(CC)CCCC)=C1C=C(SC1=C2OCC(CC)CCCC)C1=CC=C(C)C2=NSN=C12)C1=CC2=C(OCC(CC)CCCC)C3=C(C=C(C)S3)C(OCC(CC)CCCC)=C2S1,COC1=C2C=C(SC2=C(OC)C2=C1SC(C)=C2)C1=CC=C(C2=CC3=C(S2)C(OC)=C2C=C(SC2=C3OC)C2=CC=C(C)C3=NSN=C23)C2=NN(C)N=C12
3,P128,1.72,2019,https://doi.org/10.1016/j.renene.2019.03.019,CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC=C(C4=CC(C(OCC(CC)CCCC)=C(SC(C5=CC(F)=C(C)C6=NSN=C65)=C7)C7=C8OCC(CCCC)CC)=C8S4)C9=NN(CC(CCCCCCCCCC)CCCCCCCC)N=C93)S%10)C%10=C2OCC(CC)CCCC,COC1=C2SC(=CC2=C(OC)C2=C1C=C(C)S2)C1=CC=C(C2=CC3=C(S2)C(OC)=C2C=C(SC2=C3OC)C2=CC(F)=C(C)C3=NSN=C23)C2=NN(C)N=C12
4,P129,1.63,2019,https://doi.org/10.1016/j.renene.2019.03.020,CCCCCCCCCCC(CCCCCCCC)CN1N=C2C(=N1)C(=CC=C2C1=CC=C([Se]1)C1=CC2=C(S1)C(OCC(CC)CCCC)=C1C=C(SC1=C2OCC(CC)CCCC)C1=CC(F)=C(C)C2=NSN=C12)C1=CC=C([Se]1)C1=CC2=C(OCC(CC)CCCC)C3=C(C=C(C)S3)C(OCC(CC)CCCC)=C2S1,COC1=C2C=C(SC2=C(OC)C2=C1SC(C)=C2)C1=CC=C([Se]1)C1=CC=C(C2=CC=C([Se]2)C2=CC3=C(S2)C(OC)=C2C=C(SC2=C3OC)C2=CC(F)=C(C)C3=NSN=C23)C2=NN(C)N=C12
5,P130,1.73,2019,https://doi.org/10.1016/j.renene.2019.03.021,CCCCCCCCCCC(CCCCCCCC)CN1N=C2C(=N1)C(=CC=C2C1=CC=C(S1)C1=CC2=C(S1)C(OCC(CC)CCCC)=C1C=C(SC1=C2OCC(CC)CCCC)C1=CC(F)=C(C)C2=NSN=C12)C1=CC=C(S1)C1=CC2=C(OCC(CC)CCCC)C3=C(C=C(C)S3)C(OCC(CC)CCCC)=C2S1,COC1=C2C=C(SC2=C(OC)C2=C1SC(C)=C2)C1=CC=C(S1)C1=CC=C(C2=CC=C(S2)C2=CC3=C(S2)C(OC)=C2C=C(SC2=C3OC)C2=CC(F)=C(C)C3=NSN=C23)C2=NN(C)N=C12
6,P189,1.96,2022,https://doi.org/10.1016/j.orgel.2022.106611,CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(S1)C1=CC3=C(C4=CC=C(SCC(CCCC)CCCCCC)S4)C4=C(C=C(C)S4)C(C4=CC=C(SCC(CCCC)CCCCCC)S4)=C3S1)=C(F)C(F)=C2C1=CC=C(C)S1,CN1N=C2C(=N1)C(C1=CC=C(S1)C1=CC3=C(C4=CC=C(S)S4)C4=C(C=C(C)S4)C(C4=CC=C(S)S4)=C3S1)=C(F)C(F)=C2C1=CC=C(C)S1
7,P190,1.8,2022,https://doi.org/10.1016/j.orgel.2022.106612,CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC(F)=C(S1)C1=CC3=C(C4=CC=C(SCC(CCCC)CCCCCC)S4)C4=C(C=C(C)S4)C(C4=CC=C(SCC(CCCC)CCCCCC)S4)=C3S1)=C(F)C(F)=C2C1=CC(F)=C(C)S1,CN1N=C2C(=N1)C(C1=CC(F)=C(S1)C1=CC3=C(C4=CC=C(S)S4)C4=C(C=C(C)S4)C(C4=CC=C(S)S4)=C3S1)=C(F)C(F)=C2C1=CC(F)=C(C)S1
8,P191,1.94,2020,https://doi.org/10.1016/j.orgel.2019.105603,CCCCC(CC)CC1=CC=C(S1)C1=C2SC(=CC2=C(C2=CC=C(CC(CC)CCCC)S2)C2=C1C=C(C)S2)C1=CC=C(S1)C1=C(F)C(F)=C(C2=CC=C(C)S2)C2=NN(CCCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)N=C12,CN1N=C2C(=N1)C(C1=CC=C(S1)C1=CC3=C(C4=CC=CS4)C4=C(C=C(C)S4)C(C4=CC=CS4)=C3S1)=C(F)C(F)=C2C1=CC=C(C)S1
9,P192,1.94,2020,https://doi.org/10.1016/j.orgel.2019.105604,CCCCC(CC)CSC1=CC=C(S1)C1=C2C=C(SC2=C(C2=CC=C(SCC(CC)CCCC)S2)C2=C1SC(C)=C2)C1=CC=C(S1)C1=C(F)C(F)=C(C2=CC=C(C)S2)C2=NN(CCCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)N=C12,CN1N=C2C(=N1)C(C1=CC=C(S1)C1=CC3=C(C4=CC=C(S)S4)C4=C(C=C(C)S4)C(C4=CC=C(S)S4)=C3S1)=C(F)C(F)=C2C1=CC=C(C)S1
10,P193,1.96,2020,https://doi.org/10.1016/j.orgel.2019.105605,CCC[Si](CCC)(CCC)C1=CC=C(S1)C1=C2C=C(SC2=C(C2=CC=C(S2)[Si](CCC)(CCC)CCC)C2=C1SC(C)=C2)C1=CC=C(S1)C1=C(F)C(F)=C(C2=CC=C(C)S2)C2=NN(CCCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)N=C12,CN1N=C2C(=N1)C(C1=CC=C(S1)C1=CC3=C(C4=CC=C([SiH3])S4)C4=C(C=C(C)S4)C(C4=CC=C([SiH3])S4)=C3S1)=C(F)C(F)=C2C1=CC=C(C)S1
11,P194,1.96,2019,https://doi.org/10.1021/acsami.9b07112,CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(S1)C1=CC3=C(C4=C(C=C(C)S4)C(=C3S1)C1=CC=C(SCC(CC)CCCC)C=C1)C1=CC=C(SCC(CC)CCCC)C=C1)=C(F)C(F)=C2C1=CC=C(C)S1,CN1N=C2C(=N1)C(C1=CC=C(S1)C1=CC3=C(C4=C(C=C(C)S4)C(=C3S1)C1=CC=C(S)C=C1)C1=CC=C(S)C=C1)=C(F)C(F)=C2C1=CC=C(C)S1
12,P195,2,2019,https://doi.org/10.1021/acsami.9b07112,CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(S1)C1=CC3=C(C4=C(C=C(C)S4)C(=C3S1)C1=CC=CC(SCC(CC)CCCC)=C1)C1=CC=CC(SCC(CC)CCCC)=C1)=C(F)C(F)=C2C1=CC=C(C)S1,CN1N=C2C(=N1)C(C1=CC=C(S1)C1=CC3=C(C4=C(C=C(C)S4)C(=C3S1)C1=CC=CC(S)=C1)C1=CC=CC(S)=C1)=C(F)C(F)=C2C1=CC=C(C)S1
13,P197,1.98,2019,https://doi.org/10.1016/j.synthmet.2019.116182,FC(C=C(C1=CC=C(OCC(CCCCCC)CCCCCCCC)C=C1)C=C2)=C2C3=C(SC(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCCCC)CCCCCC)N=C75)S4)=C8)C8=C(C9=C(F)C=C(C%10=CC=C(OCC(CCCCCC)CCCCCCCC)C=C%10)C=C9)C%11=C3C=C(C)S%11,COC1=CC=C(C=C1)C1=CC(F)=C(C=C1)C1=C2SC(=CC2=C(C2=C1C=C(C)S2)C1=C(F)C=C(C=C1)C1=CC=C(O)C=C1)C1=CC=C(S1)C1=C(F)C(F)=C(C2=CC=C(C)S2)C2=NN(C)N=C12
