idx,HOMO(eV),LUMO(eV),HOMO-LUMO(eV)
1,-4.6575,-2.3761,2.2814
2,-4.93533,-2.53147,2.40385
3,-4.99737,-2.62345,2.37392
4,-4.81206,-2.63923,2.17283
5,-4.86621,-2.63869,2.22752
6,-5.0322,-2.29528,2.73692
7,-5.10485,-2.51052,2.59433
8,-4.91764,-2.2131,2.70454
9,-5.01968,-2.30045,2.71923
10,-4.97696,-2.25882,2.71814
11,-4.90921,-2.19759,2.71161
12,-4.94159,-2.22943,2.71216
13,-4.85533,-2.14698,2.70835
14,-4.92036,-2.20929,2.71107
15,-4.87301,-2.18671,2.68631
16,-4.84907,-2.51678,2.33229
17,-5.00989,-2.29256,2.71733
18,-5.00553,-2.28004,2.72549
19,-4.99465,-2.26453,2.73012
20,-5.00145,-2.26752,2.73393
