idx,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,FpDensityMorgan1,BalabanJ,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,fr_C_O,fr_aniline,fr_bicyclic,fr_halogen,fr_imide,fr_ketone_Topliss,fr_oxazole,fr_pyridine
1,15.763233120212126,0.056352899,-0.056352899,0.04155091,1069.7079999999987,0.4342105263157895,1.348021238846868,9.799819461700956,0,0,11.814359458703011,0,19.55703141003806,213.54432130915245,33.92814367594712,9.589074368143644,58.03405005435192,0,19.76777650359537,11.835812092322788,13.08951281182515,10.440598685398296,0,0,0,22.67357175586947,44.67164877412353,25.683286491704035,66.4,0,0,9.589074368143644,11.814359458703011,58.853468580095054,41.687336668799325,194.41444702303227,50.69026164112151,0,14.56017835676634,0.6176470588235294,0,2,2,0,4,6,2,0,1,0,0,0,0,2
2,15.877401432465549,0.000355194,-1.092299333,0.032879988,1127.6409999999992,0.4556962025316455,1.3937188424159457,9.799819461700956,23.26888336418358,0,11.814359458703011,0,19.55703141003806,207.12349968622647,48.55958525705101,27.150734558842927,58.03405005435192,0,19.76777650359537,11.835812092322788,13.08951281182515,10.440598685398296,0,17.56166019069928,0,22.67357175586947,44.67164877412353,48.95216985588762,66.4,23.26888336418358,8.780830095,18.369904463493285,43.15876032583099,52.581107979469266,105.28688272267864,147.26823182056572,45.11774259244941,0,13.355785712250908,0.6119402985074627,0,2,2,0,4,6,2,0,1,4,0,0,0,2
3,15.337263809063485,0.1097014989827243,-0.125642197,0.032295483,1394.2559999999996,0.3229166666666667,1.0603644434680717,19.273545369301058,0,0,11.814359458703011,11.93861058,19.178148736287287,271.6861704699509,45.50834600267864,28.651874643887385,80.49419217245733,0,9.799819461700956,11.835812092322788,26.303276740850983,19.508588774805197,0,0,0,45.34714351173895,59.85606623715864,25.683286491704035,93.22,0,9.589074368143644,9.589074368143644,23.75297003460671,99.20430625698005,62.91066570606256,245.78102000644037,70.3049195,0,15.30522914908827,0.7142857142857143,0,2,2,0,4,10,4,0,1,0,0,0,0,0
4,16.41416777070528,0.00859858,-1.200438132,0.032648536,1686.7920000000008,0.25,1.146954939287005,9.799819461700956,23.26888336418358,0,11.814359458703011,0,9.589074368143644,464.31081915773046,46.92602365475669,27.15073455884292,68.55558159655362,0,9.799819461700956,11.835812092322788,13.08951281182515,19.508588774805197,0,17.56166019069928,0,45.34714351173895,34.70369173222912,48.95216985588762,40.620000000000005,23.26888336418358,4.390415048,22.760319511168102,31.322948233508207,51.52286766474489,63.80819194803194,454.8763934365934,38.314432684274294,0,13.693249289828517,0.7884615384615384,0,2,2,0,4,6,2,0,1,4,0,0,0,0
5,16.40896828195916,0.015304109,-1.047421314,0.032648535,1712.830000000001,0.2711864406779661,1.1563575045320698,9.799819461700956,23.26888336418358,0,11.814359458703011,0,9.589074368143644,464.31081915773046,46.92602365475669,27.15073455884292,80.70762181022138,0,9.799819461700956,11.835812092322788,13.08951281182515,9.754294387,0,17.56166019069928,0,45.34714351173895,34.70369173222912,48.95216985588762,40.620000000000005,23.26888336418358,8.780830095,18.369904463493285,31.322948233508207,51.52286766474489,63.80819194803194,467.0284336502611,39.24077971,0,13.784472923999154,0.7735849056603774,0,2,2,0,4,6,2,0,1,4,0,0,0,0
6,15.999857907454096,0.050808287,-1.241470125,0.032647675,1227.8459999999989,0.3837209302325581,1.3546081722717307,9.799819461700956,23.26888336418358,0,11.814359458703011,0,19.55703141003806,264.91089429256056,48.55958525705101,27.15073455884292,45.88200984068415,0,19.76777650359537,11.835812092322788,13.08951281182515,20.194893072800895,0,17.56166019069928,0,22.67357175586947,44.67164877412353,48.95216985588762,66.4,23.26888336418358,4.390415048,22.760319511168102,48.722211817527985,58.35444237,87.52927522181785,199.3244078361581,44.79776644987046,0,13.359729733426756,0.6756756756756757,0,2,2,0,4,6,2,0,1,4,0,0,0,2
7,15.72588826,0.180310302,-0.505003189,0.041643471,1057.5959999999986,0.4459459459459459,1.361588492716774,18.63412133580765,11.520494837748885,0,11.814359458703011,0,9.589074368143644,207.47795424069085,25.77765064124243,27.204206337599977,45.88200984068415,0,9.799819461700956,11.835812092322788,13.08951281182515,20.391688999978346,0,8.780830095,0,22.67357175586947,34.70369173222912,37.31772817379583,66.9,11.63444168209179,0,18.369904463493285,33.404465938428395,57.78768994839997,73.34075347391857,177.56923896508226,36.871086962175966,0,13.775659399949747,0.65625,0,2,2,0,4,6,2,0,1,2,0,0,0,0
8,15.801701864716357,0.000310302,-0.399378189,0.032893857,1183.517999999999,0.4459459459459459,1.361588492716774,0,0,0,0,418.05160441786126,0,53.378235290466534,0,18.369904463493285,74.88913086353892,0,9.799819461700956,11.835812092322788,13.08951281182515,19.068817320070337,0,8.780830095,0,22.67357175586947,63.710812755083886,37.31772817379583,40.620000000000005,5.817220841045895,0,18.369904463493285,46.63870132260368,45.82582835168906,72.98542996796965,200.11867675937384,38.02643182164342,0,14.428567297483765,0.65625,0,2,2,0,4,4,2,0,1,2,0,0,0,0
9,14.883424786358637,0.2060107393080557,-2.399441178,0.063881123,957.6239999999996,0.4193548387096774,1.3889810452290223,39.51186066661481,56.31056268629592,0,11.814359458703011,17.12182840973192,9.589074368143644,32.10410811463005,11.146209060138537,39.301115573057494,73.59983950534473,0,9.799819461700956,0,13.08951281182515,11.520494837748885,0,0,0,0,85.09509315275918,13.847474399381248,116.96,50.39140142053007,9.589074368143644,0,11.814359458703011,64.43103759244757,62.794190333189455,0,33.27803734537697,0,35.94940005743103,0.6,0,2,2,0,3,9,2,0,1,0,0,0,0,0
10,14.904000918045876,0.1799690726413891,-2.389579245,0.06457927,973.6919999999996,0.4838709677419355,1.3889810452290223,35.09470972956146,44.79006784854704,0,11.814359458703011,17.12182840973192,9.589074368143644,32.10410811463005,16.023356253839836,34.883964636004144,84.93662538327948,0,9.799819461700956,0,13.08951281182515,10.637394612575742,0,0,0,11.336785877934735,85.09509315275918,13.847474399381248,103.82,50.39140142053007,9.589074368143644,0,11.814359458703011,47.150295335824225,73.43158494576521,4.877147193701299,35.564413228475516,0,36.26818925,0.6,0,2,2,0,3,9,2,0,1,0,0,0,0,0
