idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
1,PDPH,1.68,2018,https://doi.org/10.1002/adma.201802850,CC(C=C1)=CN=C1C(N(CC(CCCCCCCC)CCCCCCCCCC)C2=O)=C3C2=C(C4=NC=C(C5=CC=C(/C=C/C6=CC=C(C)S6)S5)C=C4)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=NC=C(C)C=C1)C1=NC=C(C=C1)C1=CC=C(S1)\C=C\C1=CC=C(C)S1
2,PDPF,1.71,2018,https://doi.org/10.1002/adma.201802850,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(N(CC(CCCCCCCC)CCCCCCCCC)C(=O)C2=C1C1=CC=C(C=N1)C1=C(F)C(F)=C(S1)\C=C\C1=C(F)C(F)=C(C)S1)C1=NC=C(C)C=C1,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=CC=C(C=N1)C1=C(F)C(F)=C(S1)\C=C\C1=C(F)C(F)=C(C)S1)C1=NC=C(C)C=C1
3,P(DDE5-DPPBT),1.35,2018,https://doi.org/10.1021/acsami.8b13292,O=C(N(CCCCCC(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=O)C(C1=CC=C(C)S1)=C23)C2=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)S5)S4)N(CCCCCC(OCC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C3=O,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=CC=C(C)S1)C1=CC=C(S1)C1=CC=C(S1)C1=CC=C(C)S1
4,P4F2T-C40,1.43,2018,https://doi.org/10.1021/acs.macromol.8b01112,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)C2=C(N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C(=O)C2=C1C1=CC=C(C)S1)C1=CC=C(S1)C1=C(F)C(F)=C(S1)C1=C(F)C(F)=C(C)S1,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=CC=C(C)S1)C1=CC=C(S1)C1=C(F)C(F)=C(S1)C1=C(F)C(F)=C(C)S1
5,P4FTVT-C40,1.4,2018,https://doi.org/10.1021/acs.macromol.8b01112,CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCC)CCCN1C(=O)C2=C(N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C(=O)C2=C1C1=CC=C(C)S1)C1=CC=C(S1)C1=C(F)C(F)=C(S1)\C=C\C1=C(F)C(F)=C(C)S1,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=CC=C(C)S1)C1=CC=C(S1)C1=C(F)C(F)=C(S1)\C=C\C1=C(F)C(F)=C(C)S1
6,PPyDPP1-4FBT,1.73,2018,https://doi.org/10.1002/adfm.201801097,CC(C=C1)=CN=C1C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=O)=C3C2=C(C4=NC=C(C5=C(F)C(F)=C(C6=C(F)C(F)=C(C)S6)S5)C=C4)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C3=O,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=NC=C(C)C=C1)C1=NC=C(C=C1)C1=C(F)C(F)=C(S1)C1=C(F)C(F)=C(C)S1
7,pDPF-DTF2,1.46,2019,https://doi.org/10.1002/adfm.201907452,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1C1=CC=C(C)O1)C1=CC=C(O1)C1=CC(F)=C(S1)C1=C(F)C=C(C)S1,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=CC=C(C)O1)C1=CC=C(O1)C1=CC(F)=C(S1)C1=C(F)C=C(C)S1
8,pDPSe-DTF2,1.33,2019,https://doi.org/10.1002/adfm.201907452,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1C1=CC=C(C)[Se]1)C1=CC=C([Se]1)C1=CC(F)=C(S1)C1=C(F)C=C(C)S1,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=CC=C(C)[Se]1)C1=CC=C([Se]1)C1=CC(F)=C(S1)C1=C(F)C=C(C)S1
9,PFDPPF-Si,1.41,2019,https://doi.org/10.1039/C9PY00448C,CC1=CC=C(O1)C(N(CCCCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)C2=O)=C(C2=C(C3=CC=C(C4=CC=C(C)O4)O3)N5CCCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)C5=O,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=CC=C(C)O1)C1=CC=C(O1)C1=CC=C(O1)C1=CC=C(O1)C1=C2C(=O)N(C)C(C3=CC=C(O3)C3=CC=C(C)O3)=C2C(=O)N1C
10,PFDPPT-Si,1.39,2019,https://doi.org/10.1039/C9PY00448C,CC1=CC=C(O1)C(N(CCCCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)C2=O)=C(C2=C(C3=CC=C(C4=CC=C(C)S4)O3)N5CCCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)C5=O,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=CC=C(C)O1)C1=CC=C(O1)C1=CC=C(S1)C1=CC=C(O1)C1=C2C(=O)N(C)C(C3=CC=C(O3)C3=CC=C(C)S3)=C2C(=O)N1C
