idx,HOMO(eV),LUMO(eV),HOMO-LUMO(eV)
1,-4.90893,-2.56549,2.34344
2,-4.96771,-2.58943,2.37827
3,-4.72607,-2.50426,2.22181
4,-4.82567,-2.63052,2.19514
5,-4.79682,-2.74073,2.05609
6,-4.99383,-2.55134,2.44249
7,-4.64825,-2.39759,2.25065
8,-4.74131,-2.66345,2.07786
9,-4.53287,-2.62345,1.90942
10,-4.53831,-2.64331,1.895
11,-4.57287,-2.75216,1.82071
12,-4.92009,-2.88413,2.03596
13,-5.12064,-3.23734,1.8833
14,-4.87084,-2.73665,2.13419
15,-4.77315,-2.60631,2.16684
16,-4.65641,-2.77747,1.87895
17,-4.71138,-2.66372,2.04766
18,-4.8126,-2.65665,2.15596
19,-4.69804,-2.89066,1.80738
