idx,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,FpDensityMorgan1,BalabanJ,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,fr_C_O,fr_aniline,fr_bicyclic,fr_halogen,fr_imide,fr_ketone_Topliss,fr_oxazole,fr_pyridine
1,7.180939139106641,0.4967722329676113,0.4967722329676113,0.034890903,1544.436,0.2962962962962963,1.1706467671656648,28.421177722800294,22.99804733313562,0,0,0,0,285.83056691393256,71.46238904494516,28.421177722800294,76.55283320883926,0,9.967957041894415,11.835812092322788,39.641291787077506,87.64732173099353,28.421177722800294,0,34.49707099970343,45.34714351173895,49.60924882897192,25.68328649170403,81.16000000000001,0,0,0,0,51.47710387940029,153.6437220288471,231.79644870368983,19.31021399198181,2.331863481185075,26.79509898891293,0.6041666666666666,0,0,0,4,5,12,0,0,3,0,0,0,0,0
2,7.195820091487595,0.071640715,-0.071640715,0.027550808,1638.222,0.3333333333333333,1.1706467671656648,0,0,0,0,484.75821629694656,0,194.6363109948388,0,28.421177722800294,82.88638247582456,0,9.967957041894415,11.835812092322788,39.641291787077506,86.32800736678894,28.421177722800294,0,34.49707099970343,22.67357175586947,78.61636985,25.68328649170403,81.16000000000001,0,0,0,29.007121022854776,38.26333995037446,143.7524713038548,253.14237753876856,14.712434944365013,2.374128692825287,26.963443063050608,0.6041666666666666,0,0,0,4,5,10,0,0,3,0,0,0,0,0
3,5.743851097467902,0.9113784454816533,0.9113784454816533,0.037010045,1276.0479999999989,0.3068181818181818,1.061163566339324,0,0,0,0,0,0,228.90778607882217,22.421257424929443,0,99.22640496470872,0,9.967957041894415,0,0,74.03144810208669,0,0,0,68.02071526760842,9.967957041894415,13.847474399381248,25.78,0,0,0,0,0,44.67506339171742,250.09937423680057,25.499977119156235,2.899299379221421,13.900782165002214,0.425,0,0,0,4,7,8,0,0,3,0,0,0,0,0
4,14.115373436816878,0.2694184114680493,-4.581204916,0.029223968,1412.042,0.3229166666666667,1.0783036170084206,0,0,0,0,12.35259703488695,0,192.5095836680524,33.54816040832343,26.34249028604892,99.22640496470872,0,9.967957041894415,0,0,74.03144810208669,0,26.34249028604892,0,68.02071526760842,9.967957041894415,13.847474399381248,25.78,23.47950001828094,26.34249028604892,0,11.387855989696922,22.160304418626517,80.58424652374967,240.29987022753173,23.22941057035407,2.6599079953739695,13.50311702970624,0.4390243902439024,0,0,0,4,7,8,0,0,3,6,0,0,0,0
5,17.886644287439285,0.013036024,-4.677776886,0.029223958,1448.0219999999997,0.3265306122448979,1.1020788331014333,0,11.63444168209179,0,0,12.35259703488695,0,180.3768495311292,33.64166196,35.123320381398564,99.22640496470872,0,9.967957041894415,0,0,74.03144810208669,0,35.123320381398564,0,68.02071526760842,9.967957041894415,25.48191608147304,25.78,35.11394170037273,26.34249028604892,8.780830095,44.67506339171742,9.754294387,90.26348283835844,242.16730268539845,20.28308235,2.4374739962922436,13.151722405118557,0.4390243902439024,0,0,0,4,7,8,0,0,3,8,0,0,0,0
6,7.013459619960889,0.2657690843068697,0.2657690843068697,0.0279612,1770.478,0.3103448275862069,1.0419860984480855,18.947451815200196,22.99804733313562,0,0,340.72333609261324,0,207.47795424069085,32.121455852900134,18.947451815200196,105.55995423169404,0,9.967957041894415,11.835812092322788,26.427527858051672,96.14995252575258,18.947451815200196,0,22.99804733313562,45.34714351173895,65.40260592280086,25.68328649170403,62.70000000000002,0,0,0,29.007121022854776,26.427527858051672,118.0338525547319,291.7116528328059,19.86088709423372,2.893676036581686,25.85505794603491,0.5576923076923077,0,0,0,4,7,10,0,0,3,0,0,0,0,0
7,7.024113889933341,0.034681729,-0.034681729,0.0279612,1864.264,0.3189655172413793,1.0419860984480855,0,0,0,0,545.5623412755659,0,194.6363109948388,0,18.947451815200196,111.89350349867934,0,9.967957041894415,11.835812092322788,26.427527858051672,94.83063816,18.947451815200196,0,22.99804733313562,22.67357175586947,94.40972694565563,25.68328649170403,62.70000000000002,0,0,0,58.01424204570955,26.427527858051672,106.9069495713379,301.0794699972604,15.095182253982363,2.935941248221897,25.99434062550197,0.5576923076923077,0,0,0,4,7,8,0,0,3,0,0,0,0,0
8,5.964300094211956,0.2749636333273502,0.2749636333273502,0.028046851,1650.3739999999991,0.3333333333333333,1.035657578314569,0,0,0,0,512.5767731813212,0,107.62108435215664,5.693927994848461,0,105.55995423169404,0,9.967957041894415,11.835812092322788,0,73.15190519261697,0,0,0,45.34714351173895,38.97507806474919,25.683286491704035,25.78,0,0,0,29.007121022854776,0,58.225615746498235,341.3634855537559,20.245113300562437,3.0277056921037904,18.82380441260725,0.54,0,0,0,4,7,6,0,0,3,0,0,0,0,0
9,18.64175620263739,0.224886669,-0.224886669,0.028046851,1668.3639999999991,0.3577981651376147,1.0470226954200603,0,0,0,0,516.7180420015802,0,107.62108435215664,5.693927994848461,4.390415048,105.55995423169404,0,9.967957041894415,11.835812092322788,0,73.15190519261697,0,4.390415048,0,45.34714351173895,38.97507806474919,31.50050733274993,25.78,0,0,4.390415048,34.82434186390067,11.080152209313258,80.86830415383359,318.76754792050133,18.91135677625646,2.905716460562791,18.596767793747222,0.54,0,0,0,4,7,6,0,0,3,1,0,0,0,0
10,5.964300094211956,0.2749636333273502,0.2749636333273502,0.028046851,1650.3739999999991,0.3333333333333333,1.035657578314569,0,0,0,0,512.5767731813212,0,107.62108435215664,5.693927994848461,0,105.55995423169404,0,9.967957041894415,11.835812092322788,0,73.15190519261697,0,0,0,45.34714351173895,38.97507806474919,25.683286491704035,25.78,0,0,0,29.007121022854776,0,58.225615746498235,341.3634855537559,20.245113300562437,3.0277056921037904,18.82380441260725,0.54,0,0,0,4,7,6,0,0,3,0,0,0,0,0
