idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
1,P1,1.82,2022,https://doi.org/10.1016/j.eurpolymj.2022.111141,CC1=CC2=C(S1)C(OCC(CCCC)CC)=C3C(SC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C8)C(C9=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C=C9)=N7)S4)=C3)=C2OCC(CCCC)CC,COC1=C2C=C(SC2=C(OC)C2=C1SC(C)=C2)C1=CC=C(S1)C1=CC=C(C2=CC=C(S2)C2=CC3=C(S2)C(OC)=C2C=C(SC2=C3OC)C2=CC=C(S2)C2=CC=C(C3=CC=C(C)S3)C3=NC(C4=CC(O)=C(O)C=C4)=C(N=C23)C2=CC=C(O)C(O)=C2)C2=NC(C3=CC(O)=C(O)C=C3)=C(N=C12)C1=CC=C(O)C(O)=C1
2,P10,1.7,2022,https://doi.org/10.1016/j.eurpolymj.2022.111141,CC1=CC2=C(S1)C(OCC(CCCC)CC)=C3C(SC(C4=CC=C(C5=CC=C(C6=CC=C(C)[Se]6)C7=C5N=C(C8=CC=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C8)C(C9=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C=C9)=N7)[Se]4)=C3)=C2OCC(CCCC)CC,COC1=C2C=C(SC2=C(OC)C2=C1SC(C)=C2)C1=CC=C([Se]1)C1=CC=C(C2=CC=C([Se]2)C2=CC3=C(S2)C(OC)=C2C=C(SC2=C3OC)C2=CC=C([Se]2)C2=CC=C(C3=CC=C(C)[Se]3)C3=NC(C4=CC(O)=C(O)C=C4)=C(N=C23)C2=CC=C(O)C(O)=C2)C2=NC(C3=CC(O)=C(O)C=C3)=C(N=C12)C1=CC=C(O)C(O)=C1
3,P57,1.68,2019,https://doi.org/10.1016/j.orgel.2018.11.022,CCCCCCCCC1=C(CCCCCCCC)C=C(S1)C1=C2C=C(SC2=C(C2=CC(CCCCCCCC)=C(CCCCCCCC)S2)C2=C1SC(C)=C2)C1=CC=C(S1)C1=CC=C(C2=CC=C(C)S2)C2=C1N=C(C1=CC=CC=C1)C(=N2)C1=CC=CC=C1,CC1=CC=C(S1)C1=CC=C(C2=CC=C(S2)C2=CC3=C(C4=CC=CS4)C4=C(C=C(S4)C4=CC=C(S4)C4=CC=C(C5=CC=C(S5)C5=CC6=C(C7=CC=CS7)C7=C(C=C(C)S7)C(C7=CC=CS7)=C6S5)C5=NC(C6=CC=CC=C6)=C(N=C45)C4=CC=CC=C4)C(C4=CC=CS4)=C3S2)C2=NC(C3=CC=CC=C3)=C(N=C12)C1=CC=CC=C1
4,P58,1.69,2019,https://doi.org/10.1016/j.orgel.2018.11.022,CCCCCCCCC1=C(CCCCCCCC)C=C(S1)C1=C2C=C(SC2=C(C2=CC(CCCCCCCC)=C(CCCCCCCC)S2)C2=C1SC(C)=C2)C1=CC=C(S1)C1=CC=C(C2=CC=C(C)S2)C2=C1N=C(C1=CC=C(C=C1)C(F)(F)F)C(=N2)C1=CC=C(C=C1)C(F)(F)F,CC1=CC=C(S1)C1=CC=C(C2=CC=C(S2)C2=CC3=C(C4=CC=CS4)C4=C(C=C(S4)C4=CC=C(S4)C4=CC=C(C5=CC=C(S5)C5=CC6=C(C7=CC=CS7)C7=C(C=C(C)S7)C(C7=CC=CS7)=C6S5)C5=C4N=C(C4=CC=CC=C4)C(=N5)C4=CC=CC=C4)C(C4=CC=CS4)=C3S2)C2=C1N=C(C1=CC=CC=C1)C(=N2)C1=CC=CC=C1
5,P59,1.71,2019,https://doi.org/10.1016/j.orgel.2018.11.022,CCCCCCCCC1=C(CCCCCCCC)C=C(S1)C1=C2C=C(SC2=C(C2=CC(CCCCCCCC)=C(CCCCCCCC)S2)C2=C1SC(C)=C2)C1=CC=C(S1)C1=C(F)C(F)=C(C2=CC=C(C)S2)C2=C1N=C(C1=CC=C(C=C1)C(F)(F)F)C(=N2)C1=CC=C(C=C1)C(F)(F)F,CC1=CC=C(S1)C1=C(F)C(F)=C(C2=CC=C(S2)C2=CC3=C(C4=CC=CS4)C4=C(C=C(S4)C4=CC=C(S4)C4=C(F)C(F)=C(C5=CC=C(S5)C5=CC6=C(C7=CC=CS7)C7=C(C=C(C)S7)C(C7=CC=CS7)=C6S5)C5=NC(C6=CC=CC=C6)=C(N=C45)C4=CC=CC=C4)C(C4=CC=CS4)=C3S2)C2=NC(C3=CC=CC=C3)=C(N=C12)C1=CC=CC=C1
6,P60,1.79,2022,https://doi.org/10.1016/j.eurpolymj.2022.111141,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)[Se]3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C8)C(C9=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)[Se]%11,CC1=CC=C(S1)C1=CC=C(C2=CC=C(S2)C2=CC3=C(C4=CC=C[Se]4)C4=C(C=C(S4)C4=CC=C(S4)C4=CC=C(C5=CC=C(S5)C5=CC6=C(C7=CC=C[Se]7)C7=C(C=C(C)S7)C(C7=CC=C[Se]7)=C6S5)C5=NC(C6=CC=C(O)C(O)=C6)=C(N=C45)C4=CC(O)=C(O)C=C4)C(C4=CC=C[Se]4)=C3S2)C2=NC(C3=CC=C(O)C(O)=C3)=C(N=C12)C1=CC(O)=C(O)C=C1
7,P61,1.79,2022,https://doi.org/10.1016/j.eurpolymj.2022.111141,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)[Se]3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)[Se]6)C7=C5N=C(C8=CC=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C8)C(C9=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C=C9)=N7)[Se]4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)[Se]%11,CC1=CC2=C(S1)C(C1=CC=C[Se]1)=C1C=C(SC1=C2C1=CC=C[Se]1)C1=CC=C([Se]1)C1=CC=C(C2=CC=C([Se]2)C2=CC3=C(S2)C(C2=CC=C[Se]2)=C2C=C(SC2=C3C2=CC=C[Se]2)C2=CC=C([Se]2)C2=CC=C(C3=CC=C(C)[Se]3)C3=NC(C4=CC(O)=C(O)C=C4)=C(N=C23)C2=CC=C(O)C(O)=C2)C2=NC(C3=CC(O)=C(O)C=C3)=C(N=C12)C1=CC=C(O)C(O)=C1
8,P62,1.67,2020,https://doi.org/10.1016/j.dyepig.2020.108479,CCCCCCCCCCC(CCCCCCCC)CC1=CC=C([Se]1)C1=C2SC(=CC2=C(C2=CC=C(CC(CCCCCCCC)CCCCCCCCCC)[Se]2)C2=C1C=C(C)S2)C1=C(CCCCCC)C=C(S1)C1=CC=C(C2=CC(CCCCCC)=C(C)S2)C2=C1N=C(C1=CC=CC=C1)C(=N2)C1=CC=CC=C1,CC1=CC2=C(S1)C(C1=CC=C[Se]1)=C1C=C(SC1=C2C1=CC=C[Se]1)C1=C(C)C=C(S1)C1=CC=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C[Se]2)=C2C=C(SC2=C3C2=CC=C[Se]2)C2=C(C)C=C(S2)C2=CC=C(C3=CC(C)=C(C)S3)C3=NC(C4=CC=CC=C4)=C(N=C23)C2=CC=CC=C2)C2=NC(C3=CC=CC=C3)=C(N=C12)C1=CC=CC=C1
9,P63,1.45,2020,https://doi.org/10.1016/j.dyepig.2020.108479,CC1=CC2=C(S1)C(C3=CC=C(CC(CCCCCCCCCC)CCCCCCCC)[Se]3)=C4C(SC(C5=C(CCCCCC)C=C(C6=C(F)C=C(C7=CC(CCCCCC)=C(C)S7)C8=C6N=C(C9=CC=CC=C9)C(C%10=CC=CC=C%10)=N8)S5)=C4)=C2C%11=CC=C(CC(CCCCCCCCCC)CCCCCCCC)[Se]%11,CC1=CC2=C(S1)C(C1=CC=C[Se]1)=C1C=C(SC1=C2C1=CC=C[Se]1)C1=C(C)C=C(S1)C1=C(F)C=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C[Se]2)=C2C=C(SC2=C3C2=CC=C[Se]2)C2=C(C)C=C(S2)C2=C(F)C=C(C3=CC(C)=C(C)S3)C3=NC(C4=CC=CC=C4)=C(N=C23)C2=CC=CC=C2)C2=NC(C3=CC=CC=C3)=C(N=C12)C1=CC=CC=C1
10,P64,1.64,2020,https://doi.org/10.1016/j.dyepig.2020.108479,CC1=CC2=C(S1)C(C3=CC=C(CC(CCCCCCCCCC)CCCCCCCC)[Se]3)=C4C(SC(C5=C(CCCCCC)C=C(C6=CC=C(C7=CC(CCCCCC)=C(C)S7)C8=C6N=C(C9=CC=CC=C9)C(C%10=CC=CC=C%10)=N8)S5)=C4)=C2C%11=CC=C(CC(CCCCCCCCCC)CCCCCCCC)[Se]%11,CC1=CC2=C(S1)C(C1=CC=C[Se]1)=C1C=C(SC1=C2C1=CC=C[Se]1)C1=C(C)C=C(S1)C1=CC=C(C2=CC(C)=C(S2)C2=CC3=C(S2)C(C2=CC=C[Se]2)=C2C=C(SC2=C3C2=CC=C[Se]2)C2=C(C)C=C(S2)C2=CC=C(C3=CC(C)=C(C)S3)C3=C2N=C(C2=CC=CC=C2)C(=N3)C2=CC=CC=C2)C2=C1N=C(C1=CC=CC=C1)C(=N2)C1=CC=CC=C1
