idx,HOMO(eV),LUMO(eV),HOMO-LUMO(eV)
1,-4.84335,-2.58209,2.26127
2,-4.5794,-2.60168,1.97772
3,-4.70702,-2.49692,2.21011
4,-4.70049,-2.51406,2.18643
5,-4.83818,-2.62862,2.20956
6,-4.72879,-2.49093,2.23786
7,-4.58076,-2.53882,2.04194
8,-4.62702,-2.45392,2.1731
9,-4.68634,-2.52304,2.1633
10,-4.63247,-2.39623,2.23623
11,-4.93506,-2.31868,2.61637
12,-4.95655,-2.24657,2.70998
13,-5.10241,-2.46834,2.63406
14,-4.77342,-2.41583,2.35759
15,-4.72526,-2.39215,2.3331
16,-4.85941,-2.49746,2.36195
17,-5.05615,-2.4697,2.58644
18,-4.79682,-2.32821,2.46862
19,-4.97859,-2.66672,2.31188
20,-4.89478,-2.64032,2.25446
21,-4.94567,-2.34889,2.59678
22,-4.99084,-2.45011,2.54073
23,-4.91301,-2.44086,2.47215
