idx,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,FpDensityMorgan1,BalabanJ,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,fr_C_O,fr_aniline,fr_bicyclic,fr_halogen,fr_imide,fr_ketone_Topliss,fr_oxazole,fr_pyridine
1,14.164949617093413,0.054857328,-0.056574045,0.057694354,738.2259999999995,0.56,1.4210423869336564,0,0,0,11.814359458703011,0,14.48898409899412,142.7668224346661,16.00405017709529,9.589074368143644,45.82471709250722,0,4.899909730850478,5.917906046161393,6.544756405912575,19.508588774805197,0,0,0,34.01035763380421,23.259025595466063,19.76538044554264,37.38,0,9.589074368143644,0,11.814359458703011,23.589565435467957,33.893906449881925,148.61132553132114,36.874452094572845,0,11.650001990097014,0.6818181818181818,0,1,1,0,3,5,2,0,1,0,1,0,0,0
2,14.621374681786822,0.027909041,-0.032752011,0.045186073,862.453,0.4915254237288136,1.3629218612027982,0,0,0,11.814359458703011,0,14.48898409899412,194.6363109948388,16.00405017709529,9.589074368143644,45.82471709250722,0,4.899909730850478,5.917906046161393,6.544756405912575,19.508588774805197,0,0,0,34.01035763380421,23.259025595466063,19.76538044554264,37.38,0,9.589074368143644,0,17.22934992809979,23.589565435467957,22.595937633254614,204.85504570843057,38.234368503194986,0,14.140117281689347,0.7358490566037735,1,1,2,0,3,5,2,0,4,0,1,0,0,0
3,14.698157901745908,0.088529606,-0.098467929,0.035299961,906.4619999999994,0.5161290322580645,1.4628731420556025,9.473725907600098,0,0,11.814359458703011,0,14.48898409899412,169.9588557,38.61765393905933,19.06280027574374,65.99700535437502,0,4.899909730850478,17.75371813848418,19.75852033493841,21.253318053970407,9.473725907600098,0,11.49902366656781,34.01035763380421,36.47278952,31.60119253786543,55.84,0,9.589074368143644,0,11.814359458703011,48.639141456816574,71.98604000124352,133.29357965222155,34.852995794973694,2.201264020092596,19.75985930990242,0.7037037037037037,0,1,1,1,3,7,2,0,3,0,1,0,0,0
4,15.079892890579975,0.061223095,-1.913525919,0.022555623,1154.959999999999,0.3866666666666666,0.9924874982191348,0,0,0,11.814359458703011,0,14.48898409899412,194.6363109948388,20.881197370796592,9.589074368143644,128.4188638620306,0,4.899909730850478,5.917906046161393,6.544756405912575,39.01717754961039,10.373451291374916,0,0,79.35750114554315,31.33289789599918,19.76538044554264,37.38,8.073872300533118,4.794537184071822,4.794537184071822,11.814359458703011,23.589565435467957,32.35023202065721,217.33782219059088,44.85516655652642,3.5359508600202716,14.300297359559693,0.59375,0,2,2,0,7,9,2,0,6,0,1,0,0,0
5,15.57529807280674,0.036776552,-1.979758921,0.021671631,1323.2839999999994,0.3793103448275862,1.0841248219435269,0,0,0,11.814359458703011,0,14.48898409899412,247.00871513177617,20.881197370796592,9.589074368143644,128.4188638620306,0,4.899909730850478,5.917906046161393,6.544756405912575,39.01717754961039,10.373451291374916,0,0,79.35750114554315,31.33289789599918,19.76538044554264,37.38,8.073872300533118,0,9.589074368143644,11.814359458703011,23.589565435467957,35.43758087910663,284.02214105309844,46.4534887,3.5805668398225308,19.15142316426876,0.6578947368421053,0,2,2,0,7,9,2,0,6,0,1,0,0,0
6,15.73645242631193,0.062564436,-0.064445219,0.028214678,1513.4999999999995,0.39,1.046807579391022,4.736862953800049,0,0,11.814359458703011,0,14.48898409899412,235.17290303945336,27.99099491207412,14.325937321943693,152.81740028785984,0,4.899909730850478,17.75371813848418,13.65455394719011,55.89359236628828,4.736862953800049,0,5.749511833283905,102.03107290141264,30.368823136743597,31.601192537865423,46.61,0,0,9.589074368143644,11.814359458703011,35.425377527790744,83.04549521442321,273.60513526314486,48.56774796,2.755471798600362,23.76225076,0.5862068965517241,0,1,1,1,9,12,2,0,5,0,1,0,0,0
7,15.707607517569564,0.056493999,-0.05761184,0.028175255,1483.4739999999997,0.3469387755102041,1.032985856059628,0,0,0,11.814359458703011,0,14.48898409899412,235.17290303945336,20.88119737079659,9.589074368143644,152.81740028785984,0,4.899909730850478,17.75371813848418,6.544756405912575,50.14408053300438,0,0,0,102.03107290141264,23.259025595466063,31.601192537865423,37.38,0,0,9.589074368143644,11.814359458703011,23.58956543546796,69.86933060468405,292.8676001319228,48.89264872567253,2.8332311523418587,23.83614418170213,0.5813953488372093,0,1,1,1,9,11,2,0,5,0,1,0,0,0
8,16.79008587203366,0.093413603,-0.104128044,0.028175251,1519.4539999999995,0.36,1.048587193,0,0,0,11.814359458703011,0,14.48898409899412,235.17290303945336,20.88119737079659,18.36990446349328,152.81740028785984,0,4.899909730850478,17.75371813848418,6.544756405912575,50.14408053300438,0,8.780830095,0,102.03107290141264,23.259025595466063,43.23563421995722,37.38,0,0,18.36990446349328,29.36670718695619,29.507471481629352,185.8911580075404,165.0099606367438,45.88285253,2.268061084314648,23.10171399193672,0.5813953488372093,0,1,1,1,9,11,2,0,5,2,1,0,0,0
9,15.73020399488598,0.070806403,-0.073746099,0.02817525,1552.3639999999998,0.36,1.048587193,0,0,0,11.814359458703011,0,14.48898409899412,258.3747828199184,30.92646399827924,9.589074368143644,176.01928006832486,0,4.899909730850478,17.75371813848418,6.544756405912575,50.14408053300438,0,0,0,125.23295268187768,23.259025595466063,31.601192537865423,37.38,0,0,9.589074368143644,11.814359458703011,35.425377527790744,100.18289325447398,260.7634920172929,47.97100696883684,4.464737019,23.611083620942058,0.5813953488372093,0,1,1,1,9,11,2,0,5,2,1,0,0,0
10,15.776831360429153,0.057100848,-0.058257765,0.02164171,1575.6619999999996,0.3627450980392157,1.0609165081581815,0,0,0,11.814359458703011,0,14.48898409899412,235.17290303945336,20.88119737079659,9.589074368143644,176.34117018664207,0,4.899909730850478,17.75371813848418,19.056294772935384,50.14408053300438,0,0,0,125.5548428001949,35.77056396248887,31.601192537865423,37.38,0,0,9.589074368143644,11.814359458703011,35.425377527790744,70.87516176,280.0626294497038,52.05750132466291,2.838332248335812,23.906658606256983,0.5909090909090909,0,1,1,1,9,13,2,0,5,0,1,0,0,0
11,15.722023199700809,0.056882047,-0.058073746,0.021670755,1529.5679999999995,0.37,1.0234917796874898,0,0,0,11.814359458703011,0,14.48898409899412,228.75208141652735,25.09037654831867,9.589074368143644,164.57928523725096,0,4.899909730850478,17.75371813848418,12.297610012659364,50.14408053300438,0,0,0,113.7929578508038,29.011879202212853,31.601192537865423,37.38,0,0,9.589074368143644,11.814359458703011,23.58956543546796,76.29015222761006,291.5316640995644,47.36111447030998,2.821961992493986,23.82414781607616,0.5862068965517241,0,1,1,1,9,12,2,0,5,0,1,0,0,0
