idx,Name,bandgap(eV),Year,reference,smiles_monomer,smiles_oligomer
1,TPD2T,1.76,2024,https://doi.org/10.1039/D3GC04350A,O=C(C1=C(C)SC(C2=CC=C(C3=C(CCCCCCCC)C=C(C)S3)S2)=C14)N(CC(CCCCCCCCCC)CCCCCCCC)C4=O,CN1C(=O)C2=C(C)SC(C3=CC=C(S3)C3=C(C)C=C(S3)C3=C4C(=O)N(C)C(=O)C4=C(S3)C3=CC=C(S3)C3=C(C)C=C(C)S3)=C2C1=O
2,TPDTT,1.87,2024,https://doi.org/10.1039/D3GC04350A,O=C(C1=C(C)SC(C2=CC(C(CCCCCCCC)(CCCCCCCC)C3=C4SC(C)=C3)=C4S2)=C15)N(CC(CCCCCCCCCC)CCCCCCCC)C5=O,CN1C(=O)C2=C(C)SC(C3=CC4=C(S3)C3=C(C=C(S3)C3=C5C(=O)N(C)C(=O)C5=C(S3)C3=CC5=C(S3)C3=C(C=C(C)S3)C5(C)C)C4(C)C)=C2C1=O
3,TPDBDT,1.85,2024,https://doi.org/10.1039/D3GC04350A,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(C)SC(C3=CC4=C(S3)C(OCC(CC)CCCC)=C3C=C(C)SC3=C4OCC(CC)CCCC)=C2C1=O,COC1=C2C=C(SC2=C(OC)C2=C1SC(C)=C2)C1=C2C(=O)N(C)C(=O)C2=C(S1)C1=CC2=C(S1)C(OC)=C1C=C(SC1=C2OC)C1=C2C(=O)N(C)C(=O)C2=C(C)S1
4,P5,1.69,2018,https://doi.org/10.1002/macp.201800297,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(SC(C3=CC4=C(S3)C=C(S4)C3=CC4=C(S3)C3=C(C=C(C)S3)[Si]4(CCCCCCCC)CCCCCCCC)=C2C1=O)C1=CC2=C(S1)C=C(C)S2,CN1C(=O)C2=C(SC(C3=CC4=C(S3)C=C(S4)C3=CC4=C(S3)C3=C(C=C(C)S3)[Si]4(C)C)=C2C1=O)C1=CC2=C(S1)C=C(C)S2
5,P6,1.79,2018,https://doi.org/10.1002/macp.201800297,CC1=C(CCCCCC)C(S2)=C(S1)C=C2C3=C(C(N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)=O)C4=C(S3)C5=CC(S6)=C(S5)C(CCCCCC)=C6C(S7)=CC8=C7C9=C([Si]8(CCCCCCCC)CCCCCCCC)C=C(C)S9,CN1C(=O)C2=C(SC(C3=CC4=C(S3)C(C)=C(S4)C3=CC4=C(S3)C3=C(C=C(C)S3)[Si]4(C)C)=C2C1=O)C1=CC2=C(S1)C(C)=C(C)S2
6,PMOT40,1.89,2019,https://doi.org/10.1021/acsenergylett.8b01824,CC1=C(CCCCCCCC)C(S2)=C(S1)C=C2C3=C(C(N(CC(CCCCCC)CCCCCCCC)C4=O)=O)C4=C(S3)C(S5)=CC6=C5C(CCCCCCCC)=C(S6)C7=CC8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C(C=C(C)S%10)C(C%11=CC(OC)=C(CC(CC)CCCC)S%11)=C8S7,CN1C(=O)C2=C(SC(C3=CC4=C(S3)C(C)=C(S4)C3=CC4=C(C5=CC=CS5)C5=C(C=C(C)S5)C(C5=CC(O)=CS5)=C4S3)=C2C1=O)C1=CC2=C(S1)C(C)=C(C)S2
7,PBDT-H,1.87,2020,https://doi.org/10.1002/adfm.202005787,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(SC(C3=CC4=C(S3)C(CCCCCCCC)=C(S4)C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2C1=O)C1=CC2=C(S1)C(CCCCCCCC)=C(C)S2,CN1C(=O)C2=C(SC(C3=CC4=C(S3)C(C)=C(S4)C3=CC4=C(C5=CC=CS5)C5=C(C=C(C)S5)C(C5=CC=CS5)=C4S3)=C2C1=O)C1=CC2=C(S1)C(C)=C(C)S2
8,PBDT-F,1.87,2020,https://doi.org/10.1002/adfm.202005787,CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CCCC)CC)S3)=C(C=C(C4=C(CCCCCCCC)C5=C(C=C(C6=C(C(N(CC(CCCCCCCC)CCCCCC)C7=O)=O)C7=C(C8=CC9=C(C(CCCCCCCC)=C(C)S9)S8)S6)S5)S4)S%10)C%10=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,CN1C(=O)C2=C(SC(C3=CC4=C(S3)C(C)=C(S4)C3=CC4=C(C5=CC(F)=CS5)C5=C(C=C(C)S5)C(C5=CC(F)=CS5)=C4S3)=C2C1=O)C1=CC2=C(S1)C(C)=C(C)S2
9,PBDT-Cl,1.89,2020,https://doi.org/10.1002/adfm.202005787,CC(S1)=CC2=C1C(C3=CC(Cl)=C(CC(CCCC)CC)S3)=C(C=C(C4=C(CCCCCCCC)C5=C(C=C(C6=C(C(N(CC(CCCCCCCC)CCCCCC)C7=O)=O)C7=C(C8=CC9=C(C(CCCCCCCC)=C(C)S9)S8)S6)S5)S4)S%10)C%10=C2C%11=CC(Cl)=C(CC(CCCC)CC)S%11,CN1C(=O)C2=C(SC(C3=CC4=C(S3)C(C)=C(S4)C3=CC4=C(C5=CC(Cl)=CS5)C5=C(C=C(C)S5)C(C5=CC(Cl)=CS5)=C4S3)=C2C1=O)C1=CC2=C(S1)C(C)=C(C)S2
10,PMTT56,1.87,2019,https://doi.org/10.1021/acs.chemmater.9b00926,CC(S1)=CC2=C1C(C3=CC(SC)=C(CC(CCCC)CC)S3)=C(C=C(C4=C(CCCCCCCC)C5=C(C=C(C6=C7C(C(N(CC(CCCCCCCC)CCCCCC)C7=O)=O)=C(C8=CC(SC(C)=C9CCCCCCCC)=C9S8)S6)S5)S4)S%10)C%10=C2C%11=CC(SC)=C(CC(CCCC)CC)S%11,CN1C(=O)C2=C(SC(C3=CC4=C(S3)C(C)=C(S4)C3=CC4=C(C5=CC(S)=CS5)C5=C(C=C(C)S5)C(C5=CC(S)=CS5)=C4S3)=C2C1=O)C1=CC2=C(S1)C(C)=C(C)S2
