idx,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,FpDensityMorgan1,BalabanJ,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,fr_C_O,fr_aniline,fr_bicyclic,fr_halogen,fr_imide,fr_ketone_Topliss,fr_oxazole,fr_pyridine
1,6.910907285387424,0.034774485,0.034774485,0.049570888,813.3149999999995,0.5614035087719298,1.4755580098193022,8.834301874106695,22.94748813,0,0,0,0,157.11721241081196,5.563451491696996,8.834301874106695,44.87301347438648,0,9.967957041894415,11.835812092322788,0,20.194893072800895,0,0,0,22.67357175586947,9.967957041894415,25.683286491704035,52.06,0,0,0,5.414990469,11.835812092322788,70.79107903766685,147.92502123332542,16.34496493284384,0,18.671816789764307,0.6862745098039216,1,0,1,1,4,6,0,0,5,0,0,0,2,0
2,7.010500496234016,0.070199895,0.070199895,0.043889054,977.5689999999992,0.4776119402985074,1.2307844560639436,8.834301874106695,22.94748813,0,0,0,0,157.11721241081196,11.126902983393991,8.834301874106695,67.54658523025596,0,9.967957041894415,11.835812092322788,0,40.38978614560179,0,0,0,45.34714351173895,9.967957041894415,25.683286491704035,52.06,0,0,0,5.414990469,0,82.62689112998963,157.6793156,21.714844557175493,0,18.724018417686512,0.5932203389830508,1,0,1,1,6,8,0,0,5,0,0,0,2,0
3,7.328289596756217,0.050298745,0.050298745,0.035755229,1202.0009999999986,0.3975903614457831,1.3049837262650124,8.834301874106695,22.94748813,0,0,0,0,235.17290303945336,11.126902983393991,8.834301874106695,67.54658523025596,0,9.967957041894415,11.835812092322788,0,40.38978614560179,0,0,0,45.34714351173895,9.967957041894415,25.683286491704035,52.06,0,0,0,5.414990469,0,95.46853437584166,245.85607807923415,22.77673566810259,0,23.71539895273809,0.68,1,0,1,1,6,8,0,0,5,0,0,0,2,0
4,6.503312199682938,0.7252072141589501,0.7252072141589501,0.071000051,681.9649999999999,0.5882352941176471,1.403199352700975,13.401401521898048,22.94748813,0,0,0,0,109.16155240782491,5.563451491696996,8.834301874106695,44.00529158267912,0,14.53505668968577,0,0,23.681737275422577,0,0,0,0,14.53505668968577,30.60547448,56.99,0,0,0,0,0,88.46273842697343,98.85570933927426,10.01107933414025,2.443271868338677,11.720789933451758,0.4782608695652174,0,0,0,3,3,5,0,0,5,0,0,0,2,0
5,6.510453817986919,0.6408517264346414,0.6408517264346414,0.075341634,681.965,0.6666666666666666,1.452003802833041,13.401401521898048,22.94748813,0,0,0,0,103.24364636166352,5.563451491696996,8.834301874106695,44.00529158267912,0,14.53505668968577,5.917906046161393,0,23.681737275422577,0,0,0,0,14.53505668968577,36.52338052127459,56.99,0,0,0,0,5.917906046161393,88.46273842697343,86.01406609342223,10.019938548261653,2.442089648281998,14.057618235168512,0.4782608695652174,0,0,0,3,3,5,0,0,5,0,0,0,2,0
6,6.611925610836703,0.051495052,-0.051495052,0.04612099,793.1929999999996,0.5084745762711864,1.4240493338645317,8.834301874106695,22.94748813,0,0,0,0,173.16377510492086,5.563451491696996,8.834301874106695,22.199441718517008,0,9.967957041894415,0,0,34.80864025881657,0,0,0,0,9.967957041894415,30.60547448,52.06,0,0,0,5.414990469,0,94.75962526691288,137.82859517945622,10.166179768053944,0,13.150986344586196,0.5636363636363636,1,0,1,3,2,4,0,0,5,0,0,0,2,0
7,6.6436746111121625,0.103971904,-0.103971904,0.045843315,849.3009999999994,0.5555555555555556,1.443263869134633,8.834301874106695,22.94748813,0,0,0,0,162.33379416612726,5.563451491696996,8.834301874106695,22.199441718517008,0,9.967957041894415,23.671624184645573,0,34.80864025881657,0,0,0,0,9.967957041894415,54.27709865975877,52.06,0,0,0,5.414990469,11.835812092322788,106.59543735923565,112.14530868775216,10.208054111217717,0,22.94555400943085,0.5932203389830508,1,0,1,3,2,4,0,0,5,0,0,0,2,0
8,6.585734606808419,0.6350954312304075,0.6350954312304075,0.034441654,849.2979999999991,0.4516129032258064,1.6045727762306132,18.30802778170679,22.94748813,0,0,0,0,199.55597070555373,29.904118404116826,18.30802778170679,22.199441718517008,0,9.967957041894415,0,13.213763929025836,35.180760941990386,9.473725907600098,0,11.49902366656781,0,23.181720970920253,30.60547448,70.52000000000001,0,0,0,0,18.79678407066808,119.93809366061647,134.83725408144625,10.105456525977674,0,14.273714872519848,0.6785714285714286,0,0,0,2,2,6,0,0,2,0,0,0,2,0
9,6.450425221037283,0.4945391025770382,0.4945391025770382,0.079754617,638.893,0.723404255,1.7943058357873745,18.30802778170679,22.94748813,0,0,0,0,103.24364636166352,30.407033980881437,18.30802778170679,22.199441718517008,0,9.967957041894415,5.917906046161393,13.716679505790452,35.180760941990386,9.473725907600098,0,11.49902366656781,0,23.684636547684867,36.52338052127459,70.52000000000001,0,0,0,0,29.420771477297457,102.20430871270956,38.524929737556064,9.918706095733738,0,13.418596806182642,0.5609756097560976,0,0,0,2,2,6,0,0,2,0,0,0,2,0
10,6.997612434634462,0.6253857606667647,0.6253857606667647,0.035669443,1434.373999999999,0.336734694,1.0339071513586424,8.834301874106695,11.166040283284485,11.781447844051817,0,0,0,286.5394760228614,9.754294387,8.834301874106695,110.39244524799324,0,9.967957041894415,23.671624184645573,0,52.171233989653594,0,0,0,68.02071526760842,9.967957041894415,37.51909858402682,52.06,0,0,0,0,17.69935389021321,62.54909749,315.6801990620519,24.351877621470138,2.8566329305117675,23.49214708,0.6136363636363636,0,0,0,2,8,10,0,0,4,0,0,0,2,0
11,6.688362939,0.7001011537299318,-1.918526619,0.032115527,993.6439999999992,0.417910448,1.0767879184622209,8.834301874106695,11.166040283284485,11.781447844051817,0,0,0,168.95302450313477,9.754294387,8.834301874106695,85.99390882,0,9.967957041894415,0,0,41.04433101,10.373451291374916,0,0,45.34714351173895,18.041829342427533,13.847474399381248,52.06,8.073872300533118,0,0,0,11.781447844051817,44.79537935177162,196.8234022622564,21.465657635678575,3.5703861441422133,13.871433573085708,0.5862068965517241,0,1,1,1,6,8,0,0,5,0,0,0,2,0
