idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
1,PBC1,1.86,2023,https://doi.org/10.3390/polym15051156,CCCCCCCCC1=NC2=C(O1)C(C1=CC3=C(S1)C1=C(C=C(C)S1)C3(CC(CC)CCCC)CC(CC)CCCC)=C1N=C(CCCCCCCC)OC1=C2C,CC1=CC2=C(S1)C1=C(C=C(S1)C1=C3N=C(C)OC3=C(C3=CC4=C(S3)C3=C(C=C(S3)C3=C5N=C(C)OC5=C(C)C5=C3OC(C)=N5)C4(C)C)C3=C1OC(C)=N3)C2(C)C
2,PBC2,1.9,2023,https://doi.org/10.3390/polym15051156,CCCCCCCCC1=NC2=C(O1)C(C1=CC=C(S1)C1=CC3=C(S1)C1=C(C=C(C)S1)C3(CC(CC)CCCC)CC(CC)CCCC)=C1N=C(CCCCCCCC)OC1=C2C1=CC=C(C)S1,CC1=CC2=C(S1)C1=C(C=C(S1)C1=C(C)C=C(S1)C1=C3N=C(C)OC3=C(C3=CC(C)=C(C)S3)C3=C1OC(C)=N3)C2(C)C
3,PBC3,1.95,2023,https://doi.org/10.3390/polym15051156,CCCCCCCCC1=NC2=C(O1)C(C1=CC(CCCCCCCC)=C(S1)C1=CC3=C(S1)C1=C(C=C(C)S1)C3(CC(CC)CCCC)CC(CC)CCCC)=C1N=C(CCCCCCCC)OC1=C2C1=CC(CCCCCCCC)=C(C)S1,CC1=CC2=C(S1)C1=C(C=C(S1)C1=C(C)C=C(S1)C1=C3N=C(C)OC3=C(C3=CC(C)=C(C)S3)C3=C1OC(C)=N3)C2(C)C
4,PBOCz-O,2.72,2012,https://doi.org/10.1021/ma300821m,CCCCCCCCN1C2=CC=C(C=C2C2=CC(=CC=C12)C#CC1=C2OC(CCCCCC)=NC2=C(C)C2=C1N=C(CCCCCC)O2)C#CC,CC#CC1=CC=C2N(C)C3=CC=C(C=C3C2=C1)C#CC1=C2OC(C)=NC2=C(C#CC2=CC=C3N(C)C4=CC=C(C=C4C3=C2)C#CC2=C3OC(C)=NC3=C(C)C3=C2N=C(C)O3)C2=C1N=C(C)O2
5,PBECz-EH,2.69,2012,https://doi.org/10.1021/ma300821m,CCCCCCC1=NC2=C(O1)C(C)=C1N=C(CCCCCC)OC1=C2C#CC1=CC=C2N(CC(CC)CCCC)C3=CC=C(C=C3C2=C1)C#CC,CC#CC1=CC=C2N(C)C3=CC=C(C=C3C2=C1)C#CC1=C2OC(C)=NC2=C(C#CC2=CC=C3N(C)C4=CC=C(C=C4C3=C2)C#CC2=C3OC(C)=NC3=C(C)C3=C2N=C(C)O3)C2=C1N=C(C)O2
6,PBOF-O,2.72,2012,https://doi.org/10.1021/ma300821m,CCCCCCCCC1(CCCCCCCC)C2=CC(=CC=C2C2=CC=C(C=C12)C#CC1=C2OC(CCCCCC)=NC2=C(C)C2=C1N=C(CCCCCC)O2)C#CC,CC#CC1=CC=C2C3=CC=C(C=C3C(C)(C)C2=C1)C#CC1=C2OC(C)=NC2=C(C#CC2=CC=C3C4=CC=C(C=C4C(C)(C)C3=C2)C#CC2=C3OC(C)=NC3=C(C)C3=C2N=C(C)O3)C2=C1N=C(C)O2
7,PBOF-DMO,2.76,2012,https://doi.org/10.1021/ma300821m,CCCCCCC1=NC2=C(O1)C(C)=C1N=C(CCCCCC)OC1=C2C#CC1=CC2=C(C=C1)C1=CC=C(C=C1C2(CCC(C)CCCC(C)C)CCC(C)CCCC(C)C)C#CC,CC#CC1=CC=C2C3=CC=C(C=C3C(C)(C)C2=C1)C#CC1=C2OC(C)=NC2=C(C#CC2=CC=C3C4=CC=C(C=C4C(C)(C)C3=C2)C#CC2=C3OC(C)=NC3=C(C)C3=C2N=C(C)O3)C2=C1N=C(C)O2
8,PBOP-D,2.36,2012,https://doi.org/10.1021/ma300821m,CCCCCCCCCCCCOC1=CC(C#CC)=C(OCCCCCCCCCCCC)C=C1C#CC1=C2OC(CCCCCC)=NC2=C(C)C2=C1N=C(CCCCCC)O2,COC1=CC(C#CC)=C(OC)C=C1C#CC1=C2OC(C)=NC2=C(C#CC2=C(OC)C=C(C#CC3=C4OC(C)=NC4=C(C#CC4=C(OC)C=C(C#CC5=C6OC(C)=NC6=C(C)C6=C5N=C(C)O6)C(OC)=C4)C4=C3N=C(C)O4)C(OC)=C2)C2=C1N=C(C)O2
9,PBOP-MEH,2.44,2012,https://doi.org/10.1021/ma300821m,CCCCCCC1=NC2=C(O1)C(C)=C1N=C(CCCCCC)OC1=C2C#CC1=CC(OCC(CC)CCCC)=C(C=C1OC)C#CC,COC1=CC(C#CC)=C(OC)C=C1C#CC1=C2OC(C)=NC2=C(C#CC2=C(OC)C=C(C#CC3=C4OC(C)=NC4=C(C#CC4=C(OC)C=C(C#CC5=C6OC(C)=NC6=C(C)C6=C5N=C(C)O6)C(OC)=C4)C4=C3N=C(C)O4)C(OC)=C2)C2=C1N=C(C)O2
10,PBBO,2.16,2024,https://doi.org/10.1016/j.nanoen.2024.109648,CCCCCCCCC(CCCCCC)CC1=C(C)SC(=C1)C1=NC2=CC3=C(C=C2O1)N=C(O3)C1=CC(CC(CCCCCC)CCCCCCCC)=C(S1)C1=CC2=C(C3=CC=C(CC(CC)CCCCCC)S3)C3=C(C=C(C)S3)C(C3=CC=C(CC(CC)CCCCCC)S3)=C2S1,CC1=CC=C(S1)C1=C2C=C(SC2=C(C2=CC=C(C)S2)C2=C1SC(C)=C2)C1=C(C)C=C(S1)C1=NC2=C(O1)C=C1N=C(OC1=C2)C1=CC(C)=C(C)S1
11,P2,1.9,2015,https://doi.org/10.1002/pola.27603,CCCCCCCCC1=C(C)SC(=C1)C1=NC2=CC3=C(C=C2O1)N=C(O3)C1=CC(CCCCCCCC)=C(S1)C1=CC2=C(S1)C1=C(C=C(C)S1)[Si]2(CCCCCCCC)CCCCCCCC,CC1=CC2=C(S1)C1=C(C=C(S1)C1=C(C)C=C(S1)C1=NC3=C(O1)C=C1N=C(OC1=C3)C1=CC(C)=C(C)S1)[Si]2(C)C
12,"2,6-PB0TF",2.55,2017,https://doi.org/10.1039/C7TC04458E,CCCCCCCCC1=C(C)SC(=C1)C1=NC2=CC3=C(C=C2O1)N=C(O3)C1=CC(CCCCCCCC)=C(S1)C1=CC2=C(C=C1)C1=CC=C(C)C=C1C2(CCCCCCCC)CCCCCCCC,CC1=C(C)C=C(S1)C1=NC2=CC3=C(C=C2O1)N=C(O3)C1=CC(C)=C(S1)C1=CC2=C(C=C1)C1=CC=C(C)C=C1C2(C)C
13,"4,8-PBOTF",2.46,2017,https://doi.org/10.1039/C7TC04458E,CCCCCCCCC1=NC2=C(O1)C(C1=CC(CCCCCCCC)=C(C)S1)=C1N=C(CCCCCCCC)OC1=C2C1=CC(CCCCCCCC)=C(S1)C1=CC2=C(C=C1)C1=C(C=C(C)C=C1)C2(CCCCCCCC)CCCCCCCC,CC1=NC2=C(O1)C(C1=CC(C)=C(C)S1)=C1N=C(C)OC1=C2C1=CC(C)=C(S1)C1=CC2=C(C=C1)C1=C(C=C(C)C=C1)C2(C)C
14,"2,6-PBOQT",2.07,2017,https://doi.org/10.1039/C7TC04458E,CCCCCCCCC1=C(C)SC(=C1)C1=NC2=CC3=C(C=C2O1)N=C(O3)C1=CC(CCCCCCCC)=C(S1)C1=CC(CCCCCCCC)=C(S1)C1=C(CCCCCCCC)C=C(C)S1,CC1=CC(C)=C(S1)C1=C(C)C=C(S1)C1=C(C)C=C(S1)C1=NC2=C(O1)C=C1N=C(OC1=C2)C1=CC(C)=C(C)S1
