idx,HOMO(eV),LUMO(eV),HOMO-LUMO(eV)
1,-4.3696,-1.94289,2.42671
2,-4.43763,-1.82452,2.61311
3,-4.43763,-1.82452,2.61311
4,-4.80526,-1.70262,3.10264
5,-4.80526,-1.70262,3.10264
6,-4.99193,-2.09745,2.89447
7,-4.99193,-2.09745,2.89447
8,-5.02975,-2.33555,2.6942
9,-5.02975,-2.33555,2.6942
10,-5.0205,-2.05283,2.96767
11,-4.90131,-2.03868,2.86264
12,-5.1688,-1.86888,3.29992
13,-4.76798,-1.68547,3.08251
14,-5.05996,-1.99405,3.06591
15,-4.55818,-2.04412,2.51406
16,-4.89288,-2.03269,2.86019
17,-4.55981,-1.83432,2.72549
18,-5.17016,-2.38399,2.78617
19,-5.17125,-2.38426,2.78699
20,-5.2205,-2.59324,2.62726
21,-5.27547,-2.72277,2.5527
