idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
1,D18,1.98,2020,https://doi.org/10.1016/j.scib.2020.01.001,CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CCCC)CC)S3)=C(C=C(C4=C(CC(CCCCCC)CCCC)C=C(C5=CC6=C(C(SC(C7=CC(CC(CCCC)CCCCCC)=C(C)S7)=C8)=C8C9=NSN=C96)S5)S4)S%10)C%10=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,CC1=CC2=C(S1)C(C1=CC(F)=CS1)=C1C=C(SC1=C2C1=CC(F)=CS1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
2,D18-Cl,1.99,2021,https://doi.org/10.1088/1674-4926/42/1/010501,CC(S1)=CC2=C1C(C3=CC(Cl)=C(CC(CCCC)CC)S3)=C(C=C(C4=C(CC(CCCCCC)CCCC)C=C(C5=CC6=C(C(SC(C7=CC(CC(CCCC)CCCCCC)=C(C)S7)=C8)=C8C9=NSN=C96)S5)S4)S%10)C%10=C2C%11=CC(Cl)=C(CC(CCCC)CC)S%11,CC1=CC2=C(S1)C(C1=CC(Cl)=CS1)=C1C=C(SC1=C2C1=CC(Cl)=CS1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
3,P1,2.06,2021,https://doi.org/10.1088/1674-4926/42/10/100502,CC1=CC2=C(S1)C(C3=CC(F)=C(CC(CCCC)CC)S3)=C4C(SC(C5=C(CC(CCCCCC)CCCC)C=C(C6=CC7=C(C(SC(C8=CC(CC(CCCC)CCCCCC)=C(C)S8)=C9)=C9C(C(N%10C)=O)=C7C%10=O)S6)S5)=C4)=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,CN1C(=O)C2=C(C1=O)C1=C(SC(=C1)C1=CC(C)=C(S1)C1=CC3=C(C4=CC(F)=C(C)S4)C4=C(C=C(C)S4)C(C4=CC(F)=CS4)=C3S1)C1=C2C=C(S1)C1=CC(C)=C(C)S1
4,P2,1.96,2021,https://doi.org/10.1088/1674-4926/42/6/060501,CC1=CC2=C(S1)C(C3=CC=C(CC(CCCC)CC)S3)=C4C(SC(C5=C(CC(CCCCCC)CCCC)C=C(C6=CC7=C(C(SC(C8=CC(CC(CCCCCC)CCCC)=C(C)S8)=C9)=C9C%10=NON=C%107)S6)S5)=C4)=C2C%11=CC=C(CC(CCCC)CC)S%11,CC1=CC=C(S1)C1=C2SC(=CC2=C(C2=CC=C(C)S2)C2=C1C=C(C)S2)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NON=C21
5,JD40,1.97,2021,https://doi.org/10.1002/aenm.202102559,CC1=CC2=C(S1)C(C3=CC=C(CC(CCCC)CC)S3)=C4C(SC(C5=C(CC(CCCCCC)CCCC)C=C(C6=CC7=C(C(SC(C8=CC(CC(CCCCCC)CCCC)=C(C)S8)=C9)=C9C%10=NSN=C%107)S6)S5)=C4)=C2C%11=CC=C(CC(CCCC)CC)S%11,CC1=CC=C(S1)C1=C2SC(=CC2=C(C2=CC=C(C)S2)C2=C1C=C(C)S2)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
6,MePBDFClH,1.95,2022,https://doi.org/10.1002/advs.202105430,CC(O1)=CC2=C1C(C3=CC(Cl)=C(CC(CCCC)CC)S3)=C(C=C(C4=C(CC(CCCCCC)CCCC)C=C(C5=CC6=C(C(SC(C7=CC(CC(CCCCCC)CCCC)=C(C)S7)=C8)=C8C9=NSN=C96)S5)S4)O%10)C%10=C2C%11=CC(Cl)=C(CC(CCCC)CC)S%11,CC1=CC2=C(O1)C(C1=CC(Cl)=CS1)=C1C=C(OC1=C2C1=CC(Cl)=CS1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
7,OPZ14,2.01,2021,https://doi.org/10.1039/D1TA10644A,CCCCCCC(CCCC)CC1=C(SC(=C1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(CC(CCCC)CCCCCC)=C(S1)C1=CC3=C(C4=CC(F)=C(CC(CC)CCCC)S4)C4=C(C=C(C)S4)C(C4=CC(F)=C(CC(CC)CCCC)S4)=C3S1)C1=NSN=C21)C1=CC2=C(S1)C(C1=CC(F)=C(CC(CC)CCCC)S1)=C1SC(=CC1=C2C1=CC(F)=C(CC(CC)CCCC)S1)C1=NC(C(=O)OCC)=C(C)S1,COC(=O)C1=C(C)SC(=N1)C1=CC2=C(C3=CC(F)=CS3)C3=C(SC(=C3)C3=C(C)C=C(S3)C3=CC4=C(S3)C3=C(C=C(S3)C3=CC(C)=C(S3)C3=CC5=C(C6=CC(F)=CS6)C6=C(C=C(C)S6)C(C6=CC(F)=CS6)=C5S3)C3=NSN=C43)C(C3=CC(F)=CS3)=C2S1
8,PL2,1.86,2022,https://doi.org/10.1002/adfm.202203193,CCCCCCC(CCCC)CC1=C(SC(=C1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(CC(CCCC)CCCCCC)=C(S1)C1=CC3=C(C4=CC(F)=C(CC(CC)CCCC)S4)C4=C(C=C(C)S4)C(C4=CC(F)=C(CC(CC)CCCC)S4)=C3S1)C1=NSN=C21)C1=CC2=C(S1)C(C1=CC(F)=C(CC(CC)CCCC)S1)=C1C=C(SC1=C2C1=CC(F)=C(CC(CC)CCCC)S1)C1=CC=C(S1)C1=C2C(=C(S1)C1=CC=C(C)S1)C(=O)C1=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C1C2=O,CC1=CC=C(S1)C1=C2C(=C(S1)C1=CC=C(S1)C1=CC3=C(C4=CC(F)=CS4)C4=C(C=C(S4)C4=C(C)C=C(S4)C4=CC5=C(S4)C4=C(C=C(S4)C4=CC(C)=C(S4)C4=CC6=C(C7=CC(F)=CS7)C7=C(C=C(C)S7)C(C7=CC(F)=CS7)=C6S4)C4=NSN=C54)C(C4=CC(F)=CS4)=C3S1)C(=O)C1=C(C)SC(C)=C1C2=O
9,PSe-BO,1.92,2023,https://doi.org/10.1021/acsaem.3c00392,CC1=CC2=C(S1)C(C3=CC(F)=C(CC(CCCC)CC)S3)=C4C(SC(C5=C(CC(CCCCCC)CCCC)C=C(C6=CC7=C(C(SC(C8=CC(CC(CCCC)CCCCCC)=C(C)S8)=C9)=C9C%10=N[Se]N=C%107)S6)S5)=C4)=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,CC1=CC2=C(S1)C(C1=CC(F)=CS1)=C1C=C(SC1=C2C1=CC(F)=CS1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=N[Se]N=C21
10,PSe-HD,1.89,2023,https://doi.org/10.1021/acsaem.3c00392,CC1=CC2=C(S1)C(C3=CC(F)=C(CC(CCCC)CC)S3)=C4C(SC(C5=C(CC(CCCCCC)CCCCCCCC)C=C(C6=CC7=C(C(SC(C8=CC(CC(CCCCCCCC)CCCCCC)=C(C)S8)=C9)=C9C%10=N[Se]N=C%107)S6)S5)=C4)=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,CC1=CC2=C(S1)C(C1=CC(F)=CS1)=C1C=C(SC1=C2C1=CC(F)=CS1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=N[Se]N=C21
