idx,HOMO(eV),LUMO(eV),HOMO-LUMO(eV)
1,-5.03574,-2.40902,2.62671
2,-5.05506,-2.41338,2.64168
3,-5.12717,-2.33773,2.78944
4,-4.96091,-2.40331,2.5576
5,-4.89288,-2.32576,2.56712
6,-5.00989,-2.45773,2.55216
7,-5.09533,-2.58263,2.5127
8,-4.99002,-2.60413,2.38589
9,-4.99628,-2.44113,2.55515
10,-4.99846,-2.44712,2.55134
11,-4.94676,-2.38943,2.55733
12,-4.9541,-2.3644,2.58971
13,-4.98621,-2.41474,2.57148
14,-5.00907,-2.4376,2.57148
15,-5.01451,-2.39324,2.62127
16,-5.03356,-2.40249,2.63107
17,-5.08826,-2.45991,2.62835
18,-5.03329,-2.40358,2.62971
19,-5.05016,-2.41256,2.6376
20,-4.82812,-2.28412,2.54399
