idx,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,FpDensityMorgan1,BalabanJ,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,fr_C_O,fr_aniline,fr_bicyclic,fr_halogen,fr_imide,fr_ketone_Topliss,fr_oxazole,fr_pyridine
1,16.36682368967221,0.11660217,-0.377565352,0.032118288,1490.3419999999994,0.2830188679245283,1.2052185076354196,9.799819461700956,0,0,35.443078376109035,0,38.56704256613188,336.9002179,43.42148505704679,28.76722310443093,80.28317718701979,0,19.599638923401912,11.835812092322788,26.17902562,10.440598685398296,0,0,0,22.67357175586947,81.22174292316124,25.68328649170403,115.38,0,0,28.76722310443093,47.27889046843182,92.05257856965753,161.5865566,203.9614345657151,105.5899002960191,0.8369044154850285,19.160451500562832,0.7021276595744681,0,4,4,2,2,8,6,0,1,0,2,0,0,0
2,15.44882340274216,0.3071400128258836,-0.335100677,0.033924662,950.406,0.4285714285714285,1.4140402260462137,4.567099647791355,0,0,23.628718917406022,0,28.97796819798824,194.22432393051048,11.126902983393991,19.178148736287287,56.207017210497725,0,14.366919109492311,11.835812092322788,13.08951281182515,11.126902983393991,0,0,0,0,51.08515083872348,25.68328649170403,79.69,0,9.589074368143644,9.589074368143644,23.628718917406022,75.12032311240746,88.13001168,108.70227957505594,62.993434838299464,3.354439358029983,18.119333445200287,0.5873015873015873,0,2,2,4,1,5,4,0,3,0,2,0,0,0
3,15.487233389875708,0.2133222173762436,-0.293450969,0.033112477,1019.5999999999988,0.375,1.3333958190772464,0,0,0,23.628718917406022,0,28.97796819798824,207.47795424069085,11.126902983393991,19.178148736287287,57.074739102205086,0,9.799819461700956,11.835812092322788,13.08951281182515,20.194893072800895,0,0,0,22.67357175586947,46.51805119093213,25.68328649170403,74.76,0,0,19.178148736287287,35.46453100972881,57.242670190936714,61.120867370810686,163.8540133376269,68.43052550861356,0.9961624519444344,13.867335664518924,0.65625,0,2,2,2,2,6,4,0,0,0,2,0,0,0
4,15.510638739669949,0.091772709,-0.272316395,0.025459352,1113.385999999999,0.375,1.3333958190772464,0,0,0,0,334.2622594001933,0,117.58645151972664,0,19.178148736287287,63.40828836919039,0,9.799819461700956,11.835812092322788,13.08951281182515,18.875578708596308,0,0,0,0,75.52517221378692,25.68328649170403,74.76,0,0,19.178148736287287,64.47165203258359,51.67921869923972,61.36740021407152,167.4118461671236,64.13242502604025,1.0520157184053398,14.00459596449646,0.65625,0,2,2,2,2,4,4,0,0,0,2,0,0,0
5,16.473219128373458,0.076570112,-2.540871941,0.019972236,2057.3599999999983,0.2536231884057971,0.9579647948177036,16.46058839375381,33.269573010798155,0,47.257437834812045,17.12182840973192,57.95593639597647,246.00288397824693,22.253805966787983,54.81688586632838,164.5408796249402,0,19.599638923401912,11.835812092322788,26.17902562,50.830384831000075,0,0,0,45.34714351173895,143.42750380239434,25.68328649170403,186.44,85.8344798,0,38.356297472574575,66.51955164976708,94.21189791638676,182.60915042041304,145.0063566460876,141.8533571283734,1.4111274216094842,44.986176153841896,0.6071428571428571,0,4,4,4,4,16,8,0,0,0,4,0,0,0
6,14.776888081315684,0.3000903635585756,-0.311284803,0.051606544,825.2569999999993,0.4576271186440678,1.4154025027293429,0,0,0,23.628718917406022,0,28.97796819798824,156.11138125728274,11.126902983393991,19.178148736287287,45.73795322427035,0,9.799819461700956,11.835812092322788,13.08951281182515,10.440598685398296,0,0,0,11.336785877934735,46.51805119093213,25.68328649170403,74.76,0,19.178148736287287,0,23.628718917406022,69.07848228325949,35.43758087910663,138.2162519202212,63.25595049363135,0.9761813378661814,13.676432576115843,0.6538461538461539,0,2,2,2,1,5,4,0,0,0,2,0,0,0
7,14.935565505496545,0.1758403266788977,-0.353821269,0.099171995,763.0379999999997,0.6481481481481481,1.4569761714151124,4.736862953800049,0,0,23.628718917406022,0,28.97796819798824,78.35261267324178,22.936620441140622,23.915011690087333,66.47457894,0,9.799819461700956,11.835812092322788,20.199310353102685,27.31701350207619,4.736862953800049,0,5.749511833283905,22.67357175586947,53.62784873220966,25.68328649170403,83.99000000000001,0,19.178148736287287,0,35.46453100972881,57.242670190936714,82.51997482672547,14.676966655402255,63.38948644886089,0.8914442012913337,13.180101675681811,0.4222222222222222,0,2,2,3,2,7,4,0,1,0,2,0,0,0
8,15.116401830064712,0.1777649063697564,-0.333541847,0.049162829,851.2289999999994,0.4126984126984127,1.416442216330666,0,0,0,23.628718917406022,0,28.97796819798824,179.1650248454358,11.126902983393991,19.178148736287287,34.40116734633561,0,9.799819461700956,0,13.08951281182515,22.253805966787983,0,0,0,0,46.51805119093213,13.847474399381248,74.76,0,14.383611552215466,4.794537184071822,29.04370939,57.24267019093671,82.61331096680914,101.82529314944604,61.64161651097626,0.944904317,13.61990325,0.543859649,1,2,3,4,0,4,4,0,3,0,2,0,0,0
9,16.32192693595003,0.107229302,-0.612323096,0.033107667,1055.5799999999986,0.4054054054054054,1.3673314017536906,0,0,0,23.628718917406022,0,28.97796819798824,207.47795424069085,20.88119737079659,27.958978831636927,57.074739102205086,0,9.799819461700956,11.835812092322788,13.08951281182515,20.194893072800895,0,8.780830095,0,22.67357175586947,46.51805119093213,37.31772817379583,74.76,29.355980870146304,0,27.958978831636927,45.16894559838345,49.32530518903275,88.38664535304687,161.68577193507917,65.12607976133627,0.6518153242044487,13.117896003713769,0.65625,0,2,2,2,2,6,4,0,0,2,2,0,0,0
10,15.487233389875708,0.2058153742201189,-0.29666669,0.033112477,1019.5999999999988,0.3611111111111111,1.3699363650838523,0,0,0,23.628718917406022,0,28.97796819798824,207.47795424069085,11.126902983393991,19.178148736287287,57.074739102205086,0,9.799819461700956,11.835812092322788,13.08951281182515,20.881197370796592,0,0,0,22.67357175586947,46.51805119093213,25.68328649170403,74.76,0,0,19.178148736287287,35.46453100972881,57.242670190936714,70.87516175821328,154.0997189502243,68.87075062924261,0.9838781939779072,13.948695826070512,0.65625,0,2,2,2,2,6,4,0,0,0,2,0,0,0
