idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
1,P(DPP-NDI),1,2014,https://doi.org/10.1039/C5TC02615F,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=CC(C3=CC=C(S3)C3=C4C(=O)N(CCCCCCCC)C(C5=CC=C(C)S5)=C4C(=O)N3CCCCCCCC)=C3C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C4=C3C2=C(C(C)=C4)C1=O,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=CC=C(C)S1)C1=CC=C(S1)C1=C2C(=O)N(C)C(=O)C3=C2C2=C(C(=O)N(C)C(=O)C2=C1)C(=C3)C1=CC=C(S1)C1=C2C(=O)N(C)C(C3=CC=C(S3)C3=C4C(=O)N(C)C(=O)C5=C4C4=C(C(C)=C5)C(=O)N(C)C(=O)C4=C3)=C2C(=O)N1C
2,PC-NDI100,1.87,2014,https://doi.org/10.1002/pola.27395,CCCCCCCCC(CCCCCCCC)N1C2=CC(=CC=C2C2=C1C=C(C)C=C2)C1=CC2=C3C(=CC(C)=C4C(=O)N(CCC(CC)CCCC)C(=O)C1=C34)C(=O)N(CCC(CC)CCCC)C2=O,CN1C2=CC(=CC=C2C2=C1C=C(C)C=C2)C1=CC2=C3C(=CC(C4=CC5=C(C=C4)C4=CC=C(C=C4N5C)C4=CC5=C6C(=CC(C)=C7C(=O)N(C)C(=O)C4=C67)C(=O)N(C)C5=O)=C4C(=O)N(C)C(=O)C1=C34)C(=O)N(C)C2=O
3,NDI100,1.45,2016,https://doi.org/10.1002/pola.28392,O=C1C2=C(C)C=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C3=O)=O)C4=C3C(C5=CC=C(C6=CC=C(C)S6)S5)=CC(C(N1CC(CCCCCCCC)CCCCCCCCCC)=O)=C24,CN1C(=O)C2=CC(C)=C3C(=O)N(C)C(=O)C4=C3C2=C(C1=O)C(=C4)C1=CC=C(S1)C1=CC=C(S1)C1=C2C(=O)N(C)C(=O)C3=C2C2=C(C(=O)N(C)C(=O)C2=C1)C(=C3)C1=CC=C(S1)C1=CC=C(C)S1
4,PNDIBS,1.4,2018,https://doi.org/10.1021/acs.chemmater.8b03229,O=C1C2=CC(C)=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C3=O)=O)C4=C3C=C(C5=CC=C(C6=CC=C(C)[Se]6)[Se]5)C(C(N1CC(CCCCCCCC)CCCCCCCCCC)=O)=C24,CN1C(=O)C2=CC(C)=C3C(=O)N(C)C(=O)C4=C3C2=C(C1=O)C(=C4)C1=CC=C([Se]1)C1=CC=C([Se]1)C1=C2C(=O)N(C)C(=O)C3=C2C2=C(C(=O)N(C)C(=O)C2=C1)C(=C3)C1=CC=C([Se]1)C1=CC=C(C)[Se]1
5,PNDI-Si50,1.36,2017,https://doi.org/10.1021/acsmacrolett.7b00738,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=CC(C)=C3C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C4=C3C2=C(C1=O)C(=C4)C1=CC=C(S1)C1=CC=C(S1)C1=C2C(=O)N(CCCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)C(=O)C3=CC(C4=CC=C(S4)C4=CC=C(C)S4)=C4C(=O)N(CCCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)C(=O)C(=C1)C4=C23,CN1C(=O)C2=CC(C)=C3C(=O)N(C)C(=O)C4=C3C2=C(C1=O)C(=C4)C1=CC=C(S1)C1=CC=C(S1)C1=C2C(=O)N(C)C(=O)C3=CC(C4=CC=C(S4)C4=CC=C(C)S4)=C4C(=O)N(C)C(=O)C(=C1)C4=C23
6,P(NDI3-T),1.71,2018,https://doi.org/10.1002/adfm.201803613,O=C1C2=C(C)C=C(C(N(CCCC(CCCCCC)CCCCCC)C3=O)=O)C4=C3C(C5=CC=C(C)S5)=CC(C(N1CCCC(CCCCCC)CCCCCC)=O)=C24,CN1C(=O)C2=CC(C)=C3C(=O)N(C)C(=O)C4=C3C2=C(C1=O)C(=C4)C1=CC=C(S1)C1=C2C(=O)N(C)C(=O)C3=C2C2=C(C(=O)N(C)C(=O)C2=C1)C(=C3)C1=CC=C(C)S1
7,PNDI-TT-OMe,2.02,2023,https://doi.org/10.1039/D3TC02109B,CCCCC(CC)CN1C(=O)C2=CC(C)=C3C(=O)N(CC(CC)CCCC)C(=O)C4=C3C2=C(C1=O)C(=C4)C1=CC2=C(S1)C(=C(C)S2)C1=CC=C(OC)C=C1,CN1C(=O)C2=CC(C)=C3C(=O)N(C)C(=O)C4=C3C2=C(C1=O)C(=C4)C1=CC2=C(S1)C(=C(S2)C1=C2C(=O)N(C)C(=O)C3=C2C2=C(C(=O)N(C)C(=O)C2=C1)C(=C3)C1=CC2=C(S1)C(=C(C)S2)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
8,PF-NDI,2.1,2012,https://doi.org/10.1039/C2CC31752D,O=C1C2=C(C3=CC(C(CCCCCCCC)(CCCCCCCC)C4=C5C=CC(C)=C4)=C5C=C3)C=C(C(N(CCCCCC)C6=O)=O)C7=C6C(C)=CC(C(N1CCCCCC)=O)=C27,CN1C(=O)C2=CC(C3=CC4=C(C=C3)C3=CC=C(C=C3C4(C)C)C3=CC4=C5C(C(=O)N(C)C4=O)=C(C=C4C(=O)N(C)C(=O)C3=C54)C3=CC4=C(C=C3)C3=C(C=C(C)C=C3)C4(C)C)=C3C(=O)N(C)C(=O)C4=C3C2=C(C(C)=C4)C1=O
9,P(NDI2OD-FT2),1.59,2015,https://doi.org/10.1002/adma.201501214,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=CC(C)=C3C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C4=C3C2=C(C1=O)C(=C4)C1=CC(F)=C(S1)C1=C(F)C=C(C)S1,CN1C(=O)C2=CC(C)=C3C(=O)N(C)C(=O)C4=C3C2=C(C1=O)C(=C4)C1=CC(F)=C(S1)C1=C(F)C=C(S1)C1=C2C(=O)N(C)C(=O)C3=C2C2=C(C(=O)N(C)C(=O)C2=C1)C(=C3)C1=CC(F)=C(S1)C1=C(F)C=C(C)S1
10,P(NDI2OD-T2),1.5,2015,https://doi.org/10.1021/acs.chemmater.5b01274,O=C1C2=C(C3=CC=C(C)S3)C=C(C(N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)=O)C5=C4C(C6=CC=C(C)S6)=CC(C(N1CC(CCCCCCCC)CCCCCCCCCC)=O)=C25,CN1C(=O)C2=CC(C3=CC=C(S3)C3=CC=C(S3)C3=CC4=C5C(C(=O)N(C)C4=O)=C(C=C4C(=O)N(C)C(=O)C3=C54)C3=CC=C(C)S3)=C3C(=O)N(C)C(=O)C4=C3C2=C(C1=O)C(=C4)C1=CC=C(C)S1
