idx,HOMO(eV),LUMO(eV),HOMO-LUMO(eV)
1,-4.98186,-3.55435,1.42751
2,-5.442,-3.24605,2.19596
3,-5.41153,-3.36795,2.04357
4,-5.32527,-3.387,1.93827
5,-5.45289,-3.39435,2.05854
6,-5.83194,-3.40523,2.42671
7,-5.45588,-3.33475,2.12113
8,-5.61616,-3.2719,2.34426
9,-5.43466,-3.47299,1.96167
10,-5.41915,-3.37693,2.04221
11,-5.39221,-3.34373,2.04847
12,-5.44663,-3.39462,2.05201
13,-5.64881,-3.45149,2.19732
14,-5.52473,-3.39217,2.13256
15,-5.91303,-3.41748,2.49556
16,-5.68364,-3.40605,2.27759
17,-5.42432,-3.42591,1.9984
18,-5.34105,-3.42863,1.91242
19,-4.84961,-3.28686,1.56275
20,-5.27193,-3.42156,1.85037
21,-5.19601,-3.29584,1.90017
22,-5.45452,-3.49693,1.95759
23,-5.02376,-3.28441,1.73935
24,-5.51602,-3.54347,1.97255
25,-5.40853,-3.52986,1.87867
26,-5.32935,-3.51,1.81935
