idx,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,FpDensityMorgan1,BalabanJ,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,fr_C_O,fr_aniline,fr_bicyclic,fr_halogen,fr_imide,fr_ketone_Topliss,fr_oxazole,fr_pyridine
1,15.67121634,0.200445314,-0.227652503,0.016314397,1225.867,0.314606742,1.039777449,0,0,0,23.62871892,0,28.9779682,283.1099955,11.72818735,19.17814874,89.48010141,0,18.54689942,11.83581209,13.08951281,11.12690298,0,0,0,11.72818735,55.26513115,25.68328649,100.54,0,0,19.17814874,35.46453101,46.11576721,116.9711257,217.1944793,64.89068747,6.853032477,14.12292677,0.625,0,2,2,6,1,7,4,0,3,0,2,0,0,0
2,16.61268169,0.006835369,-0.263467164,0.016211387,1750.722,0.246031746,1.030427447,9.134199296,0,0,34.74725271,0,38.56704257,375.7220696,20.43324127,19.17814874,131.3702225,0,18.93401876,23.67162418,13.08951281,10.44059869,11.11853379,0,0,22.67357176,55.65225049,37.51909858,118.76,0,0,28.7672231,52.50097085,75.89563449,225.6623081,218.3079352,102.408807,9.419193967,24.43470233,0.649122807,0,2,2,6,4,10,4,0,8,0,2,0,0,2
3,15.45455712,0.133363862,-0.317490624,0.019961186,1165.62,0.369047619,1.125561636,9.799819462,0,0,35.44307838,0,38.56704257,156.4083033,32.29458207,28.7672231,112.6005225,0,19.59963892,11.83581209,26.17902562,10.44059869,0,0,0,22.67357176,81.22174292,25.68328649,115.38,0,14.38361155,14.38361155,47.27889047,76.04852839,184.2246656,33.97824859,101.5360068,6.254971057,18.81572098,0.472222222,0,4,4,5,2,8,6,0,3,0,2,0,0,0
4,15.73626227,0.177332637,-0.183544765,0.016495605,1286.009,0.318681319,0.976752109,0,0,0,23.62871892,0,28.9779682,270.9772614,9.399839833,19.17814874,119.5285499,0,9.799819462,11.83581209,13.08951281,10.44059869,0,0,0,34.01035763,46.51805119,25.68328649,74.76,0,0,19.17814874,35.46453101,35.34331878,110.4604169,229.1431188,67.55129007,7.274346346,14.33675004,0.609756098,0,2,2,5,3,7,4,0,5,0,2,0,0,0
5,15.79524487,0.016936915,-0.259728076,0.016410425,1269.894,0.276595745,0.995241479,0,5.783244946,0,23.62871892,0,33.77250538,300.8061811,0,23.97268592,72.50175758,0,9.799819462,11.83581209,13.08951281,22.25380597,0,0,0,0,52.30129614,25.68328649,91.83,0,4.794537184,19.17814874,41.24777596,57.24267019,117.0646272,205.4662919,79.7849795,6.580315642,14.00569498,0.574712644,1,2,3,7,0,5,5,0,5,0,2,0,0,0
6,16.28067995,0.152486894,-0.829053947,0.016828241,1548.254,0.307017544,0.996611041,0,0,0,23.62871892,0,28.9779682,280.159294,10.82998094,19.17814874,89.39208439,0,9.799819462,11.83581209,13.08951281,31.32179606,0,0,0,22.67357176,46.51805119,25.68328649,74.76,10.82998094,0,19.17814874,35.46453101,46.11576721,138.2128982,182.4112652,70.80329525,6.82345937,23.09689003,0.41509434,2,2,4,10,2,6,4,0,8,0,2,0,0,0
7,15.45264259,0.208275604,-0.231708819,0.020252725,1060.521,0.379746835,1.209917737,4.567099648,0,0,23.62871892,0,28.9779682,199.9362364,0,19.17814874,88.5243625,0,14.36691911,11.83581209,13.08951281,11.12690298,0,0,0,0,51.08515084,25.68328649,79.69,0,14.38361155,4.794537184,29.54662496,58.07551408,119.6367376,109.3190706,63.25482087,9.488854564,18.45457146,0.5,0,2,2,7,1,5,4,0,5,0,2,0,0,0
8,15.18476137,0.056766705,-0.182416784,0.021097863,912.13,0.412698413,1.321390965,0,0,0,0,316.8090971,0,66.21987854,0,19.17814874,81.22207314,0,9.799819462,0,0,10.00082723,0,0,0,0,60.01578055,13.8474744,74.76,0,14.38361155,4.794537184,50.21596109,22.25380597,182.6331292,8.874751478,63.27700323,7.304211569,13.10947873,0.5,0,2,2,5,1,4,4,0,2,0,2,0,0,0
9,15.25562724,0.148137745,-0.20593872,0.033062453,891.256,0.40625,1.298102807,0,0,0,23.62871892,0,28.9779682,116.8775424,0,19.17814874,89.39208439,0,9.799819462,0,0,20.19489307,0,0,0,22.67357176,45.51222004,13.8474744,74.76,0,14.38361155,4.794537184,35.71240058,27.64003018,161.3179128,9.754294387,67.92222011,7.042143099,12.95126947,0.428571429,0,2,2,5,2,6,4,0,2,0,2,0,0,0
10,15.39876017,0.148134101,-0.197141578,0.026175966,947.364,0.382352941,1.254984707,0,0,0,23.62871892,0,28.9779682,142.5608289,0,19.17814874,89.39208439,0,9.799819462,0,0,20.19489307,0,0,0,22.67357176,45.51222004,13.8474744,74.76,0,0,19.17814874,35.71240058,22.25380597,192.3874235,9.754294387,68.55559347,7.088414075,13.0688532,0.466666667,0,2,2,5,2,6,4,0,2,0,2,0,0,0
