idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
1,P1-C24,2.01,2014,https://doi.org/10.1002/pola.27108,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=CC=C3C4=C5C(=CC=C6C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C(C=C4C4=CC=C(C)C7=NSN=C47)=C56)C4=C3C2=C(C=C4C)C1=O,CN1C(=O)C2=CC=C3C4=C5C(=CC=C6C(=O)N(C)C(=O)C(C=C4C4=CC=C(C7=NSN=C47)C4=CC7=C8C(=CC=C9C%10=C%11C(=CC=C%12C(=O)N(C)C(=O)C(C=C%10C%10=CC=C(C)C%13=NSN=C%10%13)=C%11%12)C4=C89)C(=O)N(C)C7=O)=C56)C4=C3C2=C(C=C4C)C1=O
2,PNPDI,1.56,2014,https://doi.org/10.1021/cm500832h,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=CC=C3C4=C(C=C5C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C6=C5C4=C(C=C6)C4=C3C2=C(C=C4C)C1=O)C1=CC2=C(S1)C1=CC3=C(C=C1C(=O)N2CC(CCCC)CCCCCC)C1=C(C=C(C)S1)N(CC(CCCC)CCCCCC)C3=O,CN1C2=C(SC(=C2)C2=C3C4=CC=C5C(=O)N(C)C(=O)C6=C5C4=C(C(=C6)C4=CC5=C(S4)C4=C(C=C6C7=C(C=C(S7)C7=C8C9=CC=C%10C(=O)N(C)C(=O)C%11=C%10C9=C(C(C)=C%11)C9=C8C8=C(C=C9)C(=O)N(C)C(=O)C8=C7)N(C)C(=O)C6=C4)C(=O)N5C)C4=C3C3=C(C=C4)C(=O)N(C)C(=O)C3=C2)C2=CC3=C(C=C2C1=O)C1=C(C=C(C)S1)N(C)C3=O
3,P(DPP-PDI),1.28,2016,https://doi.org/10.1039/C5TC02615F,O=C1C2=CC(C3=CC=C(C4=C5C(C(N4CCCCCCCC)=O)=C(C6=CC=C(C)S6)N(CCCCCCCC)C5=O)S3)=C(C7=CC=C(C(N(CC(CC)CCCC)C8=O)=O)C9=C8C=C(C)C%10=C79)C%11=C%10C=CC(C(N1CC(CCCC)CC)=O)=C2%11,CN1C(=O)C2=C(N(C)C(=O)C2=C1C1=CC=C(C)S1)C1=CC=C(S1)C1=C2C3=CC=C4C(=O)N(C)C(=O)C5=C4C3=C(C(=C5)C3=CC=C(S3)C3=C4C(=O)N(C)C(C5=CC=C(S5)C5=C6C7=CC=C8C(=O)N(C)C(=O)C9=C8C7=C(C(C)=C9)C7=C6C6=C(C=C7)C(=O)N(C)C(=O)C6=C5)=C4C(=O)N3C)C3=C2C2=C(C=C3)C(=O)N(C)C(=O)C2=C1
4,PPDI100,1.46,2015,"https://doi.org/10.1039/C5PY00665A
",O=C1C2=CC=C(C3=C(C)C=C(C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C5=C4C=CC6=C35)C7=C6C(C8=CC(SC9=C%10SC(C)=C9)=C%10S8)=CC(C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=C27,CN1C(=O)C2=CC(C3=CC4=C(S3)C3=C(S4)C=C(S3)C3=CC4=C5C(=CC=C6C7=C8C(=CC=C9C(=O)N(C)C(=O)C(C=C7C)=C89)C3=C56)C(=O)N(C)C4=O)=C3C4=CC=C5C(=O)N(C)C(=O)C6=C5C4=C(C(=C6)C4=CC5=C(S4)C4=C(S5)C=C(C)S4)C4=C3C2=C(C=C4)C1=O
5,P(PDI-DTT),1.6,2013,https://doi.org/10.1016/j.solmat.2013.06.035,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=CC(C)=C3C4=CC=C5C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C6=C5C4=C(C(=C6)C4=CC=C5C(=C4)C(=O)C4=C5C=CC(C)=C4)C4=C3C2=C(C=C4)C1=O,CN1C(=O)C2=CC=C3C4=C(C=C5C(=O)N(C)C(=O)C6=C5C4=C(C=C6)C4=C(C)C=C(C1=O)C2=C34)C1=CC=C2C3=CC=C(C=C3C(=O)C2=C1)C1=C2C3=CC=C4C(=O)N(C)C(=O)C5=C4C3=C(C(=C5)C3=CC=C4C(=C3)C(=O)C3=C4C=CC(C)=C3)C3=C2C2=C(C=C3)C(=O)N(C)C(=O)C2=C1
6,P(PDI-F),1.96,2012,https://doi.org/10.1002/pola.26233,CCCCCCC1=CC=C(C=C1)C1(C2=C(SC(C)=C2)C2=CC3=C(C=C12)C1=C(C=C(S1)C1=C2C4=CC=C5C(=O)N(CC(CC)CCCC)C(=O)C6=C5C4=C(C(C)=C6)C4=C2C2=C(C=C4)C(=O)N(CC(CC)CCCC)C(=O)C2=C1)C3(C1=CC=C(CCCCCC)C=C1)C1=CC=C(CCCCCC)C=C1)C1=CC=C(CCCCCC)C=C1,CN1C(=O)C2=CC=C3C4=C(C=C5C(=O)N(C)C(=O)C6=C5C4=C(C=C6)C4=C(C=C(C1=O)C2=C34)C1=CC2=C(S1)C1=C(C=C3C4=C(C=C(C)S4)C(C3=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C2(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC2=C(S1)C1=CC3=C(C=C1C2(C1=CC=CC=C1)C1=CC=CC=C1)C1=C(C=C(S1)C1=C2C4=CC=C5C(=O)N(C)C(=O)C6=C5C4=C(C(C)=C6)C4=C2C2=C(C=C4)C(=O)N(C)C(=O)C2=C1)C3(C1=CC=CC=C1)C1=CC=CC=C1
7,PX-PDIs,1.77,2011,https://doi.org/10.1002/anie.201005408,O=C1C2=CC(C3=CC(N(C(CCCCCCCC)CCCCCCCC)C4=C5C=CC(C)=C4)=C5C=C3)=C(C6=CC=C(C(N(CCC(CCCC)CC)C7=O)=O)C8=C7C=C(C)C9=C68)C%10=C9C=CC(C(N1CC(CCCC)CC)=O)=C2%10,CN1C2=CC(=CC=C2C2=C1C=C(C=C2)C1=C2C3=C4C(=C(C)C=C5C(=O)N(C)C(=O)C(C=C3)=C45)C3=C2C2=C(C=C3)C(=O)N(C)C(=O)C2=C1)C1=CC2=C3C(=CC=C4C5=C(C=C6C(=O)N(C)C(=O)C7=C6C5=C(C=C7)C1=C34)C1=CC3=C(C=C1)C1=C(C=C(C)C=C1)N3C)C(=O)N(C)C2=O
8,PDI-Se,1.78,2017,https://doi.org/10.1007/s10118-017-1893-x,CCCCCCC(CCCCCC)N1C(=O)C2=CC(C)=C3C4=CC=C5C(=O)N(C(CCCCCC)CCCCCC)C(=O)C6=C5C4=C(C(=C6)C4=CC=C(C)[Se]4)C4=C3C2=C(C=C4)C1=O,CN1C(=O)C2=CC=C3C4=C(C=C5C(=O)N(C)C(=O)C6=C5C4=C(C=C6)C4=C(C)C=C(C1=O)C2=C34)C1=CC=C([Se]1)C1=C2C3=CC=C4C(=O)N(C)C(=O)C5=C4C3=C(C(=C5)C3=CC=C(C)[Se]3)C3=C2C2=C(C=C3)C(=O)N(C)C(=O)C2=C1
9,PPBI2T,1.65,2017,https://doi.org/10.1007/s10118-017-1870-4,O=C1C2=CC(C)=C(C3=CC=C(C(N(C(CCCCC)CCCCC)C4=O)=O)C5=C4C=C(C6=CC=C(C7=CC=C(C)S7)S6)C8=C35)C9=C8C=CC(C(N1C(CCCCC)CCCCC)=O)=C29,CN1C(=O)C2=CC=C3C4=C(C=C5C(=O)N(C)C(=O)C6=C5C4=C(C=C6)C4=C3C2=C(C=C4C2=CC=C(S2)C2=CC=C(C)S2)C1=O)C1=CC=C(S1)C1=CC=C(S1)C1=C2C3=C4C(=C(C)C=C5C(=O)N(C)C(=O)C(C=C3)=C45)C3=C2C2=C(C=C3)C(=O)N(C)C(=O)C2=C1
10,PDI-diTh,1.68,2017,https://doi.org/10.1007/s10118-017-1893-x,O=C1C2=CC(C)=C(C3=CC=C(C(N(C(CCCCCC)CCCCCC)C4=O)=O)C5=C4C=C(C6=CC=C(C7=CC=C(C)S7)S6)C8=C35)C9=C8C=CC(C(N1C(CCCCCC)CCCCCC)=O)=C29,CN1C(=O)C2=CC=C3C4=C(C)C=C5C(=O)N(C)C(=O)C6=C5C4=C(C=C6)C4=C3C2=C(C=C4C2=CC=C(S2)C2=CC=C(S2)C2=C3C4=C5C(=C(C=C6C(=O)N(C)C(=O)C(C=C4)=C56)C4=CC=C(S4)C4=CC=C(C)S4)C4=C3C3=C(C=C4)C(=O)N(C)C(=O)C3=C2)C1=O
11,PDI-TT,1.67,2017,https://doi.org/10.1007/s10118-017-1893-x,O=C1C2=CC(C)=C(C3=CC=C(C(N(C(CCCCCC)CCCCCC)C4=O)=O)C5=C4C=C(C6=CC7=C(C=C(C)S7)S6)C8=C35)C9=C8C=CC(C(N1C(CCCCCC)CCCCCC)=O)=C29,CN1C(=O)C2=CC=C3C4=C(C)C=C5C(=O)N(C)C(=O)C6=C5C4=C(C=C6)C4=C3C2=C(C=C4C2=CC3=C(S2)C=C(S3)C2=C3C4=CC=C5C(=O)N(C)C(=O)C6=C5C4=C(C(=C6)C4=CC5=C(S4)C=C(C)S5)C4=C3C3=C(C=C4)C(=O)N(C)C(=O)C3=C2)C1=O
12,PTTPDI,1.71,2018,https://doi.org/10.1016/j.orgel.2018.02.015,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=CC=C3C4=C(C)C=C5C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C6=C5C4=C(C=C6)C4=C3C2=C(C=C4C2=CC3=C(S2)C=C(C)S3)C1=O,CN1C(=O)C2=CC=C3C4=C(C)C=C5C(=O)N(C)C(=O)C6=C5C4=C(C=C6)C4=C3C2=C(C=C4C2=CC3=C(S2)C=C(S3)C2=C3C4=CC=C5C(=O)N(C)C(=O)C6=C5C4=C(C(=C6)C4=CC5=C(S4)C=C(C)S5)C4=C3C3=C(C=C4)C(=O)N(C)C(=O)C3=C2)C1=O
13,PBDTPDI,1.85,2018,https://doi.org/10.1016/j.orgel.2018.02.015,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=CC=C3C4=C(C)C=C5C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C6=C5C4=C(C=C6)C4=C3C2=C(C=C4C2=CC3=C(S2)C=C2C=C(C)SC2=C3)C1=O,CN1C(=O)C2=CC=C3C4=C(C)C=C5C(=O)N(C)C(=O)C6=C5C4=C(C=C6)C4=C3C2=C(C=C4C2=CC3=C(S2)C=C2C=C(SC2=C3)C2=C3C4=CC=C5C(=O)N(C)C(=O)C6=C5C4=C(C(=C6)C4=CC5=C(S4)C=C4C=C(C)SC4=C5)C4=C3C3=C(C=C4)C(=O)N(C)C(=O)C3=C2)C1=O
