idx,HOMO(eV),LUMO(eV),HOMO-LUMO(eV)
1,-5.79602,-3.46591,2.33011
2,-5.29942,-3.55952,1.7399
3,-5.06159,-3.56224,1.49935
4,-5.51847,-3.49122,2.02725
5,-5.76473,-3.4368,2.32793
6,-5.08118,-3.40414,1.67704
7,-5.49343,-3.32333,2.17011
8,-5.7114,-3.46483,2.24657
9,-5.42459,-3.47054,1.95405
10,-5.40119,-3.387,2.01419
11,-5.57316,-3.49095,2.08221
12,-5.59357,-3.48034,2.11324
13,-5.54704,-3.47843,2.06861
14,-5.42268,-3.43761,1.98507
15,-5.38268,-3.50102,1.88167
16,-5.34377,-3.42238,1.9214
17,-5.39139,-3.4485,1.94289
18,-5.19057,-3.58728,1.60329
19,-5.27112,-3.44795,1.82316
20,-5.56718,-3.34646,2.22072
21,-5.60364,-3.4338,2.16984
22,-5.78868,-3.50564,2.28303
23,-5.8031,-3.53231,2.27079
24,-5.33153,-3.43516,1.89636
25,-5.61153,-3.55816,2.05337
26,-5.71303,-3.57558,2.13745
27,-5.58895,-3.56904,2.0199
28,-5.57207,-3.4485,2.12358
