idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
1,PY-HD,1.481,2022,https://doi.org/10.1002/adma.202110155,CCCCCCCCC(CCCCCC)CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3CC(CCCC)CCCCCC)C2=C1C1=C(C3=C(N1CC(CCCCCC)CCCCCCCC)C1=C(S3)C(CC(CCCC)CCCCCC)=C(S1)\C=C1/C(=O)C3=C(C=CC(=C3)C3=CC=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=CC(=C3)C3=CC=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21
2,PN-Se,1.37,2021,https://doi.org/10.1038/s41467-021-25638-9,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3CCCCCCCCCCC)C2=C1C1=C(C3=C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=C(S3)C(CCCCCCCCCCC)=C(S1)\C=C1/C(=O)C3=C(C=CC(=C3)C3=CC=C(C)[Se]3)C1=C(C#N)C#N)C1=NN(CCCCCCCC)N=C21,CN1N=C2C(=N1)C1=C(N(C)C3=C1SC1=C3SC(\C=C3/C(=O)C4=C(C=CC(=C4)C4=CC=C(C)[Se]4)C3=C(C#N)C#N)=C1C)C1=C2C2=C(N1C)C1=C(S2)C(C)=C(S1)\C=C1/C(=O)C2=C(C=CC(C)=C2)C1=C(C#N)C#N
3,PS-Se,1.411,2021,https://doi.org/10.1038/s41467-021-25638-9,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3CCCCCCCCCCC)C2=C1C1=C(C3=C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=C(S3)C(CCCCCCCCCCC)=C(S1)\C=C1/C(=O)C3=C(C=CC(=C3)C3=CC=C(C)[Se]3)C1=C(C#N)C#N)C1=NSN=C21,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=CC(=C3)C3=CC=C(C)[Se]3)C1=C(C#N)C#N)C1=NSN=C21
4,PZT,1.385,2021,https://doi.org/10.1021/jacs.0c12527,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3CCCCCCCCCCC)C2=C1C1=C(C3=C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=C(S3)C(CCCCCCCCCCC)=C(S1)\C=C1/C(=O)C3=C(C=CC(=C3)C3=CC=C(C)S3)C1=C(C#N)C#N)C1=NN(C)N=C21,CN1N=C2C(=N1)C1=C(N(C)C3=C1SC1=C3SC(\C=C3/C(=O)C4=C(C=CC(=C4)C4=CC=C(C)S4)C3=C(C#N)C#N)=C1C)C1=C2C2=C(N1C)C1=C(S2)C(C)=C(S1)\C=C1/C(=O)C2=C(C=CC(C)=C2)C1=C(C#N)C#N
5,PYT-1S1Se,1.393,2022,https://doi.org/10.1007/s11426-021-1140-x,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=CC(=C4)C4=CC=C(C)S4)C2=C(C#N)C#N)=C3CCCCCCCCCCC)C2=C1C1=C(C3=C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=C(S3)C(CCCCCCCCCCC)=C([Se]1)\C=C1/C(=O)C3=C(C=CC(C)=C3)C1=C(C#N)C#N)C1=NSN=C21,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=CC(=C4)C4=CC=C(C)S4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C([Se]1)\C=C1/C(=O)C3=C(C=CC(C)=C3)C1=C(C#N)C#N)C1=NSN=C21
6,PYT-2Se,1.375,2022,https://doi.org/10.1007/s11426-021-1140-x,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C2=C(SC3=C2[Se]C(\C=C2/C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3CCCCCCCCCCC)C2=C1C1=C(C3=C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=C(S3)C(CCCCCCCCCCC)=C([Se]1)\C=C1/C(=O)C3=C(C=CC(=C3)C3=CC=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21,CN1C2=C(SC3=C2[Se]C(\C=C2/C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C([Se]1)\C=C1/C(=O)C3=C(C=CC(=C3)C3=CC=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21
7,PYTT1,1.487,2021,https://doi.org/10.1021/acs.chemmater.0c04253,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(C=C(S3)C3=CC=C(C)S3)C2=C(C#N)C#N)=C1CCCCCCCCCCC)\C=C1/C(=O)C2=C(C=C(C)S2)C1=C(C#N)C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)S4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(S3)C3=CC=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21
8,PYTT2,1.49,2021,https://doi.org/10.1021/acs.chemmater.0c04253,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1C1=CSC=C1C1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(SC=C3C)C2=C(C#N)C#N)=C1CCCCCCCCCCC)\C=C1\C(C(C#N)C#N)C2=C(C1=O)C(=CS2)C1=CC=C(C)S1,CN1C2=C(SC3=C2SC(\C=C2\C(C(C#N)C#N)C4=C(C2=O)C(=CS4)C2=CC=C(C)S2)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(SC=C3C)C1=C(C#N)C#N)C1=CSC=C21
9,PYTT3,1.44,2021,https://doi.org/10.1021/acs.chemmater.0c04253,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(SC=C3C2=C(C#N)C#N)C2=CC=C(C)S2)=C1CCCCCCCCCCC)\C=C1/C(=O)C2=C(C)SC=C2C1=C(C#N)C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C)SC=C4C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(SC=C3C1=C(C#N)C#N)C1=CC=C(C)S1)C1=NSN=C21
10,PY2F-T,1.372,2021,https://doi.org/10.1002/adfm.202100791,FC1=C(C)C(F)=CC2=C1C(C(/C2=C(C#N)\C#N)=C\C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCCC)CCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCCC)CCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10C(C(C(F)=C(C%11=CC=C(C)S%11)C(F)=C%12)=C%12C\%10=C(C#N)\C#N)=O)=C9CCCCCCCCCCC)=C8C%13=NSN=C%136)=O,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(F)C(C)=C4F)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(F)C(C4=CC=C(C)S4)=C3F)C1=C(C#N)C#N)C1=NSN=C21
