idx,HOMO(eV),LUMO(eV),HOMO-LUMO(eV)
1,-5.41425,-3.34754,2.0667
2,-5.28091,-3.25965,2.02126
3,-5.40826,-3.34319,2.06507
4,-5.2869,-3.26401,2.02289
5,-5.38649,-3.34591,2.04058
6,-5.37071,-3.33693,2.03378
7,-4.6175,-2.30725,2.31025
8,-5.41452,-3.32414,2.09038
9,-5.46894,-3.44142,2.02752
10,-5.49969,-3.48932,2.01038
11,-5.4001,-3.40768,1.99242
12,-5.42785,-3.44387,1.98398
13,-5.36554,-3.31734,2.0482
14,-5.42187,-3.3685,2.05337
15,-5.37044,-3.34836,2.02208
16,-5.43983,-3.39353,2.0463
17,-5.41996,-3.37339,2.04657
18,-5.33724,-3.33802,1.99922
19,-5.41833,-3.39271,2.02562
20,-5.44146,-3.40823,2.03323
21,-5.32962,-3.33856,1.99106
22,-5.45207,-3.42346,2.02861
23,-5.22921,-3.31217,1.91704
24,-5.19765,-3.30645,1.89119
25,-5.32554,-3.38482,1.94072
26,-5.30649,-3.37231,1.93418
27,-5.29016,-3.32251,1.96765
28,-5.38704,-3.36033,2.0267
29,-5.25833,-3.34401,1.91432
